,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL
0,31,"(1,)",1,2,,,0.6517488120268483,0.5420887457914392,34.097657680511475,0.5109409190371991,0.0008645371851244095,0.6611854807568541,0.0006611398755084718
1,31,"(1, 2)",2,2,,,0.8244106996531644,0.617282846874484,25.307286262512207,0.6887308533916849,0.0010886190557191386,0.78739219976831,0.0008413413881657129
2,31,"(1, 2, 3)",3,2,,,0.870040316725814,0.6574960316945002,28.646164178848267,0.7733942592354228,0.0010186684900368023,0.7958875016089587,0.0007776497474952253
3,31,"(1, 2, 3, 4)",4,2,,,0.875227863299038,0.6842800364086703,25.772521257400513,0.7950508430943494,0.0010290913085309,0.8051229244433002,0.0007656799088206925
4,31,"(1, 2, 3, 4, 5)",5,2,,,0.8612055225085751,0.721415266572919,30.334655284881592,0.7938602136697129,0.0008121086817969839,0.796016218303514,0.0009813387815303853
5,31,"(1, 2, 3, 4, 5, 6)",6,2,,,0.8596487341148205,0.7372743425898634,33.88409066200256,0.8189277899343544,0.000972948996221901,0.8065066289097697,0.0007567752787069182
6,31,"(1, 2, 3, 4, 5, 6, 7)",7,2,,,0.9034249826432322,0.7669064906896728,25.63816547393799,0.8255888788775905,0.0010316724374589198,0.8105290256146223,0.000743868521610456
7,31,"(1, 2, 3, 4, 5, 6, 7, 8)",8,2,,,0.894258518980901,0.7644408646041406,23.393171548843384,0.824591324494787,0.0010372822787068437,0.8075363624662119,0.00078023400664529
8,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,2,,,0.895410618724795,0.7810945243493627,22.423617839813232,0.8247843995366199,0.0010529331434247177,0.80840520015446,0.0007991364815778631
9,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,2,,,0.9229669748606643,0.8135137889383557,30.276497840881348,0.8280666752477797,0.0008681850906565531,0.8116874758656197,0.000822885675708949
10,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,2,,,0.934956708734178,0.8201452557655025,26.024191856384277,0.8234006950701506,0.0008025288443750113,0.8079868708971554,0.0010158352554803466
