,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL
0,31,"(1,)",1,3,,,0.7344989704812821,0.5296612927913732,24.06197428703308,0.622409576522075,0.0011451135410245497,0.6757948255888788,0.0008277241627303679
1,31,"(1, 2)",2,3,,,0.8016302326290818,0.6119521870575794,29.293883085250854,0.7714956879907324,0.0008566976284057052,0.818123310593384,0.0008005567507818101
2,31,"(1, 2, 3)",3,3,,,0.8259090439409542,0.6453019981509222,24.441983938217163,0.8237224868065388,0.0009821778651691799,0.8373020980821213,0.0007722621366682775
3,31,"(1, 2, 3, 4)",4,3,,,0.853341332281957,0.6727319803903798,24.5793514251709,0.8353069893165144,0.0009418148103866941,0.8459261166173253,0.001019443526877478
4,31,"(1, 2, 3, 4, 5)",5,3,,,0.8680738080355626,0.7039364197128997,34.40547513961792,0.8309949800489124,0.0007985902655031064,0.8355322435319861,0.0009566552544794022
5,31,"(1, 2, 3, 4, 5, 6)",6,3,,,0.8806575206446127,0.738537403718178,29.310929536819458,0.843094349337109,0.0008535690712090977,0.8421611533015833,0.0008778957682911656
6,31,"(1, 2, 3, 4, 5, 6, 7)",7,3,,,0.8964970174436055,0.745082343266969,26.534549236297607,0.8478568670356545,0.0008711214844424655,0.8495945424121508,0.0008976153462592017
7,31,"(1, 2, 3, 4, 5, 6, 7, 8)",8,3,,,0.9000690070464812,0.7512734118506466,23.779221773147583,0.8527159222551165,0.0009796270180706015,0.8515252928304801,0.0007904881230498054
8,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,3,,,0.9133586922960019,0.785116214668674,27.21836543083191,0.8573497232591067,0.0010212839516698508,0.8562556313553868,0.0007718413596387105
9,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,3,,,0.9112009167461516,0.7920385368344997,22.57602620124817,0.8566096022654138,0.0009393931002917015,0.855322435319861,0.0008756386710496035
10,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,3,,,0.927122357880976,0.8317449043991851,22.36746907234192,0.8664886085725318,0.0010414800445673503,0.8612755824430428,0.0007994933959400198
11,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",12,3,,,0.9305389885560749,0.8311044260918765,28.572967529296875,0.8703501094091903,0.0008997402913568256,0.8638177371605097,0.000722283055107479
12,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,,,0.9374650864724087,0.8533387464322167,24.1792893409729,0.8690951216372763,0.0009462341391943584,0.8612112240957652,0.000845279107760978
13,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",14,3,,,0.9490904548289203,0.8545623298891762,27.191293478012085,0.8707040803192174,0.0007520324322443576,0.867003475350753,0.0009441335146944869
14,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",15,3,,,0.9568632848375545,0.8699633234373314,31.593997955322266,0.8763032565323723,0.0007526124286320176,0.870607542798301,0.0009064845158673572
15,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",16,3,,,0.9593116577756454,0.8843662007745909,26.134482383728027,0.871315484618355,0.0008027194887073608,0.8676792379971683,0.0009869528654567186
16,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",17,3,,,0.9647448906737178,0.9026765039708715,29.996753454208374,0.867003475350753,0.0007903933724560384,0.8638499163341485,0.0010511609697483085
17,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",18,3,,,0.9707920530121298,0.9092419966137923,29.220688581466675,0.8656841292315614,0.0007368344370041257,0.8633028703822886,0.0008936420971093022
18,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",19,3,,,0.9785194712699321,0.9272535870913365,26.78521418571472,0.8649440082378684,0.0007657111113036763,0.862691466083151,0.000775845059404534
19,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",20,3,,,0.9790156789286393,0.9329454820710069,26.815296173095703,0.8696743467627751,0.0011266575677159486,0.8652657999742567,0.0007697421544797173
20,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",21,3,,,0.9812246572491695,0.9521597968128898,30.03385305404663,0.873117518342129,0.0007614525823093532,0.8709936928819668,0.0010488046797596361
21,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)",22,3,,,0.9879902156423693,0.9608497345745584,28.758464336395264,0.8714442013129103,0.0007658155210875287,0.8705110052773845,0.0009072635345346051
22,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",23,3,,,0.9890003138613277,0.9705982020922669,29.495423316955566,0.8696099884154975,0.000771709061724628,0.8697387051100528,0.0008302105947694104
23,31,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)",24,3,,,0.9933124922044204,0.9793059711004082,30.620409965515137,0.8687411507272493,0.001128757992740886,0.8684515381644999,0.0007224455120971971
