,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,AccLDAMulti,AccLDAPropQ,tCLPropL,AccLDALiu,AccLDAVidovic,AccClLDAInd,AccClLDAPropQ,AccClLDALiu,AccClLDAVidovic,tIndL,tGenL,AccQDAInd,AccQDAMulti,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAVidovic,AccClQDAInd,AccClQDAProp,AccClQDALiu,AccClQDAVidovic,tPropQ,tIndQ,tGenQ,tPre,wTargetMeanQDAm,wTargetCovQDAm
0,51,"(1,)",1,3,[0.71161609 0.5746505  0.57638232 0.80707272 0.68826454],[0.5        0.51231311 0.51170801 0.50369513 0.50262377],0.5967924906021309,0.4333919078230309,0.6760682429877438,0.0009851287469126314,0.6856329381408902,0.6522009920590787,0.68,0.792,0.856,0.736,0.0009991160267880106,0.000980705909118917,0.6635229219031519,0.4660008452521298,0.7246257534977868,0.0006853444488706635,0.72745067508953,0.7157950930889516,0.648,0.864,0.888,0.824,41.120999574661255,0.0006937279561120828,0.0006808535914872176,1.736425333741726e-07,0.671597233231638,0.506068004341173
1,51,"(1, 2)",2,3,[0.74431346 0.66696209 0.68629858 0.7878988  0.71149487],[0.55972663 0.58049155 0.62167222 0.57727667 0.58313889],0.7705585337099895,0.43417042952154283,0.7773650377026937,0.000986042418752401,0.7745178726338501,0.7699134728740796,0.84,0.896,0.92,0.848,0.000993087696515228,0.0009776086578362352,0.7234468492114687,0.46646795827123694,0.8089062882309762,0.0013913273861721285,0.7970060279822941,0.7780545854928043,0.728,0.92,0.928,0.904,42.59511041641235,0.0014059756058142814,0.0013671733360579874,1.2282486800309065e-07,0.7193935594643357,0.5844611922876982
2,51,"(1, 2, 3)",3,3,[0.82623169 0.72949761 0.75955274 0.80291001 0.73710675],[0.60692888 0.63206858 0.64482536 0.66441103 0.64497047],0.7926685499477278,0.43828547278510577,0.7974286540472006,0.0009774253242001043,0.7871076806726427,0.7987855061503214,0.864,0.904,0.92,0.872,0.0009874050909480577,0.0009795710914120184,0.7811241853326512,0.4737415752830482,0.841048112640968,0.001392046682992185,0.8311720088084169,0.8313054696710189,0.784,0.92,0.944,0.912,42.60407376289368,0.0014046977115042825,0.0013644043617614247,2.679993512843762e-06,0.7710597612239057,0.6386408651815901
3,51,"(1, 2, 3, 4)",4,3,[0.81753976 0.74670283 0.78909218 0.84572672 0.71522763],[0.66759406 0.67066763 0.72223063 0.68797785 0.65181983],0.8153791400671753,0.43933091620882175,0.8134439575594457,0.0009893257666687381,0.8014102364481616,0.8113975576662144,0.864,0.904,0.92,0.864,0.0009821583230499112,0.0009846554470276507,0.7960940454211802,0.48041461841315036,0.8512801121071246,0.0006824078650985464,0.8338857130146584,0.8417599039081789,0.8,0.936,0.944,0.92,42.957481145858765,0.0006912447956131958,0.0006753795524587155,1.1897871065416465e-07,0.7828578224450383,0.6800580007010585
4,51,"(1, 2, 3, 4, 5)",5,3,[0.84238329 0.76349363 0.80707683 0.78260481 0.82909785],[0.7017773  0.71287336 0.72381814 0.74702324 0.69992979],0.8175590008230087,0.44019841181573505,0.8161576617656872,0.0009871420387345961,0.8055920101430255,0.8147118357541651,0.904,0.92,0.92,0.872,0.000982991703560464,0.0009832613530271319,0.8172475921436039,0.4819939052872745,0.8525257468247437,0.0013850600115357763,0.8394020953355429,0.8489445470115888,0.888,0.92,0.944,0.928,42.854464292526245,0.0014057917365490717,0.0013712122656870168,1.1048717308095058e-07,0.8049312829114724,0.7170843652374085
5,51,"(1, 2, 3, 4, 5, 6)",6,3,[0.87506014 0.78414792 0.80448478 0.82636233 0.80598064],[0.72112478 0.74311782 0.76237185 0.78412986 0.74377724],0.8231866005293947,0.4408212291745446,0.8268567742509509,0.0004903290660328762,0.8095513490668861,0.8224970527392842,0.904,0.936,0.928,0.896,0.0004870898306182842,0.00048355506053372765,0.8176257312543097,0.4833507573903953,0.8547500945347777,0.0006869990760369968,0.8391796605645394,0.8498787730498032,0.872,0.936,0.944,0.928,21.219438076019287,0.00069209911338714,0.0006773294385255867,1.1253105343535108e-07,0.8192071610557263,0.750904310045678
6,51,"(1, 2, 3, 4, 5, 6, 7)",7,3,[0.86880258 0.81318802 0.80626399 0.80521626 0.83026555],[0.75686103 0.78404432 0.79740631 0.79400131 0.76184442],0.8375113997820139,0.442222568231866,0.8393798518584425,0.0005087790801134425,0.8142224792579577,0.8327735391596415,0.928,0.944,0.936,0.928,0.0009855725288624457,0.0009771321972093646,0.8583312943479324,0.4853526703294259,0.8672954156193696,0.0013975212682562823,0.8441621994350157,0.8609782681228729,0.928,0.936,0.936,0.944,42.951080560684204,0.0006919360488038667,0.0007619042571234735,1.1417640657890102e-07,0.8247472798456197,0.7788314771534813
7,51,"(1, 2, 3, 4, 5, 6, 7, 8)",8,3,[0.88589823 0.82178265 0.83649758 0.86069844 0.87328744],[0.81102999 0.82483569 0.83561439 0.82484142 0.77560849],0.821763017994973,0.44235602909446803,0.8240763396134083,0.000981639971986483,0.8006317147496497,0.8204951398002536,0.944,0.952,0.936,0.936,0.000984371574222478,0.000983560011316179,0.8567520074738083,0.48484107035611806,0.8620014680694886,0.0013924093622142773,0.8392908779500412,0.854505416286674,0.952,0.936,0.936,0.944,42.79076862335205,0.0014060062215238962,0.0013707967129806254,1.0474228937474269e-07,0.8556328681448889,0.8143859970180463
8,51,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,3,[0.89971254 0.8340697  0.87414961 0.88158493 0.88366407],[0.84607422 0.82103234 0.86042156 0.84708647 0.82250271],0.8261672264608404,0.44313455079298,0.8294815045487911,0.0004883427943114637,0.8033231754787908,0.8244099917699135,0.944,0.952,0.944,0.936,0.0009803341188992295,0.000924533777003383,0.8638031897146162,0.48742131369975755,0.8629579375848032,0.0013916812407725684,0.8355317303200837,0.8612007028938764,0.952,0.936,0.952,0.944,42.90957808494568,0.001398340239814293,0.0013671337472354905,1.06696366082552e-07,0.874636171260913,0.8394234627005899
9,51,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,3,[0.91223939 0.87000507 0.8766499  0.8597336  0.89687027],[0.8512589  0.88335585 0.86725866 0.85610529 0.84340533],0.8262339568921414,0.44402428987699355,0.8304157305870054,0.0009840311474718121,0.8029895233222858,0.8238316613653046,0.944,0.944,0.936,0.944,0.0009807121192342747,0.000980858722504081,0.8576639900349222,0.4881775919211691,0.8551059901683831,0.0014033177984162026,0.8208065484796584,0.8458527036946415,0.952,0.936,0.952,0.944,42.87704038619995,0.0014042055320200935,0.0013676798396425867,1.2948216091617034e-07,0.883099646263687,0.8602768062594592
10,51,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,3,[0.91973463 0.86300591 0.8593002  0.91674264 0.91922658],[0.86490026 0.8781795  0.87372084 0.87869925 0.87376057],0.8280356785372689,0.4447583246213048,0.8321507218008319,0.000484952564529272,0.800920879951954,0.8259892786440376,0.944,0.944,0.944,0.936,0.00048587284953202246,0.0004840075875563212,0.8588428943212403,0.49084680917320994,0.85359343372556,0.0006893721568053321,0.8215850701781703,0.8458082167404408,0.952,0.936,0.952,0.944,33.30820918083191,0.0006910106408536908,0.0006772961499738367,1.0436815827389177e-07,0.8956019948631067,0.8738520816033659
11,51,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",12,3,[0.90658555 0.89141704 0.90087616 0.93506984 0.92454366],[0.86269901 0.89888274 0.89444623 0.89533407 0.89200846],0.827123695976155,0.44571479413661946,0.8268122872967503,0.0004838540317150087,0.8002980625931445,0.8238316613653046,0.944,0.944,0.944,0.936,0.00048268606334107335,0.00048356061304506785,0.8604666681495652,0.49193673955112666,0.8523033120537402,0.0006932586760968212,0.819672131147541,0.8466534688702538,0.96,0.944,0.952,0.952,35.265559673309326,0.00068832058434247,0.0006751807120955945,1.0371121524767805e-06,0.9116984502763872,0.8886741016660965
12,51,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,[0.95255998 0.88332386 0.90626895 0.92271606 0.93516826],[0.90467951 0.89518691 0.90929088 0.92930617 0.89988559],0.8224970527392842,0.4467824810374358,0.8243655048157128,0.0009783166958391236,0.7962497497608826,0.8180483573192161,0.944,0.944,0.936,0.928,0.000984700439870258,0.0009848487242729153,0.8592210334319461,0.4934048090397491,0.8525035033476434,0.0006837425148778505,0.81764797473141,0.8466534688702538,0.96,0.944,0.952,0.952,42.69478940963745,0.0013716600250804844,0.0006741040552214249,9.56795476003434e-07,0.9200074220161844,0.9076698113097803
