,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,AccLDAMulti,AccLDAPropQ,tCLPropL,AccLDALiu,AccLDAVidovic,AccClLDAInd,AccClLDAPropQ,AccClLDALiu,AccClLDAVidovic,tIndL,tGenL,AccQDAInd,AccQDAMulti,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAVidovic,AccClQDAInd,AccClQDAProp,AccClQDALiu,AccClQDAVidovic,tPropQ,tIndQ,tGenQ,tPre,wTargetMeanQDAm,wTargetCovQDAm
0,45,"(1,)",1,2,[0.64277536 0.61718258 0.58133503 0.69667445 0.64268873],[0.50603421 0.51660709 0.50156387 0.50192362 0.51600562],0.3625854954496637,0.5392572494488723,0.5551410321632468,0.0009846371959099552,0.5550562432875473,0.48521847266971907,0.568,0.872,0.872,0.808,0.0009827357433897625,0.0009872794629733575,0.5679441523938726,0.499547792662936,0.5617545644678085,0.0006789653460669899,0.5584760612740942,0.5397942456616358,0.768,0.896,0.904,0.88,41.63157391548157,0.000966905004449484,0.0006747312027187993,3.214376381193974e-07,0.6361312322807756,0.5084268828772882
1,45,"(1, 2)",2,2,[0.67518137 0.70147982 0.66402372 0.71511485 0.70515632],[0.61859612 0.5909854  0.57345464 0.57898658 0.60300318],0.48519020971115256,0.5393137753660053,0.5768187213837545,0.0004849544341538168,0.5729466960601436,0.5591261093211237,0.776,0.88,0.864,0.864,0.0004837246061375423,0.000485244138805089,0.5893957379458482,0.49983042224860097,0.5655983268328528,0.001381556172818611,0.551382058673902,0.5890848454016167,0.792,0.896,0.88,0.944,20.544504404067993,0.0006848779206332273,0.0010574858370970646,1.7730410022411094e-07,0.6921912159102697,0.5930051843608598
2,45,"(1, 2, 3)",3,2,[0.72705196 0.74527531 0.69122454 0.79280075 0.68741229],[0.67487872 0.6364404  0.64033202 0.64148101 0.678961  ],0.5822734723870895,0.5401051382058674,0.6292182465660505,0.000980162848302841,0.623622180769883,0.613560567520208,0.888,0.944,0.944,0.928,0.0009840839181785418,0.0009847161431733307,0.6859985303261545,0.5022327737267537,0.6456107625346221,0.0013800620911423385,0.6297269798202476,0.6649143632355435,0.912,0.96,0.936,0.952,41.8038227558136,0.0013928626796698045,0.001379549823401101,1.1956927114524355e-07,0.7287529714960258,0.6544186284443828
3,45,"(1, 2, 3, 4)",4,2,[0.75335334 0.78332424 0.70305993 0.80159108 0.74557517],[0.73347621 0.69744131 0.69289065 0.70875831 0.72083273],0.6266180543779323,0.5403595048329659,0.6650274150698096,0.0009814271028784009,0.6515459838335877,0.6414278446667797,0.928,0.968,0.968,0.968,0.000982362536306965,0.0009906915804077168,0.691029336950992,0.5029393476909163,0.6719518399186026,0.0013890436496037059,0.6467695438358487,0.6734497767226273,0.928,0.96,0.944,0.952,42.120421409606934,0.0013980193658597688,0.0013768983179715253,1.162687232246839e-07,0.7573807491175906,0.7106798409395396
4,45,"(1, 2, 3, 4, 5)",5,2,[0.76962089 0.78900955 0.73077615 0.82803383 0.77637498],[0.7542629  0.73667623 0.72660722 0.72963973 0.76767774],0.6355774122435136,0.5405290825843649,0.6696060143575829,0.0009883874469800422,0.6520829800463512,0.6492001582725679,0.952,0.96,0.968,0.96,0.0009816243295301369,0.0009812875705309514,0.7011474761178,0.5031371884008818,0.6748346616923859,0.0013840326411951444,0.6442824034819965,0.6668927703351987,0.968,0.968,0.96,0.96,42.52750205993652,0.0013923583026118562,0.0013802812243793624,1.1389755349336879e-07,0.7787630787809825,0.7429727636026283
5,45,"(1, 2, 3, 4, 5, 6)",6,2,[0.82239459 0.81634722 0.7747334  0.86234002 0.80432718],[0.79747291 0.77489919 0.78396606 0.75087382 0.77519375],0.6481261658470409,0.5407269232943305,0.6718953140014696,0.0009810637406190749,0.6560397942456616,0.6565485274998587,0.96,0.976,0.984,0.96,0.0009799309390320719,0.000981027757486058,0.6763043355378441,0.5034198179865468,0.664490418857046,0.0013872988045731094,0.6280877282233904,0.649313210106834,0.976,0.968,0.944,0.952,42.487831354141235,0.0013913748377652874,0.0013720238163623375,1.1094001409391305e-07,0.8160284820849399,0.7764811471202409
6,45,"(1, 2, 3, 4, 5, 6, 7)",7,2,[0.79238332 0.82379702 0.79563715 0.86440182 0.8315007 ],[0.79530703 0.80303573 0.79312083 0.77893807 0.82721536],0.6635860041829179,0.5407834492114635,0.6773218020462382,0.0009784952457167714,0.6544570685659374,0.6609010231191002,0.944,0.968,0.976,0.96,0.0009831343206028612,0.0009756248361562619,0.6720931547114352,0.5036741846136453,0.6629924820530213,0.0013800232509216064,0.6276072579277598,0.6421061556723758,0.968,0.952,0.952,0.944,42.332159996032715,0.0013920302631209335,0.0013783282701577376,2.7476805042846043e-07,0.8215440024761884,0.799523406456926
7,45,"(1, 2, 3, 4, 5, 6, 7, 8)",8,2,[0.83539335 0.85959609 0.80373229 0.89454751 0.84556098],[0.83539556 0.82975125 0.8252139  0.80844228 0.82534516],0.6775761686733367,0.5414617602170595,0.6812220903284156,0.0009804577280563898,0.659657452942174,0.6658470408682381,0.968,0.968,0.968,0.96,0.0009770175990332756,0.0009711390871519447,0.6911706517438245,0.5044090215363745,0.6874964671301792,0.0010045851599697773,0.6439997738963315,0.6643208411056469,0.976,0.968,0.944,0.968,42.31019854545593,0.0013891428188487636,0.0013712494984226184,1.0093554814083282e-07,0.8477660452769772,0.8248296332027936
8,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,2,[0.85329319 0.88801801 0.80873962 0.87806338 0.84403223],[0.86540517 0.8740612  0.8321225  0.88740788 0.82789138],0.6830591826352382,0.5418291786784241,0.6858289525747555,0.0008984338394237491,0.6515459838335877,0.6685602848906224,0.952,0.968,0.968,0.968,0.0009778055420469572,0.000972972245841964,0.6660448815782036,0.5049742807077044,0.6564354756655927,0.0006752471496343114,0.634644734610819,0.6544570685659374,0.952,0.96,0.936,0.928,42.14532804489136,0.0006987095539515004,0.0007114719356691902,1.361871685131491e-07,0.8544292867804041,0.8573776252674156
9,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,2,[0.93561006 0.89037599 0.88133409 0.8535224  0.84638055],[0.90244285 0.89970521 0.88501246 0.87776726 0.82094428],0.6857724266576225,0.5425640156011531,0.6851506415691595,0.0009782376833022952,0.6627663783844893,0.6725170990899327,0.968,0.968,0.976,0.968,0.0009824727700285048,0.0009756935140760574,0.6670623480865977,0.5069809507659262,0.6844158046464304,0.0013836890763973921,0.6482392176813069,0.6740432988525239,0.952,0.968,0.936,0.928,42.35995101928711,0.0013898996438646417,0.0013701419254592137,9.995147961528362e-08,0.8814446170391861,0.8771744112084143
