,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,AccLDAMulti,AccLDAPropQ,tCLPropL,AccLDALiu,AccLDAVidovic,AccClLDAInd,AccClLDAPropQ,AccClLDALiu,AccClLDAVidovic,tIndL,tGenL,AccQDAInd,AccQDAMulti,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAVidovic,AccClQDAInd,AccClQDAProp,AccClQDALiu,AccClQDAVidovic,tPropQ,tIndQ,tGenQ,tPre,wTargetMeanQDAm,wTargetCovQDAm
0,25,"(1,)",1,3,"[0.5        0.50788327 0.77725705 0.58267836 0.50329846 0.57424221
 0.53368532]","[0.5        0.5        0.50074722 0.5        0.5        0.52946266
 0.50369121]",0.9978337703796603,0.9474594306996542,0.9997529738152244,0.0007263376753301145,0.9983658267776384,0.998726865047695,1.0,1.0,1.0,1.0,0.0006321677776353052,0.0006853707209192659,0.982898187207844,0.9249230418424353,0.9992399194314597,0.0015246219919158538,0.9993729335309542,0.9385474860335196,1.0,1.0,1.0,0.9821428571428571,33.711002349853516,0.001156523318028489,0.0011405521998885501,1.2080357792167315e-07,0.5684349547031646,0.5048430136782508
1,25,"(1, 2)",2,3,"[0.63721727 0.67973917 0.80028904 0.64113554 0.66054736 0.7083429
 0.65355921]","[0.63721727 0.65204374 0.65030433 0.63906731 0.63793325 0.68043611
 0.64452352]",0.997415726066963,0.9560103370957321,0.9991069053319652,0.0006189232916732844,0.9989168851898301,0.9987078630334816,1.0,1.0,1.0,1.0,0.0006182833679797091,0.0008234644825934312,0.9938813514232508,0.9435640177858853,0.9994299395735948,0.000877596350437069,0.9995439516588759,0.9817770683692472,1.0,1.0,1.0,1.0,33.403382301330566,0.0010212875484437124,0.0008666961960449497,1.7264793659078664e-07,0.6829757844993687,0.6487893600146398
2,25,"(1, 2, 3)",3,3,"[0.77406424 0.78403665 0.87636445 0.75907447 0.77136704 0.81274545
 0.77846043]","[0.75961723 0.77573515 0.78390676 0.76360815 0.7604939  0.79282508
 0.77133133]",0.998498840877133,0.9625850340136054,0.9994679436020218,0.0013446647257470163,0.9993539315167408,0.9991449093603922,1.0,1.0,1.0,1.0,0.0006150750556104663,0.0015419496078427422,0.9978527723938737,0.9503287348458936,0.9993159274883138,0.000877431148189379,0.9994679436020218,0.9897009082962794,1.0,1.0,1.0,1.0,33.30597376823425,0.0017993400148812076,0.001745617458088497,9.097566937499208e-08,0.7937303891293752,0.7725025150926116
3,25,"(1, 2, 3, 4)",4,3,"[0.88588061 0.89139722 0.92135142 0.8782354  0.88125638 0.90915635
 0.88975588]","[0.87856598 0.8876264  0.88802912 0.88012507 0.87906232 0.89354254
 0.88328239]",0.9988408771329761,0.9673735415954091,0.9991069053319652,0.0006146372028301974,0.9996769657583704,0.9992589214456732,1.0,1.0,1.0,1.0,0.0006152722064732862,0.0006141603158372288,0.9980047885075818,0.9561623532094402,0.9992779234598868,0.0008803952520858538,0.9994489415878083,0.9879527229886368,1.0,1.0,1.0,1.0,33.31856060028076,0.000927567957690118,0.0008644376391673702,9.735991359323065e-08,0.8938618955310673,0.8843191158972867
