,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.7225,0.6825,0.6825,0.725,0.5575,0.61,0.9943360732834418,0.994837261503928,0.5,9,9,3
1,0.7475,0.7325,0.7375,0.75,0.5775,0.61,0.9918489077971836,0.9960692901869374,0.5,9,9,4
2,0.8225,0.8125,0.82,0.84,0.5775,0.56,0.9825284789706044,0.9867010493196451,0.5,9,9,5
3,0.87,0.88,0.885,0.8725,0.6025,0.6125,0.9826298367579589,0.9846953952555562,0.5,9,9,6
4,0.875,0.86,0.865,0.875,0.595,0.61,0.9842735063283372,0.9884580987062813,0.5,9,9,7
5,0.8575,0.83,0.835,0.855,0.5925,0.6125,0.9886683930424175,0.9883916111004861,0.5,9,9,8
6,0.8625,0.8425,0.8475,0.865,0.595,0.6025,0.9866237610829534,0.9873366252751019,0.5,9,9,9
7,0.8625,0.8375,0.8475,0.865,0.5925,0.6,0.9836485324412313,0.9874225466642212,0.5,9,9,10
8,0.845,0.8275,0.8275,0.8475,0.5925,0.6,0.9794806110031069,0.9841363671576787,0.5,9,9,11
9,0.8825,0.8675,0.8775,0.8775,0.6025,0.5925,0.9754394667397522,0.9751826650945419,0.5,9,9,12
10,0.8625,0.8475,0.85,0.8625,0.5725,0.5575,0.9787862073467335,0.979280486656875,0.5,9,9,13
11,0.865,0.835,0.8525,0.8625,0.575,0.5625,0.9775862639016403,0.9768049223629667,0.5,9,9,14
12,0.865,0.855,0.855,0.8675,0.5925,0.5775,0.9755730712173115,0.9759121409379482,0.5,9,9,15
13,0.8675,0.8675,0.875,0.8675,0.5975,0.59,0.9718682799729106,0.97602486568385,0.5,9,9,16
14,0.8675,0.8725,0.8725,0.8675,0.5975,0.59,0.9703124295695146,0.9714192611576766,0.5,9,9,17
15,0.8775,0.87,0.875,0.875,0.605,0.595,0.9752902077464755,0.9735882315474698,0.5,9,9,18
16,0.8725,0.87,0.8725,0.8725,0.6125,0.595,0.9723089506012497,0.9718305953371522,0.5,9,9,19
17,0.885,0.8675,0.8725,0.885,0.6125,0.595,0.9717207437370662,0.9710183565449064,0.5,9,9,20
18,0.885,0.8625,0.8675,0.885,0.615,0.595,0.9713953233440944,0.9718592296852387,0.5,9,9,21
19,0.89,0.87,0.8675,0.89,0.6175,0.5975,0.9708355918551005,0.9719958119003899,0.5,9,9,22
20,0.885,0.8625,0.865,0.885,0.615,0.595,0.9700991313877394,0.9723742027201187,0.5,9,9,23
21,0.8825,0.8625,0.865,0.8825,0.6075,0.5925,0.9695534539111903,0.9710353182776842,0.5,9,9,24
22,0.8825,0.8675,0.87,0.8825,0.605,0.5925,0.9695332458376903,0.9720980683463558,0.5,9,9,25
23,0.8825,0.8675,0.8725,0.8825,0.6,0.5925,0.9693110327494462,0.971881501870216,0.5,9,9,26
24,0.8825,0.8675,0.8725,0.8825,0.605,0.5925,0.9683005826269224,0.9727392320212458,0.5,9,9,27
25,0.8825,0.8675,0.8725,0.8825,0.6075,0.5925,0.9680173153083201,0.9728840578367177,0.5,9,9,28
