,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots,yPropL,yPropQ,yLiuQ,rPropQ,rPropL
57,0.846,0.842,,,0.844,,,,0.5,0,1,30,0.844,0.842,0.842,0.49796747967479676,0.4987539341529611
58,0.846,0.846,,,0.846,,,,0.5,0,1,31,0.846,0.844,0.842,0.49806201550387597,0.49806201550387597
59,0.842,0.844,,,0.848,,,,0.5,0,1,32,0.844,0.842,0.844,0.49953007518796994,0.4981203007518797
60,0.822,0.762,,,0.828,,,,0.5,0,2,3,0.828,0.83,0.83,0.5,0.5
61,0.844,0.636,,,0.85,,,,0.5,0,2,4,0.85,0.832,0.834,0.4852941176470588,0.5
62,0.838,0.716,,,0.842,,,,0.5,0,2,5,0.842,0.838,0.838,0.5,0.5
63,0.832,0.7,,,0.844,,,,0.5,0,2,6,0.842,0.842,0.842,0.5,0.5
64,0.836,0.828,,,0.842,,,,0.5,0,2,7,0.844,0.84,0.84,0.5135135135135136,0.5067567567567568
65,0.834,0.818,,,0.844,,,,0.5,0,2,8,0.844,0.842,0.844,0.5116822429906542,0.5087616822429907
66,0.84,0.828,,,0.844,,,,0.5,0,2,9,0.842,0.846,0.844,0.5090859030837005,0.5030286343612335
67,0.85,0.84,,,0.85,,,,0.5,0,2,10,0.85,0.846,0.85,0.502568493150685,0.5
68,0.848,0.844,,,0.85,,,,0.5,0,2,11,0.848,0.842,0.842,0.5089041095890411,0.5089041095890411
69,0.84,0.83,,,0.838,,,,0.5,0,2,12,0.84,0.84,0.842,0.5053357730526765,0.5091623036649214
70,0.85,0.846,,,0.846,,,,0.5,0,2,13,0.846,0.844,0.844,0.5104088522130532,0.5080645161290323
71,0.838,0.832,,,0.842,,,,0.5,0,2,14,0.842,0.838,0.838,0.5088943299652082,0.5082644628099173
72,0.838,0.802,,,0.85,,,,0.5,0,2,15,0.85,0.84,0.838,0.5136218980794891,0.5096760707735463
73,0.838,0.816,,,0.85,,,,0.5,0,2,16,0.848,0.836,0.84,0.51182355238363,0.5050820256776034
74,0.844,0.814,,,0.848,,,,0.5,0,2,17,0.848,0.834,0.836,0.5097848808272964,0.5030788177339902
75,0.836,0.816,,,0.848,,,,0.5,0,2,18,0.848,0.84,0.84,0.5083564069944374,0.5
76,0.848,0.822,,,0.848,,,,0.5,0,2,19,0.848,0.836,0.836,0.5078375508573472,0.5
77,0.844,0.82,,,0.848,,,,0.5,0,2,20,0.848,0.838,0.838,0.5073789846517119,0.5
78,0.832,0.838,,,0.85,,,,0.5,0,2,21,0.85,0.846,0.846,0.5,0.5
79,0.838,0.838,,,0.85,,,,0.5,0,2,22,0.85,0.848,0.844,0.5,0.5
80,0.842,0.836,,,0.85,,,,0.5,0,2,23,0.85,0.846,0.848,0.5,0.5
81,0.844,0.84,,,0.852,,,,0.5,0,2,24,0.852,0.848,0.848,0.5,0.5
82,0.85,0.846,,,0.848,,,,0.5,0,2,25,0.848,0.846,0.846,0.4975728155339806,0.4987864077669903
83,0.848,0.846,,,0.848,,,,0.5,0,2,26,0.848,0.846,0.848,0.4976635514018692,0.4976635514018692
84,0.844,0.84,,,0.848,,,,0.5,0,2,27,0.848,0.848,0.846,0.49774774774774777,0.49774774774774777
85,0.848,0.848,,,0.844,,,,0.5,0,2,28,0.846,0.846,0.846,0.49782608695652175,0.49782608695652175
86,0.848,0.846,,,0.848,,,,0.5,0,2,29,0.848,0.846,0.846,0.49789915966386555,0.49789915966386555
87,0.85,0.848,,,0.848,,,,0.5,0,2,30,0.846,0.846,0.846,0.498,0.498
88,0.848,0.842,,,0.846,,,,0.5,0,2,31,0.846,0.844,0.846,0.499515503875969,0.49806201550387597
89,0.85,0.844,,,0.848,,,,0.5,0,2,32,0.846,0.844,0.844,0.49809160305343514,0.49809160305343514
90,0.844,0.512,,,0.846,,,,0.5,0,3,3,0.846,0.838,0.838,0.5,0.5
91,0.838,0.642,,,0.84,,,,0.5,0,3,4,0.84,0.838,0.838,0.5,0.5
92,0.84,0.656,,,0.842,,,,0.5,0,3,5,0.842,0.836,0.836,0.5,0.5
93,0.834,0.822,,,0.85,,,,0.5,0,3,6,0.85,0.846,0.846,0.5169902912621359,0.5127427184466019
94,0.83,0.812,,,0.846,,,,0.5,0,3,7,0.844,0.844,0.844,0.5141509433962264,0.5141509433962264
95,0.84,0.832,,,0.85,,,,0.5,0,3,8,0.85,0.848,0.85,0.5147058823529411,0.5110294117647058
96,0.85,0.838,,,0.846,,,,0.5,0,3,9,0.846,0.846,0.846,0.5060572687224669,0.5
97,0.85,0.838,,,0.844,,,,0.5,0,3,10,0.846,0.848,0.844,0.5165006226650063,0.5102739726027398
98,0.842,0.834,,,0.842,,,,0.5,0,3,11,0.844,0.838,0.836,0.5050307636626855,0.5079397394136808
99,0.85,0.838,,,0.848,,,,0.5,0,3,12,0.846,0.844,0.848,0.5145811518324608,0.506871727748691
100,0.848,0.832,,,0.84,,,,0.5,0,3,13,0.838,0.834,0.836,0.5096990488588964,0.5077114163500624
101,0.822,0.796,,,0.848,,,,0.5,0,3,14,0.848,0.842,0.84,0.5043549157976057,0.5063369781312127
102,0.834,0.818,,,0.848,,,,0.5,0,3,15,0.848,0.842,0.84,0.5100833479046454,0.5056438127090301
103,0.838,0.816,,,0.846,,,,0.5,0,3,16,0.846,0.838,0.836,0.5136950974744491,0.5033880171184023
104,0.838,0.818,,,0.848,,,,0.5,0,3,17,0.848,0.838,0.838,0.5089481946624803,0.5
105,0.84,0.82,,,0.846,,,,0.5,0,3,18,0.846,0.836,0.836,0.5083564069944374,0.5
106,0.84,0.82,,,0.848,,,,0.5,0,3,19,0.846,0.838,0.84,0.5078375508573472,0.5
107,0.832,0.832,,,0.848,,,,0.5,0,3,20,0.848,0.846,0.844,0.5,0.5
108,0.834,0.834,,,0.846,,,,0.5,0,3,21,0.85,0.846,0.842,0.5,0.5
109,0.838,0.836,,,0.848,,,,0.5,0,3,22,0.85,0.846,0.846,0.5,0.5
110,0.836,0.84,,,0.852,,,,0.5,0,3,23,0.852,0.852,0.85,0.5,0.5
111,0.852,0.848,,,0.844,,,,0.5,0,3,24,0.844,0.844,0.844,0.4987373737373737,0.49747474747474746
112,0.85,0.846,,,0.844,,,,0.5,0,3,25,0.844,0.846,0.846,0.4975728155339806,0.4975728155339806
113,0.85,0.846,,,0.844,,,,0.5,0,3,26,0.844,0.846,0.846,0.4976635514018692,0.4976635514018692
114,0.85,0.848,,,0.846,,,,0.5,0,3,27,0.844,0.844,0.85,0.49774774774774777,0.49774774774774777
115,0.852,0.846,,,0.844,,,,0.5,0,3,28,0.848,0.846,0.846,0.49782608695652175,0.49782608695652175
116,0.848,0.846,,,0.848,,,,0.5,0,3,29,0.846,0.846,0.846,0.49793388429752067,0.49793388429752067
117,0.846,0.842,,,0.844,,,,0.5,0,3,30,0.846,0.846,0.846,0.4995,0.498
118,0.848,0.84,,,0.846,,,,0.5,0,3,31,0.846,0.844,0.846,0.49803149606299213,0.49803149606299213
119,0.846,0.846,,,0.848,,,,0.5,0,3,32,0.848,0.844,0.844,0.4995229007633588,0.49809160305343514
120,0.802,0.598,,,0.83,,,,0.5,0,4,3,0.83,0.824,0.824,0.5192307692307693,0.5
121,0.804,0.644,,,0.83,,,,0.5,0,4,4,0.83,0.826,0.826,0.5,0.5
122,0.82,0.71,,,0.838,,,,0.5,0,4,5,0.838,0.834,0.836,0.5,0.5113636363636365
123,0.838,0.714,,,0.844,,,,0.5,0,4,6,0.844,0.832,0.832,0.4925,0.5089285714285714
124,0.824,0.798,,,0.84,,,,0.5,0,4,7,0.84,0.84,0.84,0.4976851851851852,0.5
