,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.76,0.6625,0.725,0.765,0.7625,0.7775,0.7414096048500438,0.7898811587930544,0.5,57,35,3
1,0.71,0.715,0.7375,0.7375,0.76,0.755,0.7602698513193938,0.7978420698777956,0.5,57,35,4
2,0.74,0.705,0.7475,0.74,0.7575,0.7625,0.7611377534472038,0.8083001558346815,0.5,57,35,5
3,0.7425,0.69,0.7525,0.7575,0.76,0.78,0.745055388317107,0.7966361103416707,0.5,57,35,6
4,0.74,0.6875,0.77,0.7525,0.76,0.7725,0.7297201401175102,0.7851188251699618,0.5,57,35,7
5,0.75,0.6875,0.77,0.7625,0.77,0.7725,0.7196833729238559,0.7770169185629882,0.5,57,35,8
6,0.7575,0.71,0.7725,0.77,0.77,0.7675,0.7209080799255617,0.7661671387795507,0.5,57,35,9
7,0.7575,0.7275,0.7725,0.7725,0.775,0.775,0.722616432707147,0.7563842532538323,0.5,57,35,10
8,0.77,0.765,0.775,0.78,0.78,0.7775,0.748648285414691,0.756569897457337,0.5,57,35,11
9,0.76,0.7625,0.775,0.76,0.7625,0.7675,0.7469360596494775,0.75627724659671,0.5,57,35,12
10,0.7475,0.7575,0.76,0.755,0.7625,0.77,0.7458425575964204,0.7640465163137276,0.5,57,35,13
11,0.75,0.7575,0.76,0.76,0.7575,0.7625,0.7465180974099643,0.7633709981966226,0.5,57,35,14
12,0.7475,0.755,0.755,0.76,0.755,0.765,0.7439061529799655,0.7637088307520365,0.5,57,35,15
13,0.7525,0.7525,0.76,0.755,0.7575,0.765,0.744769426455492,0.7622023920764354,0.5,57,35,16
14,0.7525,0.75,0.76,0.7575,0.7625,0.7575,0.7535581633116553,0.7620655458994677,0.5,57,35,17
15,0.7425,0.7425,0.7575,0.755,0.755,0.7575,0.7582605773580666,0.7608025608489039,0.5,57,35,18
16,0.745,0.745,0.755,0.7525,0.76,0.755,0.7584036027227726,0.7541527437666893,0.5,57,35,19
17,0.75,0.75,0.755,0.755,0.755,0.7525,0.7682749978779453,0.759277155501876,0.5,57,35,20
18,0.75,0.75,0.7575,0.755,0.7625,0.7575,0.7687582763785085,0.7566528047484146,0.5,57,35,21
19,0.75,0.755,0.76,0.76,0.7575,0.7625,0.7639171221372058,0.760755456400469,0.5,57,35,22
20,0.76,0.755,0.7575,0.755,0.7625,0.7625,0.7669481057485503,0.7584433578064267,0.5,57,35,23
21,0.76,0.7525,0.755,0.7575,0.76,0.765,0.7633567647681102,0.7521855125485025,0.5,57,35,24
22,0.765,0.7525,0.7525,0.7575,0.7575,0.765,0.7683412924985848,0.7614998320441723,0.5,57,35,25
23,0.76,0.7625,0.7625,0.7575,0.76,0.7725,0.769757002421715,0.7584371377703378,0.5,57,35,26
24,0.7575,0.76,0.7625,0.7575,0.7575,0.7725,0.7644966476984868,0.7589519474177769,0.5,57,35,27
25,0.7625,0.7675,0.76,0.76,0.7575,0.77,0.7691844347125267,0.7599039374912742,0.5,57,35,28
26,0.76,0.77,0.765,0.755,0.7575,0.7725,0.7672913244833551,0.7566468381571352,0.5,57,35,29
27,0.76,0.765,0.76,0.76,0.765,0.77,0.7693111451561601,0.755488084942774,0.5,57,35,30
28,0.76,0.76,0.765,0.7625,0.7575,0.765,0.767466007280299,0.7540144027476429,0.5,57,35,31
29,0.76,0.765,0.7675,0.765,0.765,0.765,0.769681112740315,0.7552752597055572,0.5,57,35,32
30,0.77,0.7775,0.775,0.7675,0.765,0.765,0.7687899256624507,0.7545425312542575,0.5,57,35,33
31,0.765,0.7725,0.7675,0.765,0.7675,0.765,0.7708292652812421,0.7551448698412472,0.5,57,35,34
32,0.765,0.7725,0.765,0.765,0.7625,0.7625,0.7695668271447736,0.7544169842079954,0.5,57,35,35
33,0.765,0.7725,0.7725,0.7625,0.765,0.7675,0.7684643296572984,0.7534587501395641,0.5,57,35,36
34,0.7675,0.7725,0.775,0.765,0.765,0.7675,0.7691984054570816,0.7526926254966563,0.5,57,35,37
35,0.7775,0.77,0.77,0.7725,0.765,0.7675,0.7666551841669841,0.7503608162595167,0.5,57,35,38
36,0.775,0.77,0.77,0.7775,0.765,0.77,0.7672915991791295,0.7540906917928618,0.5,57,35,39
37,0.7725,0.7675,0.77,0.7725,0.765,0.77,0.7676422574720756,0.754927278727498,0.5,57,35,40
38,0.775,0.7625,0.77,0.775,0.765,0.77,0.7699340857822554,0.7564868443207545,0.5,57,35,41
39,0.775,0.7675,0.7675,0.7725,0.765,0.77,0.7690814499728573,0.7562119002845329,0.5,57,35,42
40,0.7725,0.7675,0.765,0.775,0.765,0.77,0.7683588031751412,0.7560102527800893,0.5,57,35,43
41,0.765,0.7675,0.7675,0.765,0.765,0.7725,0.7680930876761034,0.7536202009700762,0.5,57,35,44
42,0.7625,0.775,0.77,0.765,0.765,0.7725,0.7705454435689316,0.7570622883756052,0.5,57,35,45
43,0.76,0.7725,0.765,0.765,0.7625,0.77,0.7674387387001993,0.7545298241288954,0.5,57,35,46
44,0.7575,0.7675,0.775,0.755,0.7675,0.765,0.7655868315373314,0.7538600067747104,0.5,57,35,47
45,0.76,0.7675,0.7675,0.7675,0.765,0.77,0.7648251664013647,0.7527533722196122,0.5,57,35,48
46,0.77,0.7675,0.77,0.77,0.7625,0.7675,0.7630477497926117,0.7492946818170254,0.5,57,35,49
47,0.77,0.7675,0.7725,0.77,0.7625,0.7675,0.761278179431832,0.7476358326099369,0.5,57,35,50
48,0.77,0.77,0.7725,0.77,0.765,0.7675,0.7617990908337368,0.7479387774567174,0.5,57,35,51
49,0.765,0.7675,0.77,0.7625,0.765,0.765,0.7637101460463828,0.7498175941314067,0.5,57,35,52
