,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.55,0.35,0.2925,0.1425,0.8225,0.835,0.8625598938098938,0.8194107420934514,0.5,59,76,3
1,0.665,0.4725,0.5125,0.7,0.795,0.7925,0.7794607152639978,0.7586858699104561,0.5,59,76,4
2,0.76,0.5875,0.7675,0.7925,0.8,0.8125,0.741490796371886,0.7731402090561189,0.5,59,76,5
3,0.73,0.6,0.72,0.7475,0.7975,0.815,0.7528591191667219,0.778706546902927,0.5,59,76,6
4,0.7825,0.5975,0.6875,0.8225,0.8025,0.82,0.7484315823909269,0.7888886028548698,0.5,59,76,7
5,0.81,0.625,0.82,0.8275,0.805,0.8175,0.7365642233964362,0.7687652284179293,0.5,59,76,8
6,0.84,0.6575,0.83,0.8475,0.8,0.82,0.7380083069774352,0.7773131513064825,0.5,59,76,9
7,0.855,0.77,0.8325,0.8475,0.7975,0.805,0.7681246704215873,0.7897321492079103,0.5,59,76,10
8,0.8475,0.7975,0.83,0.8425,0.795,0.8,0.7642941998935522,0.7982114896923854,0.5,59,76,11
9,0.8775,0.855,0.8525,0.85,0.7925,0.8025,0.7792507859887885,0.7998927336547561,0.5,59,76,12
10,0.8825,0.8575,0.85,0.8525,0.79,0.7975,0.796697923406792,0.7987487013037576,0.5,59,76,13
11,0.8925,0.86,0.855,0.86,0.7925,0.7975,0.8000620740928728,0.7882997106737131,0.5,59,76,14
12,0.875,0.86,0.86,0.8525,0.7875,0.795,0.8036068809374978,0.7914642809143112,0.5,59,76,15
13,0.8775,0.86,0.86,0.855,0.785,0.8,0.7994012361136159,0.7874357332472945,0.5,59,76,16
14,0.88,0.87,0.8425,0.8475,0.78,0.7775,0.7881981404791445,0.7771705367042407,0.5,59,76,17
15,0.8725,0.8725,0.835,0.8325,0.775,0.765,0.7831508406659831,0.7680009960887386,0.5,59,76,18
16,0.88,0.8725,0.8425,0.84,0.78,0.77,0.7880183433598847,0.7751794540173301,0.5,59,76,19
17,0.8825,0.87,0.8475,0.85,0.785,0.78,0.7931674718344698,0.7846150171468969,0.5,59,76,20
18,0.8825,0.8675,0.8425,0.85,0.7825,0.78,0.7916346957725379,0.7848186538709573,0.5,59,76,21
19,0.88,0.8725,0.845,0.8475,0.7825,0.77,0.7951643934216184,0.7881028448147638,0.5,59,76,22
20,0.8825,0.875,0.86,0.8575,0.7775,0.7725,0.805163371116562,0.7841085069271514,0.5,59,76,23
21,0.88,0.8775,0.8575,0.86,0.7775,0.77,0.8036581154775124,0.7817481974914123,0.5,59,76,24
22,0.88,0.8725,0.86,0.8625,0.78,0.78,0.8027832319616389,0.7827641159313137,0.5,59,76,25
