,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
0,0.74,0.756,0.848,0.845,0.789,0.79,0.786,0.789,0.5,0.5,0.5,20,55,3,0.834,0.813,0.74,0.839
1,0.823,0.76,0.848,0.845,0.838,0.83,0.834,0.828,0.5,0.5317541634481457,0.5,20,55,4,0.85,0.775,0.74,0.839
2,0.824,0.816,0.848,0.845,0.843,0.826,0.845,0.828,0.509524735250457,0.5225022963918258,0.5,20,55,5,0.848,0.786,0.74,0.839
3,0.826,0.799,0.848,0.845,0.839,0.816,0.84,0.819,0.520980054225096,0.5259144933783526,0.5,20,55,6,0.839,0.789,0.74,0.839
4,0.84,0.797,0.848,0.845,0.845,0.825,0.843,0.824,0.5179491924311227,0.4906912341244455,0.5,20,55,7,0.842,0.786,0.74,0.839
5,0.831,0.81,0.848,0.845,0.845,0.833,0.843,0.824,0.5156865167015571,0.48957481537822717,0.5,20,55,8,0.815,0.804,0.74,0.839
6,0.838,0.813,0.848,0.845,0.846,0.837,0.843,0.831,0.5139320225002103,0.49494052132085364,0.5,20,55,9,0.825,0.805,0.74,0.839
7,0.834,0.826,0.848,0.845,0.845,0.843,0.845,0.837,0.49999999999999994,0.49999999999999994,0.5,20,55,10,0.84,0.826,0.74,0.839
8,0.838,0.835,0.848,0.845,0.85,0.842,0.847,0.842,0.5,0.5,0.5,20,55,11,0.838,0.828,0.74,0.839
9,0.828,0.83,0.848,0.845,0.846,0.846,0.842,0.839,0.5,0.5,0.5,20,55,12,0.839,0.811,0.74,0.839
10,0.821,0.819,0.848,0.845,0.831,0.837,0.834,0.835,0.5032690470001195,0.5,0.5,20,55,13,0.832,0.808,0.74,0.839
11,0.832,0.832,0.848,0.845,0.845,0.844,0.844,0.842,0.5,0.5,0.5,20,55,14,0.836,0.822,0.74,0.839
12,0.834,0.831,0.848,0.845,0.844,0.849,0.844,0.846,0.5,0.5,0.5,20,55,15,0.833,0.817,0.74,0.839
13,0.837,0.845,0.848,0.845,0.846,0.851,0.842,0.845,0.5004358185834097,0.5004358185834097,0.5,20,55,16,0.833,0.819,0.74,0.839
14,0.834,0.839,0.848,0.845,0.846,0.85,0.844,0.843,0.5,0.5,0.5,20,55,17,0.841,0.823,0.74,0.839
15,0.841,0.837,0.848,0.845,0.842,0.847,0.846,0.849,0.5,0.5,0.5,20,55,18,0.847,0.821,0.74,0.839
16,0.842,0.842,0.848,0.845,0.842,0.844,0.847,0.845,0.5003600004457408,0.5003600004457408,0.5,20,55,19,0.848,0.823,0.74,0.839
