,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.847,0.68,0.5,0.5,0.855,0.842,0.834,0.828,0.5,0.5155559047430204,0.5,20,0,3
1,0.84,0.657,0.5,0.5,0.854,0.844,0.837,0.838,0.5,0.5317541634481457,0.5,20,0,4
2,0.853,0.82,0.5,0.5,0.855,0.84,0.839,0.842,0.5,0.525255128608411,0.5,20,0,5
3,0.855,0.831,0.5,0.5,0.853,0.841,0.827,0.826,0.5,0.5504107725652505,0.5,20,0,6
4,0.852,0.822,0.5,0.5,0.854,0.842,0.832,0.833,0.5179491924311227,0.5284180556646543,0.5,20,0,7
5,0.856,0.84,0.5,0.5,0.852,0.846,0.836,0.833,0.51867386457831,0.5,0.5,20,0,8
6,0.856,0.845,0.5,0.5,0.852,0.846,0.84,0.844,0.5139320225002103,0.5278640450004206,0.5,20,0,9
7,0.853,0.844,0.5,0.5,0.851,0.845,0.839,0.841,0.5125314072334501,0.5250628144669002,0.5,20,0,10
8,0.852,0.833,0.5,0.5,0.851,0.843,0.84,0.837,0.5113872124741694,0.5,0.5,20,0,11
9,0.853,0.828,0.5,0.5,0.857,0.843,0.841,0.84,0.520869628449301,0.5105823073626679,0.5,20,0,12
10,0.853,0.823,0.5,0.5,0.854,0.844,0.841,0.84,0.5192593015921397,0.5097453248819366,0.5,20,0,13
11,0.85,0.815,0.5,0.5,0.855,0.844,0.842,0.843,0.5178799781155294,0.508929807257044,0.5,20,0,14
12,0.841,0.825,0.5,0.5,0.855,0.851,0.84,0.841,0.49999999999999994,0.5049834445126858,0.5,20,0,15
13,0.843,0.835,0.5,0.5,0.859,0.855,0.838,0.843,0.48000436967292964,0.5031428783455055,0.5,20,0,16
14,0.842,0.84,0.5,0.5,0.858,0.855,0.843,0.841,0.481451385572611,0.5029529836136659,0.5,20,0,17
15,0.841,0.842,0.5,0.5,0.855,0.859,0.841,0.842,0.4827058553569291,0.50278512674159,0.5,20,0,18
16,0.844,0.843,0.5,0.5,0.855,0.851,0.84,0.842,0.4835245954981481,0.5075420102661462,0.5,20,0,19
