,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.828,0.77,0.627,0.619,0.829,0.808,0.827,0.817,0.5033732410975573,0.5,0.5,20,0,3
1,0.823,0.814,0.627,0.619,0.822,0.816,0.835,0.819,0.5115300578829924,0.5,0.5,20,0,4
2,0.795,0.795,0.627,0.619,0.806,0.806,0.81,0.804,0.5194015536993175,0.5068093797279718,0.5,20,0,5
3,0.814,0.772,0.627,0.619,0.826,0.794,0.826,0.783,0.4806600338089302,0.5399781919719698,0.5,20,0,6
4,0.815,0.78,0.627,0.619,0.832,0.798,0.824,0.784,0.4852400683399941,0.5327120514941037,0.5,20,0,7
5,0.824,0.773,0.627,0.619,0.827,0.801,0.834,0.802,0.4932346437372116,0.5339520945950598,0.5,20,0,8
6,0.825,0.813,0.627,0.619,0.825,0.813,0.834,0.812,0.5183601966066459,0.5290130988423561,0.5,20,0,9
7,0.826,0.814,0.627,0.619,0.836,0.811,0.833,0.809,0.5190846302182591,0.5254541887861024,0.5,20,0,10
8,0.83,0.816,0.627,0.619,0.833,0.814,0.833,0.811,0.5171671594606819,0.5284546886711134,0.5,20,0,11
9,0.835,0.806,0.627,0.619,0.843,0.81,0.834,0.807,0.5174277017036033,0.5186654721009691,0.5,20,0,12
10,0.82,0.803,0.627,0.619,0.835,0.809,0.835,0.803,0.5078257070062845,0.549176359119386,0.5,20,0,13
11,0.815,0.799,0.627,0.619,0.825,0.807,0.829,0.802,0.5103029768154934,0.5208900190249651,0.5,20,0,14
12,0.826,0.801,0.627,0.619,0.829,0.812,0.832,0.804,0.5054004535063179,0.5231786968261554,0.5,20,0,15
13,0.833,0.805,0.627,0.62,0.828,0.813,0.836,0.803,0.5029717968984363,0.5244289252720815,0.5,20,0,16
14,0.827,0.818,0.627,0.62,0.827,0.815,0.825,0.813,0.5107156621379663,0.526545095685911,0.5,20,0,17
15,0.823,0.808,0.627,0.62,0.822,0.813,0.827,0.811,0.5100289986439546,0.5255397039618505,0.5,20,0,18
16,0.822,0.808,0.627,0.62,0.823,0.815,0.832,0.809,0.5117659386217162,0.5246753548422569,0.5,20,0,19
17,0.822,0.817,0.627,0.62,0.823,0.817,0.825,0.81,0.516434230596772,0.5223475542702436,0.5,20,0,20
18,0.821,0.817,0.627,0.62,0.823,0.817,0.826,0.811,0.5133986536477962,0.5203406780017472,0.5,20,0,21
19,0.827,0.819,0.627,0.62,0.822,0.818,0.827,0.81,0.5169733428384027,0.521658356665244,0.5,20,0,22
20,0.824,0.819,0.627,0.62,0.82,0.817,0.827,0.811,0.5167271196995977,0.5197293121226356,0.5,20,0,23
21,0.826,0.813,0.627,0.62,0.823,0.815,0.827,0.809,0.515508493729907,0.5185311207106313,0.5,20,0,24
22,0.825,0.815,0.627,0.62,0.824,0.818,0.825,0.808,0.5161762530748837,0.5175289719123952,0.5,20,0,25
23,0.83,0.82,0.627,0.62,0.826,0.814,0.831,0.809,0.5129128392131606,0.525078682194523,0.5,20,0,26
24,0.827,0.823,0.627,0.62,0.823,0.814,0.83,0.814,0.5122507886048044,0.5111339170189159,0.5,20,0,27
25,0.836,0.82,0.627,0.62,0.828,0.817,0.831,0.812,0.5105403937727042,0.5123085590657532,0.5,20,0,28
26,0.828,0.823,0.627,0.62,0.828,0.816,0.828,0.817,0.5116416524310456,0.5235336506499997,0.5,20,0,29
27,0.828,0.824,0.627,0.62,0.826,0.817,0.83,0.816,0.5117186080562844,0.5128982135046052,0.5,20,0,30
28,0.834,0.824,0.627,0.62,0.826,0.819,0.831,0.818,0.5137935437548513,0.5129014811560828,0.5,20,0,31
29,0.83,0.822,0.627,0.62,0.825,0.815,0.832,0.816,0.5147487821554299,0.5119326247907139,0.5,20,0,32
30,0.837,0.821,0.627,0.62,0.823,0.817,0.834,0.817,0.5169854583221878,0.5127965424142154,0.5,20,0,33
31,0.833,0.822,0.627,0.62,0.823,0.817,0.83,0.815,0.5181509903288593,0.5121245795975926,0.5,20,0,34
32,0.835,0.823,0.627,0.62,0.82,0.818,0.829,0.819,0.522750524090291,0.5143849138635217,0.5,20,0,35
33,0.835,0.822,0.627,0.62,0.821,0.82,0.828,0.819,0.5219447668923145,0.5130175578797915,0.5,20,0,36
34,0.834,0.819,0.627,0.62,0.824,0.819,0.831,0.817,0.5251327683397393,0.5195348696461464,0.5,20,0,37
35,0.835,0.82,0.627,0.62,0.819,0.818,0.838,0.82,0.5303648597198086,0.5126861015369922,0.5,20,0,38
36,0.829,0.814,0.627,0.62,0.818,0.816,0.822,0.818,0.5295236795833823,0.5113440455063621,0.5,20,0,39
