,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.834,0.549,0.802,0.802,0.834,0.47,0.818,0.741,0.5818253785178479,0.4270509831248422,0.5,20,0,3
1,0.826,0.581,0.802,0.802,0.84,0.711,0.826,0.733,0.5185106432732733,0.7847495629784699,0.5,20,0,4
2,0.799,0.511,0.802,0.802,0.824,0.72,0.81,0.753,0.6275447024470929,0.5350604273971646,0.5,20,0,5
3,0.803,0.548,0.802,0.802,0.804,0.731,0.801,0.753,0.6797304867661645,0.5911411786950519,0.5,20,0,6
4,0.802,0.734,0.802,0.802,0.811,0.798,0.806,0.781,0.41822013088924254,0.590663444372702,0.5,20,0,7
5,0.795,0.768,0.802,0.802,0.805,0.791,0.796,0.788,0.4929509465341823,0.5216523234359514,0.5,20,0,8
6,0.801,0.785,0.802,0.802,0.803,0.79,0.799,0.791,0.5698529681935366,0.5532666460066866,0.5,20,0,9
7,0.799,0.791,0.802,0.802,0.802,0.793,0.802,0.797,0.5532080120872793,0.517446989797982,0.5,20,0,10
8,0.809,0.802,0.802,0.802,0.814,0.804,0.814,0.803,0.5715941240153324,0.5614263834618203,0.5,20,0,11
9,0.824,0.792,0.802,0.802,0.828,0.807,0.805,0.799,0.5879459020312412,0.5264461269289082,0.5,20,0,12
10,0.822,0.803,0.802,0.802,0.834,0.806,0.825,0.805,0.530929193255994,0.5253740343010072,0.5,20,0,13
11,0.822,0.804,0.802,0.802,0.826,0.807,0.822,0.809,0.5287533455708665,0.5250778894041794,0.5,20,0,14
12,0.82,0.803,0.802,0.802,0.825,0.806,0.821,0.81,0.52620614351307,0.5213975357482351,0.5,20,0,15
13,0.826,0.808,0.802,0.802,0.828,0.811,0.824,0.809,0.5197695104733482,0.519421274244947,0.5,20,0,16
14,0.828,0.821,0.802,0.802,0.839,0.823,0.823,0.818,0.5071745763605127,0.523271830624946,0.5,20,0,17
15,0.828,0.823,0.802,0.802,0.836,0.819,0.825,0.814,0.5048375491652253,0.520007688451881,0.5,20,0,18
16,0.837,0.825,0.802,0.802,0.838,0.827,0.826,0.818,0.5184050600283744,0.5204289794901774,0.5,20,0,19
17,0.828,0.82,0.802,0.802,0.834,0.818,0.822,0.813,0.49667955581854,0.5320585042710639,0.5,20,0,20
18,0.831,0.817,0.802,0.802,0.83,0.821,0.829,0.812,0.47007361967616146,0.5309373683960823,0.5,20,0,21
19,0.83,0.818,0.802,0.802,0.837,0.824,0.831,0.821,0.4781588116107215,0.5207735250616243,0.5,20,0,22
