,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
35,0.847,0.85,0.513,0.513,0.844,0.844,0.842,0.837,0.4991694491095003,0.5,0.5,20,57,38,0.85,0.835,0.745,0.5
36,0.849,0.847,0.513,0.513,0.844,0.841,0.833,0.83,0.501523861299963,0.49999999999999994,0.5,20,57,39,0.85,0.842,0.745,0.5
37,0.847,0.843,0.513,0.513,0.841,0.842,0.835,0.83,0.4990567281631755,0.49096209812187636,0.5,20,57,40,0.848,0.843,0.746,0.5
38,0.845,0.84,0.513,0.513,0.84,0.842,0.835,0.829,0.49908819645564195,0.4828581423460011,0.5,20,57,41,0.849,0.843,0.746,0.5
39,0.844,0.843,0.513,0.513,0.84,0.84,0.835,0.829,0.4991177231645843,0.48262605483656823,0.5,20,57,42,0.849,0.843,0.746,0.5
40,0.848,0.841,0.513,0.513,0.844,0.842,0.841,0.833,0.49691791647354844,0.49166192899191874,0.5,20,57,43,0.851,0.843,0.746,0.5
41,0.847,0.845,0.513,0.513,0.843,0.845,0.832,0.83,0.49761716274070694,0.49458869007343687,0.5,20,57,44,0.851,0.843,0.747,0.5
42,0.845,0.845,0.513,0.513,0.842,0.843,0.833,0.829,0.496985721531008,0.4879587692390233,0.5,20,57,45,0.85,0.844,0.747,0.5
43,0.845,0.838,0.513,0.513,0.844,0.839,0.832,0.826,0.49778699466663573,0.49618267184618703,0.5,20,57,46,0.849,0.844,0.748,0.5
44,0.845,0.838,0.513,0.513,0.843,0.839,0.833,0.826,0.4978472633401837,0.49058705404409564,0.5,20,57,47,0.849,0.846,0.748,0.5
45,0.845,0.84,0.513,0.513,0.844,0.834,0.833,0.826,0.50043107095577,0.48580972438219117,0.5,20,57,48,0.843,0.838,0.748,0.5
46,0.845,0.843,0.513,0.513,0.844,0.835,0.833,0.826,0.5004048758269098,0.48018677815135213,0.5,20,57,49,0.843,0.838,0.748,0.5
47,0.843,0.844,0.513,0.513,0.843,0.842,0.832,0.827,0.5009927960310899,0.48759481341618083,0.5,20,57,50,0.843,0.846,0.748,0.5
48,0.844,0.842,0.513,0.513,0.842,0.84,0.832,0.827,0.49980863712450174,0.4933252686499163,0.5,20,57,51,0.846,0.846,0.748,0.5
49,0.844,0.844,0.513,0.513,0.843,0.842,0.833,0.828,0.5003844137952368,0.4934800448875696,0.5,20,57,52,0.845,0.846,0.748,0.5
50,0.844,0.844,0.513,0.513,0.843,0.842,0.835,0.827,0.5003781209229783,0.49362791154273133,0.5,20,57,53,0.842,0.842,0.748,0.5
51,0.843,0.839,0.513,0.513,0.839,0.839,0.835,0.827,0.4992782243685908,0.4926611152372946,0.5,20,57,54,0.837,0.842,0.748,0.5
52,0.844,0.837,0.513,0.513,0.839,0.841,0.839,0.826,0.49184785551728083,0.4956370831844032,0.5,20,57,55,0.832,0.844,0.747,0.5
53,0.843,0.838,0.513,0.513,0.839,0.841,0.837,0.825,0.4982736779814765,0.4903317920392162,0.5,20,57,56,0.832,0.844,0.747,0.5
54,0.842,0.838,0.513,0.513,0.841,0.84,0.839,0.825,0.4921858125871157,0.49327515248164455,0.5,20,57,57,0.834,0.849,0.747,0.5
55,0.842,0.839,0.513,0.513,0.841,0.839,0.838,0.826,0.4918290121588733,0.49341039613363713,0.5,20,57,58,0.834,0.849,0.747,0.5
56,0.843,0.838,0.513,0.513,0.84,0.839,0.832,0.823,0.500746159449599,0.49362700152048944,0.5,20,57,59,0.832,0.845,0.747,0.5
57,0.843,0.84,0.513,0.513,0.84,0.841,0.834,0.827,0.5016481380669477,0.49422650040382154,0.5,20,57,60,0.829,0.845,0.747,0.5
58,0.845,0.84,0.513,0.513,0.84,0.843,0.837,0.826,0.501124928361778,0.49528987628413723,0.5,20,57,61,0.829,0.845,0.747,0.5
59,0.845,0.84,0.513,0.513,0.84,0.842,0.842,0.825,0.5011079633129429,0.4939811842386352,0.5,20,57,62,0.829,0.845,0.747,0.5
60,0.844,0.839,0.513,0.513,0.839,0.838,0.841,0.828,0.5001998076801665,0.4914013686671489,0.5,20,57,63,0.829,0.845,0.748,0.5
61,0.844,0.84,0.513,0.513,0.84,0.836,0.835,0.831,0.501075564645689,0.49535806969818713,0.5,20,57,64,0.829,0.845,0.748,0.5
62,0.842,0.838,0.513,0.513,0.839,0.84,0.839,0.831,0.5023708361979661,0.49696168016431963,0.5,20,57,65,0.826,0.843,0.748,0.5
63,0.844,0.838,0.513,0.513,0.839,0.841,0.838,0.831,0.5031779557271935,0.497856823675741,0.5,20,57,66,0.826,0.843,0.748,0.5
64,0.844,0.835,0.513,0.513,0.841,0.841,0.839,0.83,0.5035757904525979,0.49984440862588886,0.5,20,57,67,0.827,0.844,0.748,0.5
65,0.845,0.841,0.513,0.513,0.84,0.837,0.839,0.828,0.5043694069778175,0.5011393216526523,0.5,20,57,68,0.826,0.843,0.748,0.5
66,0.847,0.838,0.513,0.513,0.84,0.841,0.839,0.825,0.5047127178830525,0.501572480800801,0.5,20,57,69,0.826,0.843,0.748,0.5
67,0.844,0.841,0.513,0.513,0.844,0.839,0.839,0.827,0.5034105071728379,0.4983629076829724,0.5,20,57,70,0.828,0.843,0.748,0.5
68,0.847,0.841,0.513,0.513,0.841,0.837,0.839,0.822,0.5033588041929762,0.5023879084051159,0.5,20,57,71,0.828,0.843,0.748,0.5
69,0.844,0.836,0.513,0.513,0.84,0.841,0.84,0.824,0.5034200804601225,0.49885987408487387,0.5,20,57,72,0.827,0.846,0.748,0.5
