,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.834,0.549,0.848,0.846,0.835,0.716,0.833,0.742,0.5723371517237535,0.42705098312484224,0.5,20,0,3
1,0.826,0.581,0.848,0.846,0.84,0.715,0.841,0.737,0.517004639312022,0.7847495629784698,0.5,20,0,4
2,0.799,0.511,0.848,0.845,0.825,0.722,0.828,0.745,0.6260041196540931,0.5486498145553416,0.5,20,0,5
3,0.803,0.548,0.848,0.845,0.811,0.733,0.823,0.746,0.6765213119998329,0.5938704958815941,0.5,20,0,6
4,0.802,0.734,0.848,0.845,0.817,0.799,0.828,0.799,0.4255766928765204,0.5964505087326739,0.5,20,0,7
5,0.795,0.768,0.848,0.845,0.807,0.796,0.817,0.796,0.49208612870186996,0.5276384458057485,0.5,20,0,8
6,0.801,0.785,0.848,0.845,0.805,0.797,0.808,0.804,0.570805489052699,0.5583139337474068,0.5,20,0,9
7,0.799,0.791,0.847,0.845,0.804,0.796,0.806,0.803,0.5592473057100369,0.5201390066937788,0.5,20,0,10
8,0.809,0.802,0.848,0.845,0.821,0.81,0.833,0.816,0.5777401750982833,0.5602672954153849,0.5,20,0,11
9,0.824,0.792,0.848,0.845,0.834,0.815,0.831,0.822,0.5878289532032468,0.5269439055940017,0.5,20,0,12
10,0.822,0.803,0.848,0.845,0.839,0.815,0.839,0.823,0.5352799288518774,0.5274363242602229,0.5,20,0,13
11,0.822,0.804,0.847,0.845,0.829,0.812,0.832,0.816,0.531973978933314,0.5247396649590705,0.5,20,0,14
12,0.82,0.803,0.847,0.845,0.83,0.816,0.831,0.818,0.5312811218646998,0.521355887340625,0.5,20,0,15
13,0.826,0.808,0.847,0.845,0.834,0.817,0.839,0.823,0.5224730574948928,0.517546670078183,0.5,20,0,16
14,0.828,0.821,0.847,0.845,0.84,0.83,0.841,0.831,0.5117019000170981,0.5228507455276339,0.5,20,0,17
15,0.828,0.823,0.847,0.845,0.841,0.826,0.841,0.829,0.5108222033927032,0.520605896403918,0.5,20,0,18
16,0.837,0.825,0.847,0.845,0.842,0.828,0.841,0.834,0.5254692621975022,0.5197561041440726,0.5,20,0,19
17,0.828,0.82,0.847,0.845,0.839,0.827,0.841,0.83,0.5043561241611589,0.5322110372762381,0.5,20,0,20
18,0.831,0.817,0.847,0.845,0.838,0.827,0.837,0.828,0.4781654305031021,0.5274886589587611,0.5,20,0,21
19,0.83,0.818,0.847,0.846,0.841,0.831,0.84,0.83,0.4867750222748233,0.5175212675476939,0.5,20,0,22
20,0.832,0.821,0.847,0.846,0.843,0.831,0.842,0.83,0.46056665584708656,0.5333272430926069,0.5,20,0,23
21,0.838,0.819,0.847,0.846,0.844,0.83,0.844,0.831,0.48045873255839666,0.5171959797792813,0.5,20,0,24
22,0.847,0.838,0.847,0.846,0.849,0.833,0.848,0.836,0.49035247893755063,0.5079819428860408,0.5,20,0,25
23,0.84,0.832,0.847,0.846,0.842,0.834,0.846,0.837,0.4873039588407806,0.5129234234037263,0.5,20,0,26
24,0.839,0.834,0.847,0.846,0.842,0.833,0.844,0.836,0.5044863894155441,0.5135880835774936,0.5,20,0,27
25,0.839,0.841,0.847,0.846,0.845,0.836,0.846,0.841,0.5212486887321237,0.4967386018418093,0.5,20,0,28
26,0.84,0.84,0.847,0.846,0.845,0.837,0.847,0.841,0.5201411930470284,0.4949362925968709,0.5,20,0,29
27,0.84,0.839,0.847,0.846,0.846,0.836,0.844,0.84,0.5131396697316506,0.515041743443871,0.5,20,0,30
28,0.839,0.837,0.847,0.846,0.844,0.837,0.846,0.842,0.5296448017801074,0.5029697383187319,0.5,20,0,31
29,0.84,0.831,0.847,0.846,0.842,0.837,0.844,0.842,0.5157563297753404,0.5160621764996056,0.5,20,0,32
30,0.839,0.835,0.847,0.846,0.844,0.838,0.845,0.842,0.5277559715446508,0.5020274183041786,0.5,20,0,33
31,0.838,0.83,0.847,0.846,0.841,0.838,0.842,0.84,0.525926592266402,0.5216390760231078,0.5,20,0,34
32,0.841,0.835,0.847,0.846,0.84,0.839,0.842,0.841,0.538887905519905,0.49909215586895794,0.5,20,0,35
33,0.841,0.838,0.847,0.846,0.841,0.839,0.842,0.842,0.529049011066026,0.4997181968094766,0.5,20,0,36
34,0.84,0.836,0.847,0.846,0.84,0.839,0.841,0.841,0.5341021590022844,0.5073180986145984,0.5,20,0,37
35,0.841,0.838,0.847,0.846,0.841,0.839,0.841,0.84,0.5336021774641335,0.50728681407678,0.5,20,0,38
36,0.84,0.836,0.847,0.846,0.84,0.838,0.842,0.839,0.5315222722054385,0.5072716686793493,0.5,20,0,39
37,0.842,0.837,0.847,0.846,0.843,0.836,0.842,0.835,0.5334707566700534,0.5083932923888284,0.5,20,0,40
38,0.84,0.836,0.847,0.846,0.842,0.837,0.842,0.838,0.5242932636390014,0.5096338850146727,0.5,20,0,41
39,0.842,0.839,0.848,0.846,0.844,0.835,0.846,0.834,0.5254162426729606,0.5083848926326002,0.5,20,0,42
40,0.841,0.839,0.848,0.846,0.844,0.836,0.844,0.836,0.5266272671675141,0.5082570482383593,0.5,20,0,43
41,0.841,0.836,0.848,0.846,0.845,0.835,0.845,0.836,0.5252573352482204,0.5082246564202397,0.5,20,0,44
42,0.838,0.838,0.847,0.846,0.845,0.838,0.843,0.837,0.5263065768729518,0.5020419310899408,0.5,20,0,45
43,0.845,0.837,0.848,0.846,0.848,0.831,0.853,0.83,0.5325845756276837,0.5018596921567072,0.5,20,0,46
44,0.846,0.827,0.848,0.846,0.85,0.827,0.852,0.828,0.5337093118114069,0.4992489194406148,0.5,20,0,47
45,0.845,0.827,0.848,0.846,0.848,0.828,0.849,0.826,0.5251728333335719,0.49946366867992925,0.5,20,0,48
46,0.846,0.827,0.848,0.846,0.845,0.827,0.847,0.828,0.5235821723290268,0.49946061052715174,0.5,20,0,49
47,0.841,0.836,0.847,0.846,0.842,0.837,0.844,0.836,0.5239344172887084,0.5005916971118152,0.5,20,0,50
48,0.841,0.838,0.847,0.846,0.843,0.836,0.843,0.836,0.5239818851606866,0.5012817084123621,0.5,20,0,51
49,0.843,0.835,0.848,0.846,0.845,0.833,0.844,0.835,0.5209844923752303,0.49518449711034684,0.5,20,0,52
50,0.843,0.837,0.847,0.846,0.846,0.835,0.844,0.836,0.5195044901125774,0.49530233824603787,0.5,20,0,53
51,0.844,0.837,0.847,0.846,0.845,0.832,0.842,0.835,0.5180545563722573,0.4946992318842752,0.5,20,0,54
52,0.844,0.833,0.848,0.846,0.846,0.832,0.845,0.835,0.5195602362390817,0.4961356949294887,0.5,20,0,55
53,0.844,0.837,0.848,0.846,0.846,0.836,0.845,0.837,0.5187445073425586,0.4960439541368524,0.5,20,0,56
54,0.844,0.836,0.848,0.846,0.846,0.836,0.844,0.832,0.5189122625175515,0.4959701138146276,0.5,20,0,57
55,0.845,0.83,0.848,0.846,0.85,0.834,0.852,0.835,0.5266715644997083,0.49944013656986397,0.5,20,0,58
56,0.844,0.834,0.848,0.846,0.847,0.833,0.85,0.832,0.519958999649661,0.49880503046700253,0.5,20,0,59
57,0.847,0.831,0.848,0.846,0.847,0.831,0.845,0.834,0.5257158982599346,0.4928091396537296,0.5,20,0,60
58,0.846,0.834,0.847,0.846,0.845,0.83,0.845,0.835,0.5194402726162681,0.4920825998271402,0.5,20,0,61
59,0.846,0.833,0.847,0.846,0.846,0.831,0.843,0.834,0.5186941998938984,0.49256641800708323,0.5,20,0,62
60,0.845,0.833,0.847,0.846,0.845,0.83,0.845,0.835,0.5184414180794403,0.49231129759650377,0.5,20,0,63
61,0.846,0.834,0.847,0.846,0.846,0.832,0.845,0.835,0.51803075846514,0.4929101417832713,0.5,20,0,64
62,0.846,0.83,0.847,0.846,0.848,0.834,0.846,0.832,0.5198245109103821,0.4948458209040106,0.5,20,0,65
63,0.847,0.832,0.847,0.846,0.846,0.836,0.845,0.832,0.5203905943649552,0.4952258536001255,0.5,20,0,66
64,0.844,0.837,0.847,0.846,0.85,0.838,0.845,0.831,0.5226963489965903,0.5026528759938362,0.5,20,0,67
65,0.844,0.842,0.848,0.846,0.851,0.84,0.846,0.838,0.5333653699927807,0.504595302585416,0.5,20,0,68
66,0.844,0.841,0.848,0.846,0.85,0.841,0.846,0.836,0.5266282764572421,0.5028688175520668,0.5,20,0,69
67,0.845,0.84,0.847,0.846,0.848,0.842,0.846,0.837,0.5262471943296849,0.5032065062909471,0.5,20,0,70
68,0.849,0.84,0.847,0.846,0.849,0.843,0.846,0.837,0.5260973655817012,0.49813498413705676,0.5,20,0,71
69,0.848,0.839,0.847,0.846,0.849,0.843,0.846,0.838,0.5257404764973868,0.5032189691568025,0.5,20,0,72
70,0.845,0.841,0.848,0.846,0.849,0.84,0.844,0.837,0.5203479915262348,0.50303562644816,0.5,20,0,73
71,0.849,0.84,0.848,0.846,0.851,0.84,0.848,0.835,0.5205948084723886,0.5030850415376441,0.5,20,0,74
72,0.85,0.839,0.848,0.846,0.853,0.842,0.848,0.841,0.5203417599280471,0.5033778861128697,0.5,20,0,75
73,0.848,0.841,0.848,0.846,0.852,0.841,0.851,0.841,0.5203034082610042,0.5033177870322944,0.5,20,0,76
74,0.85,0.841,0.848,0.846,0.848,0.84,0.849,0.837,0.5189591730532392,0.4987864433262851,0.5,20,0,77
