,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
35,0.838,0.836,0.5,0.5,0.852,0.85,0.629,0.65,0.49956048830734145,0.48873048749276743,0.5,20,0,38,0.841,0.839,0.826,0.5
36,0.844,0.835,0.5,0.5,0.851,0.85,0.646,0.667,0.499007276033749,0.499007276033749,0.5,20,0,39,0.847,0.842,0.826,0.5
37,0.845,0.837,0.5,0.5,0.852,0.849,0.645,0.666,0.5038777074721252,0.4990566004150839,0.5,20,0,40,0.847,0.842,0.826,0.5
38,0.839,0.833,0.5,0.5,0.854,0.847,0.65,0.668,0.49078301777701383,0.49053597340736027,0.5,20,0,41,0.844,0.844,0.826,0.5
39,0.843,0.832,0.5,0.5,0.852,0.849,0.657,0.671,0.49537204703567606,0.508119055188857,0.5,20,0,42,0.844,0.843,0.826,0.5
40,0.845,0.83,0.5,0.5,0.852,0.848,0.665,0.682,0.4989136287660947,0.5,0.5,20,0,43,0.844,0.842,0.827,0.5
41,0.846,0.841,0.5,0.5,0.853,0.85,0.656,0.671,0.4985220105541514,0.4997414683900324,0.5,20,0,44,0.849,0.843,0.829,0.5
42,0.846,0.841,0.5,0.5,0.853,0.852,0.645,0.664,0.5067169649206189,0.4997528422530035,0.5,20,0,45,0.849,0.842,0.829,0.5
43,0.845,0.839,0.5,0.5,0.853,0.853,0.678,0.691,0.5108161856826094,0.507514917894995,0.5,20,0,46,0.849,0.844,0.829,0.5
44,0.844,0.842,0.5,0.5,0.853,0.85,0.694,0.704,0.4867289145496221,0.5,0.5,20,0,47,0.837,0.852,0.826,0.5
45,0.843,0.838,0.5,0.5,0.853,0.85,0.69,0.696,0.49131596648185305,0.5,0.5,20,0,48,0.842,0.852,0.826,0.5
46,0.839,0.841,0.5,0.5,0.854,0.85,0.644,0.66,0.4910347389453008,0.5,0.5,20,0,49,0.83,0.848,0.826,0.5
47,0.837,0.841,0.5,0.5,0.854,0.85,0.667,0.681,0.4913173964674091,0.5,0.5,20,0,50,0.83,0.847,0.826,0.5
48,0.84,0.838,0.5,0.5,0.853,0.85,0.66,0.673,0.5058320263157445,0.5,0.5,20,0,51,0.83,0.847,0.826,0.5
49,0.839,0.843,0.5,0.5,0.853,0.85,0.677,0.693,0.49134121436686584,0.5,0.5,20,0,52,0.836,0.855,0.826,0.5
50,0.843,0.844,0.5,0.5,0.853,0.852,0.668,0.682,0.4986219331482128,0.5033647107983672,0.5,20,0,53,0.841,0.855,0.826,0.5
51,0.839,0.843,0.5,0.5,0.852,0.852,0.656,0.67,0.502293657862231,0.5033268960889046,0.5,20,0,54,0.843,0.851,0.826,0.5
52,0.845,0.847,0.5,0.5,0.852,0.85,0.657,0.671,0.4992201412815661,0.5,0.5,20,0,55,0.844,0.855,0.826,0.5
53,0.84,0.843,0.5,0.5,0.853,0.851,0.665,0.671,0.5063034482017148,0.5031528147299342,0.5,20,0,56,0.844,0.855,0.826,0.5
54,0.845,0.846,0.5,0.5,0.852,0.852,0.668,0.68,0.506138159594565,0.5091304443745293,0.5,20,0,57,0.844,0.855,0.826,0.5
55,0.845,0.845,0.5,0.5,0.853,0.853,0.673,0.686,0.5059815939880588,0.5089073025715956,0.5,20,0,58,0.847,0.853,0.826,0.5
56,0.846,0.843,0.5,0.5,0.851,0.853,0.661,0.671,0.5058555936327819,0.5088123121718615,0.5,20,0,59,0.845,0.854,0.826,0.5
57,0.849,0.853,0.5,0.5,0.854,0.851,0.668,0.671,0.5027458022362487,0.4995821724101729,0.5,20,0,60,0.845,0.855,0.826,0.5
58,0.851,0.855,0.5,0.5,0.854,0.851,0.671,0.68,0.499363310089009,0.5,0.5,20,0,61,0.844,0.855,0.826,0.5
59,0.851,0.855,0.5,0.5,0.854,0.851,0.678,0.684,0.5025375548337406,0.4937475678832508,0.5,20,0,62,0.844,0.855,0.826,0.5
60,0.849,0.854,0.5,0.5,0.854,0.852,0.663,0.669,0.502456026998459,0.49949392660706426,0.5,20,0,63,0.843,0.855,0.826,0.5
61,0.849,0.856,0.5,0.5,0.854,0.851,0.668,0.673,0.49963045004247053,0.49950968327450757,0.5,20,0,64,0.843,0.855,0.826,0.5
62,0.849,0.855,0.5,0.5,0.855,0.852,0.675,0.686,0.499641833075739,0.49952471439943646,0.5,20,0,65,0.843,0.853,0.826,0.5
63,0.853,0.853,0.5,0.5,0.853,0.851,0.703,0.71,0.5023027631808733,0.49953906390880465,0.5,20,0,66,0.842,0.854,0.826,0.5
64,0.851,0.853,0.5,0.5,0.853,0.851,0.711,0.716,0.5051861408429386,0.49955277245078267,0.5,20,0,67,0.842,0.854,0.826,0.5
65,0.852,0.853,0.5,0.5,0.853,0.851,0.73,0.736,0.5025385203215335,0.4995658776844589,0.5,20,0,68,0.842,0.854,0.826,0.5
66,0.855,0.855,0.5,0.5,0.853,0.851,0.743,0.747,0.5024862606381806,0.49449955279408125,0.5,20,0,69,0.841,0.856,0.826,0.5
67,0.853,0.854,0.5,0.5,0.853,0.851,0.735,0.739,0.5024361487994229,0.4946148299659578,0.5,20,0,70,0.843,0.854,0.826,0.5
68,0.853,0.853,0.5,0.5,0.853,0.851,0.743,0.746,0.502388053867983,0.4947254375150737,0.5,20,0,71,0.843,0.854,0.826,0.5
69,0.855,0.857,0.5,0.5,0.851,0.851,0.744,0.747,0.49983215127165903,0.49478031621352897,0.5,20,0,72,0.846,0.855,0.826,0.5
70,0.852,0.859,0.5,0.5,0.853,0.85,0.742,0.744,0.4972542167017464,0.4997179920140682,0.5,20,0,73,0.846,0.854,0.826,0.5
71,0.854,0.856,0.5,0.5,0.854,0.851,0.745,0.753,0.5020496741634266,0.504418997937834,0.5,20,0,74,0.846,0.855,0.826,0.5
72,0.853,0.857,0.5,0.5,0.853,0.851,0.757,0.767,0.4948589770496575,0.499732858338702,0.5,20,0,75,0.846,0.854,0.826,0.5
73,0.855,0.857,0.5,0.5,0.853,0.853,0.753,0.761,0.49713117346079044,0.4997398542479961,0.5,20,0,76,0.848,0.854,0.826,0.5
74,0.855,0.854,0.5,0.5,0.851,0.853,0.77,0.765,0.4947971549684825,0.49974657874888767,0.5,20,0,77,0.848,0.854,0.826,0.5
75,0.855,0.855,0.5,0.5,0.852,0.853,0.773,0.77,0.497199875410276,0.49975304570860746,0.5,20,0,78,0.848,0.854,0.826,0.5
76,0.855,0.855,0.5,0.5,0.853,0.853,0.768,0.762,0.49927547393396865,0.4997592681194494,0.5,20,0,79,0.847,0.855,0.826,0.5
77,0.853,0.856,0.5,0.5,0.854,0.853,0.762,0.762,0.49945092975082805,0.5039367663340215,0.5,20,0,80,0.849,0.854,0.826,0.5
78,0.852,0.856,0.5,0.5,0.854,0.851,0.739,0.74,0.4953235047701224,0.4996943764139294,0.5,20,0,81,0.849,0.854,0.823,0.5
79,0.853,0.857,0.5,0.5,0.853,0.851,0.737,0.739,0.49540741208231914,0.49970180397922065,0.5,20,0,82,0.851,0.853,0.823,0.5
80,0.851,0.855,0.5,0.5,0.855,0.853,0.723,0.727,0.49537475646386986,0.5038563417920844,0.5,20,0,83,0.849,0.855,0.823,0.5
81,0.851,0.856,0.5,0.5,0.857,0.853,0.711,0.71,0.5017024653568558,0.5120208048955552,0.5,20,0,84,0.85,0.853,0.822,0.5
82,0.85,0.855,0.5,0.5,0.856,0.853,0.702,0.709,0.4975590147538964,0.511824093172088,0.5,20,0,85,0.846,0.852,0.822,0.5
83,0.851,0.855,0.5,0.5,0.854,0.849,0.72,0.727,0.49561165192154616,0.5076548029396956,0.5,20,0,86,0.846,0.854,0.822,0.5
84,0.851,0.857,0.5,0.5,0.854,0.848,0.718,0.722,0.49568538455000277,0.5075337539704872,0.5,20,0,87,0.846,0.854,0.822,0.5
85,0.853,0.855,0.5,0.5,0.853,0.847,0.728,0.732,0.5,0.5035301553567223,0.5,20,0,88,0.846,0.855,0.822,0.5
86,0.855,0.853,0.5,0.5,0.853,0.847,0.726,0.733,0.5,0.4996194822758086,0.5,20,0,89,0.845,0.855,0.822,0.5
87,0.854,0.856,0.5,0.5,0.852,0.847,0.729,0.733,0.50186767212349,0.49579833806749657,0.5,20,0,90,0.846,0.854,0.822,0.5
88,0.854,0.855,0.5,0.5,0.853,0.847,0.722,0.729,0.49772026913138956,0.5033451606066849,0.5,20,0,91,0.849,0.855,0.822,0.5
89,0.855,0.856,0.5,0.5,0.85,0.848,0.741,0.742,0.4956919909509051,0.49580705441721623,0.5,20,0,92,0.846,0.854,0.822,0.5
90,0.854,0.852,0.5,0.5,0.85,0.849,0.744,0.745,0.5018435844881117,0.495874193584179,0.5,20,0,93,0.843,0.852,0.822,0.5
91,0.855,0.855,0.5,0.5,0.848,0.85,0.746,0.748,0.5016168236227363,0.5,0.5,20,0,94,0.844,0.852,0.822,0.5
