,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.842,0.746,0.787,0.792,0.854,0.854,0.851,0.85,0.5,0.5,0.5,20,0,3
1,0.842,0.768,0.787,0.792,0.853,0.853,0.855,0.853,0.5,0.5,0.5,20,0,4
2,0.822,0.728,0.787,0.792,0.85,0.84,0.848,0.85,0.5252551286084108,0.5215968810560305,0.5,20,0,5
3,0.813,0.804,0.787,0.792,0.838,0.842,0.843,0.843,0.520980054225096,0.520980054225096,0.5,20,0,6
4,0.816,0.83,0.787,0.792,0.843,0.844,0.838,0.843,0.5014686936947091,0.5105017172131211,0.5,20,0,7
5,0.825,0.837,0.787,0.792,0.84,0.84,0.841,0.844,0.5202089161560441,0.5037962831725266,0.5,20,0,8
6,0.83,0.832,0.787,0.792,0.837,0.836,0.837,0.836,0.5174394609811803,0.504743670368761,0.5,20,0,9
7,0.836,0.838,0.787,0.792,0.843,0.841,0.844,0.843,0.515331761006898,0.5089787993157578,0.5,20,0,10
8,0.841,0.837,0.788,0.792,0.853,0.844,0.85,0.848,0.5024040768440812,0.49711305084911805,0.5,20,0,11
9,0.843,0.842,0.787,0.792,0.853,0.846,0.85,0.846,0.5110668651407317,0.500788167592363,0.5,20,0,12
10,0.847,0.841,0.787,0.792,0.852,0.845,0.852,0.846,0.519890595576608,0.5115346561484131,0.5,20,0,13
11,0.847,0.843,0.787,0.792,0.852,0.845,0.852,0.846,0.5126854084296539,0.5069360672129503,0.5,20,0,14
12,0.846,0.841,0.787,0.792,0.849,0.846,0.851,0.848,0.49279579791927997,0.5090077370170066,0.5,20,0,15
13,0.849,0.841,0.787,0.792,0.851,0.844,0.851,0.846,0.5101805367314687,0.5071603337245916,0.5,20,0,16
14,0.851,0.845,0.787,0.792,0.852,0.846,0.851,0.847,0.49770220592790226,0.5089475448991274,0.5,20,0,17
15,0.847,0.841,0.787,0.792,0.851,0.845,0.852,0.845,0.4962638884515127,0.51466497078432,0.5,20,0,18
16,0.858,0.847,0.788,0.792,0.853,0.85,0.853,0.849,0.49383562954296023,0.5153225115311748,0.5,20,0,19
17,0.855,0.846,0.788,0.792,0.853,0.849,0.853,0.848,0.4911672225789787,0.5130390306110028,0.5,20,0,20
18,0.853,0.845,0.788,0.792,0.853,0.848,0.853,0.849,0.5028365234663201,0.513201660316056,0.5,20,0,21
