,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,tPropQDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL,AccLDALiu,AccLDAVidovic,AccQDAInd,tIndQ,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAVidovic
0,1,"(1,)",1,3,0.7197977562213769,0.582211627182456,0.8664982654400755,0.5532483189680327,285.24040603637695,387.4220480918884,0.508203125,0.002795333927497268,0.505859375,0.002674678387120366,0.505859375,0.502734375,0.4623046875,0.004081936134025454,0.5115234375,0.003658950375393033,0.47421875,0.4646484375
1,1,"(1, 2)",2,3,0.8256811564974782,0.781556887365978,0.9066577593474491,0.6646296788242846,324.3543667793274,438.9309973716736,0.5693359375,0.0027870966121554376,0.5669921875,0.002642568899318576,0.5501953125,0.5771484375,0.5375,0.0037625449243932963,0.588671875,0.004752084845677018,0.52578125,0.548828125
2,1,"(1, 2, 3)",3,3,0.9127671928458027,0.9108828697119288,0.9432380230447769,0.7783715718336327,308.0590410232544,423.02871465682983,0.5958984375,0.0026498205959796907,0.59921875,0.002809227304533124,0.5765625,0.6048828125,0.6064453125,0.003604516526684165,0.6220703125,0.0036052937153726815,0.579296875,0.60859375
3,1,"(1, 2, 3, 4)",4,3,0.9557072265588933,0.9619421099121634,0.9704230326790712,0.8933953524913937,314.93632531166077,429.1519956588745,0.626953125,0.0026764611713588236,0.6279296875,0.002638449985533953,0.590625,0.63515625,0.6720703125,0.004054325120523572,0.679296875,0.0036027430556714534,0.6169921875,0.6642578125
4,2,"(1,)",1,3,0.6872610672756748,0.5392166185226279,0.8650406494092083,0.5557976987570903,313.52156710624695,431.0159521102905,0.5203412073490814,0.0026807855954841886,0.5085301837270341,0.0026229082860137324,0.48709536307961504,0.5030621172353456,0.4577865266841645,0.003947063589554968,0.523403324584427,0.0036310291248565166,0.5199037620297463,0.5170603674540682
5,2,"(1, 2)",2,3,0.8205645761336973,0.7479909269616358,0.9378146281114762,0.6802428735347739,318.10575699806213,436.58074498176575,0.5691163604549432,0.002696358312772015,0.5579615048118985,0.0026347380089113198,0.5091863517060368,0.549650043744532,0.5293088363954506,0.004064175869849097,0.5597112860892388,0.003525998909433787,0.5636482939632546,0.5750218722659668
6,2,"(1, 2, 3)",3,3,0.8905495221570443,0.8787032533862515,0.9613968068443014,0.8125926995530077,318.8928470611572,436.9306797981262,0.5737095363079615,0.0027922082656533283,0.5748031496062992,0.0026630333715223576,0.5284339457567804,0.5673665791776028,0.5826771653543307,0.00463524374749091,0.6087051618547682,0.004440058821246797,0.5896762904636921,0.6067366579177603
7,2,"(1, 2, 3, 4)",4,3,0.9491657726438559,0.9553351851174745,0.9833255124995117,0.9037151992763371,314.9042420387268,423.43078231811523,0.5958005249343832,0.0031069136980011705,0.5968941382327209,0.00271040712233082,0.5511811023622047,0.5931758530183727,0.631233595800525,0.003653861719166513,0.6461067366579177,0.003967897733469752,0.6139545056867891,0.6292650918635171
8,3,"(1,)",1,3,0.7001027410541945,0.5860980678148247,0.9473514136640109,0.5438989818016626,318.39953780174255,437.8882236480713,0.4536128456735058,0.0025623275380810915,0.45495093666369313,0.0026303332475122866,0.4616413916146298,0.45874219446922393,0.39339875111507583,0.0035994435717865998,0.43086529884032115,0.0035969919120489116,0.43800178412132024,0.4232827832292596
9,3,"(1, 2)",2,3,0.7994417698949668,0.8117034124829732,0.9633581028174627,0.6693053645583189,314.89020895957947,425.9284245967865,0.5323371989295272,0.0027586760848468165,0.5272078501338091,0.002658272459504862,0.5133809099018734,0.5263157894736842,0.4707850133809099,0.004033912940284804,0.4872881355932203,0.0035741810390292057,0.489964317573595,0.46721677074041035
10,3,"(1, 2, 3)",3,3,0.897442716354729,0.9245642909899902,0.9793047639176246,0.7672987438603127,308.3417956829071,419.938499212265,0.5744870651204282,0.0026072889539836028,0.5740410347903657,0.0028393743933576437,0.5468331846565566,0.5700267618198037,0.5450490633363069,0.0036488689555322137,0.5432649420160571,0.004015600862086192,0.5359054415700267,0.522078501338091
11,3,"(1, 2, 3, 4)",4,3,0.9555513100916075,0.9704965133262348,0.9905648786059914,0.8933686753755704,313.9386751651764,428.56744360923767,0.5914362176628011,0.0030665832582485665,0.593443354148082,0.0026455237118927738,0.5466101694915254,0.5787243532560215,0.5929973238180196,0.0036441827862524327,0.5981266726137378,0.003933522075972953,0.5664585191793042,0.5657894736842105
12,4,"(1,)",1,3,0.7687428482986783,0.5393461024813492,0.9447193181710486,0.5653843316033877,297.5420792102814,405.8610713481903,0.4091608929946112,0.0025792123722607947,0.3754811393379523,0.0026832194489823384,0.4172440338722094,0.40685142417244036,0.34314857582755964,0.0041331970480609805,0.3899153194765204,0.003945247359786059,0.39414934565050036,0.3801000769822941
13,4,"(1, 2)",2,3,0.8810650087677393,0.7835935864379642,0.9780881160734763,0.7072730774852246,298.9458122253418,409.2631268501282,0.4701693610469592,0.0024317968708446524,0.4565050038491147,0.0021828595173184555,0.4543879907621247,0.4780600461893764,0.44957659738260203,0.0029364128219246223,0.48518090839107003,0.003157940298158265,0.4603541185527329,0.4674749807544265
14,4,"(1, 2, 3)",3,3,0.9442082152196125,0.9097873878571414,0.981457849677597,0.816977029493978,246.70091223716736,337.81917214393616,0.5163587374903772,0.002127476386421914,0.5015396458814473,0.002137127337408029,0.47825250192455737,0.5163587374903772,0.5050038491147036,0.00319017617862164,0.5284834488067744,0.002870409877782973,0.49153194765204006,0.5261739799846036
15,4,"(1, 2, 3, 4)",4,3,0.9730133824997098,0.9663831805978594,0.9935024683344429,0.8773711296199787,255.13433146476746,349.3819091320038,0.5452270977675134,0.0024425962321844535,0.5450346420323325,0.0021010462002537633,0.4821016166281755,0.5436874518860662,0.5356043110084681,0.003225280928373153,0.5517705927636644,0.0028989760576531554,0.504041570438799,0.5392609699769053
