,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,tPropQDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL,AccLDALiu,AccLDAVidovic,AccQDAInd,tIndQ,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAVidovic
0,20,"(1,)",1,1,0.5963045345683403,0.5,0.5904164334992122,0.5,18.60647201538086,28.29256844520569,0.9496748657054,0.0005303690608985102,0.9648477994533974,0.0005174712471480689,0.9618320610687023,0.9851097917255678,0.9307322589765338,0.0008285040455908861,0.9837904061822637,0.0007738057770071622,0.9829422297615682,0.8948261238337574
1,20,"(1, 2)",2,1,0.738203756663977,0.6407617704674251,0.7405127647560674,0.6380837741331865,19.46074104309082,29.428242683410645,0.9239468476109698,0.0005056361048422236,0.9496748657054,0.0005374697598151848,0.9730468381867873,0.9641881066817454,0.9659787013476581,0.0007505590330811813,0.9802092168504383,0.0007605633786436683,0.9784186221845255,0.892941287343323
2,20,"(1, 2, 3)",3,1,0.8506775174077063,0.7619773960920977,0.8308325223024237,0.7591941642439595,19.39556908607483,28.531862258911133,0.95514089152766,0.0005225724071171582,0.9637168975591367,0.0005165057541366662,0.9767222693431344,0.9823767788144379,0.9871831118650457,0.0007817417835382633,0.9855810008481765,0.0008024722913490952,0.9803034586749599,0.9766280275186128
3,20,"(1, 2, 3, 4)",4,1,0.9227137924552464,0.8797960449598718,0.9159970578078729,0.8782353986830154,20.421977519989014,29.1745662689209,0.9581566299123551,0.0005450663046656652,0.963622655734615,0.0005333216450304487,0.9774762039393082,0.981340118744699,0.9831307134106116,0.0007730605476213303,0.9833191970596551,0.0007914880501449912,0.9796437659033079,0.9696541325040052
4,21,"(1,)",1,1,0.6566358730647661,0.5011687564857602,0.6525902273937464,0.5029775345567601,21.065006017684937,29.428192615509033,0.9176791937458793,0.000556907445414093,0.9463125176603561,0.0005316936196137409,0.9348215126683621,0.9350098897993784,0.8869737213902232,0.0008004677321509564,0.9576151455213338,0.0009317045731879992,0.940567015164359,0.8321559762644815
5,21,"(1, 2)",2,1,0.7570153609707732,0.6407959747141957,0.7600187614666337,0.6401368010934073,20.563162565231323,31.110419988632202,0.9372704153715739,0.0005299026170917248,0.9525289629838938,0.0005401021580670505,0.9343505698408213,0.9556371856456626,0.9300178958274465,0.0007732593374332264,0.9557313742111707,0.0007804471512034843,0.9292643873033813,0.9033625317886409
6,21,"(1, 2, 3)",3,1,0.8384870289606724,0.7659923799251411,0.8377993336208984,0.7625325975133409,20.221762895584106,29.000104665756226,0.943110106433079,0.0005223294531455807,0.9522463972873693,0.0005212095572672917,0.938589055288688,0.9484788546670434,0.946971837618913,0.0007849777329829248,0.9601582367900537,0.0007709147645623892,0.9222002448902703,0.8623905057925968
7,21,"(1, 2, 3, 4)",4,1,0.9202057429729836,0.8835302273806239,0.9223049354430133,0.8789798313960183,20.08941388130188,29.473360538482666,0.95271734011491,0.0005187518495371239,0.961005933879627,0.0005156404612550989,0.9463125176603561,0.9557313742111707,0.9448996891777338,0.0007718495082145605,0.9543185457285486,0.0007683497830682233,0.9189036450974851,0.9025148346990676
8,22,"(1,)",1,1,0.5286970206887286,0.5,0.5361282546213947,0.5,19.48681139945984,28.48673963546753,0.9691235997364209,0.0005773612809452781,0.9672408924032759,0.0006320083544189889,0.9556622423044338,0.9888920267344441,0.8752706391791396,0.0009141310363528218,0.9413536665725313,0.0008179464549384503,0.940129906805987,0.9069942577426339
9,22,"(1, 2)",2,1,0.6885485007351768,0.6376859970397278,0.6885195118886193,0.6372172703750175,21.173912525177002,30.491076469421387,0.9932222536006777,0.0005582756975057782,0.9946342841005366,0.0005438540779263872,0.9849383413348395,0.9922808999341053,0.9830556340016945,0.0007869034492171643,0.9967993975336534,0.0008134136515957346,0.9850324767014967,0.9775016473689165
