,C,degree,kernel,gamma,person
0,10,2,rbf,auto,1
1,10,2,rbf,scale,2
2,1,2,rbf,auto,3
3,10,2,rbf,auto,4
4,10,2,rbf,scale,5
5,10,2,rbf,auto,6
6,10,2,rbf,scale,7
7,10,2,rbf,scale,8
8,10,2,rbf,auto,9
9,10,2,rbf,scale,10
