,p,n_neighbors,weights,person
0,1,7,distance,1
1,3,7,distance,2
2,1,7,distance,3
3,1,7,uniform,4
4,2,5,distance,5
5,1,7,distance,6
6,1,7,distance,7
7,2,7,distance,8
8,2,5,uniform,9
9,2,5,distance,10
