,C,degree,kernel,gamma,person
0,1,2,rbf,auto,1
1,10,2,rbf,scale,2
2,1,2,rbf,scale,3
3,10,2,linear,scale,4
4,10,2,linear,scale,5
5,1,2,rbf,scale,6
6,1,2,linear,scale,7
7,10,2,linear,scale,8
8,1,2,rbf,scale,9
9,10,2,linear,scale,10
