,p,n_neighbors,weights,person
0,2,7,distance,31
1,1,7,distance,32
2,2,5,distance,33
3,2,7,uniform,34
4,2,5,distance,35
5,1,3,uniform,36
6,2,7,distance,37
7,3,5,distance,38
8,2,5,distance,39
9,1,7,distance,40
10,1,7,distance,41
11,1,7,distance,42
12,1,7,uniform,43
13,2,7,distance,44
14,3,7,uniform,45
15,3,7,distance,46
16,2,7,uniform,47
17,2,7,uniform,48
18,3,3,distance,49
19,3,5,uniform,50
20,3,7,distance,51
21,3,7,distance,52
22,2,7,distance,53
23,2,7,distance,54
24,2,7,distance,55
25,3,7,distance,56
26,2,7,distance,57
27,2,5,distance,58
28,3,7,distance,59
29,2,7,uniform,60
