,p,n_neighbors,weights,person
0,1,7,uniform,20
1,3,1,uniform,21
2,1,1,uniform,22
3,2,1,uniform,23
4,2,1,uniform,24
5,2,1,uniform,25
6,1,1,uniform,26
7,3,7,uniform,27
8,2,7,uniform,28
9,2,1,uniform,29
10,1,5,uniform,30
11,3,3,uniform,31
12,2,1,uniform,32
13,3,7,uniform,33
14,1,5,uniform,34
15,2,1,uniform,35
16,2,1,uniform,36
