,C,degree,kernel,gamma,person
0,10,2,linear,scale,20
1,1,2,rbf,auto,21
2,1,2,linear,scale,22
3,10,2,linear,scale,23
4,1,2,linear,scale,24
5,0.1,2,linear,scale,25
6,1,2,linear,scale,26
7,10,2,linear,scale,27
8,1,2,poly,auto,28
9,1,2,rbf,scale,29
10,1,2,rbf,scale,30
11,10,2,rbf,auto,31
12,10,2,linear,scale,32
13,1,2,linear,scale,33
14,10,2,rbf,scale,34
15,10,2,linear,scale,35
16,0.1,2,linear,scale,36
