,C,degree,kernel,gamma,person
0,10,2,rbf,auto,31
1,10,2,rbf,auto,32
2,10,2,rbf,scale,33
3,10,2,rbf,auto,34
4,1,2,rbf,auto,35
5,1,2,rbf,auto,36
6,10,2,rbf,auto,37
7,10,2,rbf,auto,38
8,10,2,rbf,auto,39
9,10,2,rbf,auto,40
10,10,2,rbf,scale,41
11,10,2,rbf,auto,42
12,10,2,rbf,scale,43
13,10,2,rbf,scale,44
14,10,2,rbf,scale,45
15,10,2,rbf,scale,46
16,10,2,rbf,scale,47
17,10,2,rbf,auto,48
18,10,2,rbf,auto,49
19,10,2,rbf,auto,50
20,10,2,rbf,auto,51
21,10,2,rbf,auto,52
22,10,2,rbf,scale,53
23,10,2,rbf,scale,54
24,10,2,rbf,scale,55
25,10,2,rbf,scale,56
26,10,2,rbf,auto,57
27,10,2,rbf,scale,58
28,10,2,rbf,scale,59
29,10,2,rbf,auto,60
