,C,degree,kernel,gamma,person
0,1,2,rbf,scale,31
1,10,2,rbf,scale,32
2,1,2,rbf,scale,33
3,1,2,rbf,auto,34
4,1,2,rbf,auto,35
5,1,2,rbf,scale,36
6,1,2,rbf,auto,37
7,10,2,rbf,scale,38
8,10,2,linear,scale,39
9,10,2,rbf,scale,40
10,10,2,rbf,auto,41
11,10,2,rbf,auto,42
12,1,2,rbf,scale,43
13,1,2,linear,scale,44
14,1,2,rbf,auto,45
15,10,2,rbf,auto,46
16,1,2,linear,scale,47
17,1,2,rbf,scale,48
18,1,2,rbf,auto,49
19,1,2,rbf,scale,50
20,1,2,rbf,scale,51
21,1,2,rbf,scale,52
22,1,2,rbf,auto,53
23,10,2,rbf,scale,54
24,1,2,rbf,scale,55
25,1,2,rbf,scale,56
26,1,2,poly,auto,57
27,10,2,rbf,scale,58
28,10,2,rbf,scale,59
29,1,2,rbf,scale,60
