,p,n_neighbors,weights,person
0,1,7,distance,20
1,1,7,uniform,21
2,1,7,distance,22
3,1,7,distance,23
4,1,7,distance,24
5,1,7,uniform,25
6,3,5,distance,26
7,1,7,uniform,27
8,2,7,uniform,28
9,2,1,uniform,29
10,1,3,uniform,30
11,1,7,uniform,31
12,1,7,distance,32
13,1,7,uniform,33
14,3,1,uniform,34
15,1,7,distance,35
16,2,7,distance,36
