,p,n_neighbors,weights,person
0,1,7,uniform,20
1,1,7,distance,21
2,1,7,uniform,22
3,1,7,uniform,23
4,1,7,distance,24
5,1,5,distance,25
6,3,5,distance,26
7,1,7,uniform,27
8,3,7,uniform,28
9,2,7,uniform,29
10,1,7,uniform,30
11,2,7,uniform,31
12,1,7,uniform,32
13,2,7,distance,33
14,3,5,uniform,34
15,1,7,distance,35
16,2,7,uniform,36
