,C,degree,kernel,gamma,person
0,0.1,2,linear,scale,20
1,0.1,2,linear,scale,21
2,10,2,linear,scale,22
3,0.1,2,rbf,scale,23
4,10,2,linear,scale,24
5,0.1,2,linear,scale,25
6,0.1,2,linear,scale,26
7,0.1,2,linear,scale,27
8,1,2,poly,auto,28
9,1,2,rbf,auto,29
10,10,2,rbf,scale,30
11,0.1,2,linear,scale,31
12,0.1,2,linear,scale,32
13,0.1,2,linear,scale,33
14,0.1,2,rbf,scale,34
15,1,2,linear,scale,35
16,0.1,2,linear,scale,36
