,C,degree,kernel,gamma,person
0,1,2,linear,scale,20
1,0.1,2,linear,scale,21
2,10,2,linear,scale,22
3,0.1,2,linear,scale,23
4,10,2,rbf,scale,24
5,10,2,rbf,auto,25
6,10,2,rbf,scale,26
7,10,3,poly,scale,27
8,0.1,2,rbf,auto,28
9,10,3,poly,auto,29
10,10,2,rbf,auto,30
11,1,2,rbf,scale,31
12,10,2,linear,scale,32
13,1,2,rbf,auto,33
14,0.1,2,rbf,scale,34
15,10,3,poly,scale,35
16,1,2,linear,scale,36
