,Unnamed: 0,wTargetMeanLDA,wTargetCovLDA,tPropLDA,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,0,1.0,0.5,2.3391597270965576,0.8454915028125263,0.5,2.614267587661743,0.85,0.835,0.5,0.5,0.831,0.738,0.5,0.5,0.501,0.446,20.0,0.0,3.0
1,1,1.0,0.5264068897441496,2.3371293544769287,0.8731221475081383,0.5278192696233527,2.7022933959960938,0.8540000000000001,0.82,0.5,0.5,0.84,0.7559999999999999,0.5,0.5,0.502,0.387,20.0,0.0,4.0
2,2,1.0,0.5482140302360516,5.690786600112915,1.0,0.5463969009419777,7.469112634658813,0.845,0.8109999999999999,0.5,0.5,0.8370000000000001,0.838,0.5,0.5,0.5,0.5,20.0,0.0,5.0
3,3,1.0,0.5610346386136531,3.8119390010833736,1.0,0.5643106945431713,5.751496315002441,0.828,0.794,0.5,0.5,0.84,0.8190000000000001,0.5,0.5,0.504,0.5,20.0,0.0,6.0
4,4,1.0,0.5734816140844174,4.511509656906128,1.0,0.5720220051041774,6.88792610168457,0.816,0.787,0.5,0.5,0.8340000000000001,0.807,0.5,0.5,0.521,0.5,20.0,0.0,7.0
5,5,1.0,0.6175884772569196,4.342315196990967,1.0,0.6005796436793038,6.594379901885986,0.833,0.813,0.5,0.5,0.841,0.816,0.5,0.5,0.503,0.5,20.0,0.0,8.0
6,6,1.0,0.5901254459210077,3.354759693145752,1.0,0.6053874075922563,4.512836933135986,0.8420000000000001,0.8140000000000001,0.5,0.5,0.8420000000000001,0.815,0.5,0.5,0.503,0.5,20.0,0.0,9.0
7,7,1.0,0.6217477964829974,7.67669939994812,1.0,0.6075757215756974,6.9758455753326425,0.8390000000000001,0.8240000000000001,0.5,0.5,0.845,0.8220000000000001,0.5,0.5,0.508,0.5,20.0,0.0,10.0
8,8,1.0,0.6290568508164119,12.522169828414915,1.0,0.6135438886586557,7.320816516876222,0.826,0.816,0.5,0.5,0.845,0.813,0.5,0.5,0.51,0.5,20.0,0.0,11.0
9,9,1.0,0.6309130192316402,8.053895473480225,1.0,0.6168597965837073,10.54877543449402,0.826,0.816,0.5,0.5,0.8440000000000001,0.8140000000000001,0.5,0.5,0.509,0.5,20.0,0.0,12.0
10,10,1.0,0.6212166777265724,6.093273162841798,1.0,0.6136442724381177,9.654638767242432,0.826,0.82,0.5,0.5,0.835,0.821,0.5,0.5,0.52,0.5,20.0,0.0,13.0
