,wTargetMeanLDA,wTargetCovLDA,tPropLDA,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,1.0,0.5353678845921668,2.3790783882141113,0.75,0.4747884672902439,2.7652719020843506,0.692,0.607,0.5,0.5,0.588,0.488,0.5,0.5,0.709,0.5,20.0,29.0,3.0
1,1.0,0.48498972553928776,9.129435539245605,0.8474648232463053,0.541000736564492,5.505447626113892,0.746,0.669,0.5,0.5,0.719,0.462,0.5,0.5,0.662,0.5,20.0,29.0,4.0
2,1.0,0.520275072395384,3.6566896438598633,0.8407822540278878,0.5482815484831753,4.178570985794067,0.771,0.729,0.5,0.5,0.776,0.483,0.5,0.5,0.517,0.5,20.0,29.0,5.0
3,1.0,0.48610103346539707,5.067173480987549,1.0,0.6318031189992324,5.354328632354736,0.814,0.729,0.5,0.5,0.812,0.755,0.5,0.5,0.5,0.5,20.0,29.0,6.0
4,1.0,0.5359816670703783,4.373008489608765,1.0,0.5816544321418511,7.6828882694244385,0.829,0.77,0.5,0.5,0.832,0.796,0.5,0.5,0.5,0.5,20.0,29.0,7.0
5,1.0,0.5667470959921781,10.728711128234863,1.0,0.5587867198458546,9.058304786682129,0.835,0.805,0.5,0.5,0.834,0.815,0.5,0.5,0.502,0.5,20.0,29.0,8.0
6,1.0,0.5813160714327045,7.619168043136597,1.0,0.576191836293723,6.754648447036743,0.825,0.801,0.5,0.5,0.827,0.818,0.5,0.5,0.502,0.5,20.0,29.0,9.0
7,1.0,0.5838098444053699,4.949113130569458,1.0,0.5874236209671593,6.283217906951904,0.822,0.793,0.5,0.5,0.823,0.809,0.5,0.5,0.502,0.5,20.0,29.0,10.0
8,1.0,0.6182945978920491,7.826075315475464,1.0,0.616910179000096,9.611658811569214,0.828,0.782,0.5,0.5,0.833,0.812,0.5,0.5,0.504,0.5,20.0,29.0,11.0
9,1.0,0.6181585033690935,5.706188917160034,1.0,0.6255613707941654,12.767897129058838,0.835,0.823,0.5,0.5,0.835,0.837,0.5,0.5,0.503,0.503,20.0,29.0,12.0
10,1.0,0.6232595961657077,8.110291957855225,1.0,0.6276536471454224,8.754150629043579,0.836,0.836,0.5,0.5,0.842,0.836,0.5,0.5,0.503,0.5,20.0,29.0,13.0
11,1.0,0.6299416801423818,11.763834238052368,1.0,0.6596925962694944,9.581846237182617,0.823,0.825,0.5,0.5,0.821,0.824,0.5,0.5,0.521,0.5,20.0,29.0,14.0
12,1.0,0.6301579836837118,20.757906436920166,1.0,0.6377275200763173,23.340659141540527,0.826,0.821,0.5,0.5,0.829,0.819,0.5,0.5,0.507,0.5,20.0,29.0,15.0
13,1.0,0.6420299646053682,9.52139687538147,1.0,0.6622201720524824,11.736045598983765,0.833,0.827,0.5,0.5,0.834,0.823,0.5,0.5,0.505,0.5,20.0,29.0,16.0
14,1.0,0.6245003554725316,16.739986896514893,1.0,0.6286938330178584,16.505038261413574,0.835,0.822,0.5,0.5,0.832,0.818,0.5,0.5,0.503,0.5,20.0,29.0,17.0
15,1.0,0.6474427398260676,13.558530569076538,1.0,0.633491003846087,13.25861120223999,0.834,0.821,0.5,0.5,0.833,0.82,0.5,0.5,0.504,0.5,20.0,29.0,18.0
16,1.0,0.6507985229765663,11.610152959823608,1.0,0.6339953059574458,12.760006666183472,0.831,0.823,0.5,0.5,0.835,0.822,0.5,0.5,0.504,0.5,20.0,29.0,19.0
17,1.0,0.6510176108599983,19.97900128364563,1.0,0.6369572858176538,32.05180382728577,0.833,0.824,0.5,0.5,0.834,0.823,0.5,0.5,0.503,0.5,20.0,29.0,20.0
18,1.0,0.6599399796925802,11.437700748443604,1.0,0.6705194737929019,19.030251502990723,0.832,0.825,0.5,0.5,0.833,0.822,0.5,0.5,0.506,0.5,20.0,29.0,21.0
19,1.0,0.6620842545311206,10.813228845596313,1.0,0.6639445244432611,15.808087587356567,0.834,0.833,0.5,0.5,0.842,0.833,0.5,0.5,0.504,0.5,20.0,29.0,22.0
20,1.0,0.6668494469354276,13.131947994232178,1.0,0.668673319467217,20.90731644630432,0.826,0.824,0.5,0.5,0.835,0.83,0.5,0.5,0.506,0.5,20.0,29.0,23.0
21,1.0,0.6646180008817941,17.297649145126343,1.0,0.6677788856693248,15.060160160064697,0.822,0.82,0.5,0.5,0.824,0.826,0.5,0.5,0.521,0.502,20.0,29.0,24.0
22,1.0,0.6701101173398637,14.869379043579102,1.0,0.670419813171854,21.263389825820923,0.833,0.826,0.5,0.5,0.835,0.837,0.5,0.5,0.507,0.502,20.0,29.0,25.0
23,1.0,0.6706005305845967,16.964500427246094,1.0,0.668671198595904,23.05459451675415,0.835,0.83,0.5,0.5,0.836,0.837,0.5,0.5,0.506,0.501,20.0,29.0,26.0
24,1.0,0.6717320672553311,16.542520999908447,1.0,0.6821596714595072,27.47323226928711,0.836,0.835,0.5,0.5,0.844,0.841,0.5,0.5,0.506,0.5,20.0,29.0,27.0
25,1.0,0.681940143356741,29.071825742721558,1.0,0.6831052714932311,16.026824474334717,0.835,0.833,0.5,0.5,0.841,0.843,0.5,0.5,0.506,0.5,20.0,29.0,28.0
26,1.0,0.6827737873248486,24.91165065765381,1.0,0.686939087770973,22.90766215324402,0.835,0.831,0.5,0.5,0.836,0.834,0.5,0.5,0.508,0.5,20.0,29.0,29.0
27,1.0,0.683640651548008,20.575089931488037,1.0,0.6885651875743893,31.5959210395813,0.832,0.833,0.5,0.5,0.83,0.832,0.5,0.5,0.51,0.5,20.0,29.0,30.0
28,1.0,0.6845472370089862,17.801236391067505,1.0,0.6892816864657834,38.99480438232422,0.831,0.832,0.5,0.5,0.832,0.833,0.5,0.5,0.515,0.5,20.0,29.0,31.0
29,1.0,0.6857257155015231,21.498355627059937,1.0,0.690139935874836,34.72213363647461,0.835,0.833,0.5,0.5,0.832,0.832,0.5,0.5,0.512,0.5,20.0,29.0,32.0
