,Unnamed: 0,wTargetMeanLDA,wTargetCovLDA,tPropLDA,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,0,0.5,0.5095007512912764,2.5477256774902344,0.5,0.5036881712438468,2.87373423576355,0.81,0.768,0.5,0.5,0.8290000000000001,0.815,0.759,0.7340000000000001,0.5,0.413,20.0,0.0,3.0
1,1,0.5264068897441496,0.5501605876219267,6.001330614089966,0.5264068897441496,0.5476630252537051,8.194893360137941,0.8340000000000001,0.8270000000000001,0.5,0.5,0.836,0.8370000000000001,0.7979999999999999,0.779,0.5,0.509,20.0,0.0,4.0
2,2,0.5431881894062724,0.5694860627045328,3.845802545547485,0.5431881894062724,0.550144849728189,5.592690706253052,0.838,0.816,0.5,0.5,0.838,0.835,0.774,0.782,0.5,0.5,20.0,0.0,5.0
3,3,0.5557586019988419,0.5725405918667508,4.68755841255188,0.5557586019988419,0.5595283773464272,5.146155118942262,0.8390000000000001,0.8220000000000001,0.5,0.5,0.843,0.835,0.7509999999999999,0.74,0.5,0.36200000000000004,20.0,0.0,6.0
4,4,0.5659169588399143,0.5629889001133153,5.999173164367676,0.5659169588399143,0.5669668139160793,5.283003568649292,0.8340000000000001,0.804,0.5,0.5,0.8370000000000001,0.8370000000000001,0.764,0.753,0.5,0.5,20.0,0.0,7.0
5,5,0.604889235354715,0.6268366652729179,8.362016916275023,0.5744967863088652,0.5822712443420109,4.679133176803589,0.825,0.8,0.5,0.5,0.838,0.8190000000000001,0.789,0.774,0.5,0.5,20.0,0.0,8.0
6,6,0.6131793384918811,0.6276915090093386,3.783017873764038,0.58195652843061,0.5848020824847524,5.370121479034424,0.823,0.7909999999999999,0.5,0.5,0.836,0.813,0.804,0.782,0.502,0.5,20.0,0.0,9.0
7,7,0.6039399704557354,0.6211183750694664,11.39289903640747,0.6039399704557354,0.6082172565174337,11.642729997634888,0.835,0.809,0.5,0.5,0.841,0.816,0.797,0.79,0.5,0.5,20.0,0.0,10.0
8,8,0.571347296079879,0.6026063440779664,4.681159496307373,0.594542628725251,0.6153194745718173,6.517897844314575,0.841,0.807,0.5,0.5,0.841,0.8170000000000001,0.816,0.7879999999999999,0.5,0.5,20.0,0.0,11.0
9,9,0.6120743380034188,0.6433604119841172,5.4013400077819815,0.6120743380034188,0.6265021329536609,7.515748739242554,0.841,0.8220000000000001,0.5,0.5,0.845,0.8220000000000001,0.765,0.79,0.502,0.5,20.0,0.0,12.0
10,10,0.6159104790906063,0.6368629765082812,5.798508167266847,0.6159104790906063,0.6273987417251055,7.11452579498291,0.8340000000000001,0.8109999999999999,0.5,0.5,0.8440000000000001,0.815,0.81,0.797,0.503,0.5,20.0,0.0,13.0
11,11,0.619586413053921,0.6402212767377846,9.995851039886476,0.619586413053921,0.6289277607210397,13.204162120819092,0.833,0.812,0.5,0.5,0.8420000000000001,0.818,0.809,0.787,0.503,0.5,20.0,0.0,14.0
12,12,0.613971812263448,0.6344907987812474,6.214020252227782,0.6231077245861825,0.6279487146140394,8.649717807769775,0.833,0.816,0.5,0.5,0.843,0.8220000000000001,0.809,0.799,0.505,0.5,20.0,0.0,15.0
