,wTargetMeanLDA,wTargetCovLDA,tPropLDA,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,0.49999999999999994,0.5350880553853633,2.8202242851257324,0.7654457697527772,0.5447373044353758,3.1425554752349854,0.812,0.53,0.802,0.802,0.841,0.77,0.843,0.785,0.675,0.525,20.0,49.0,3.0
1,0.5002701924381644,0.5428060731148845,3.088972330093384,0.6537286127659642,0.5458310120086932,3.4431040287017822,0.84,0.564,0.802,0.802,0.846,0.772,0.848,0.788,0.615,0.495,20.0,49.0,4.0
2,0.548197337780478,0.5529044192627557,3.8127553462982178,0.6360081496791725,0.5625519414516812,4.252558946609497,0.835,0.607,0.802,0.802,0.846,0.777,0.851,0.796,0.614,0.49,20.0,49.0,5.0
3,0.5815307487990549,0.6000823006835666,5.7122602462768555,0.6766004103270407,0.5524722847382926,5.549128293991089,0.843,0.576,0.802,0.802,0.848,0.772,0.853,0.789,0.656,0.488,20.0,49.0,6.0
4,0.5840831698629486,0.580813297400793,4.387741327285767,0.5968999023822872,0.5788134149933835,5.252337694168091,0.854,0.66,0.802,0.802,0.855,0.788,0.851,0.799,0.664,0.484,20.0,49.0,7.0
5,0.5434222390848862,0.5419687584221489,3.532879590988159,0.5744967863088652,0.6079930802345708,4.559580564498901,0.859,0.793,0.802,0.802,0.855,0.817,0.853,0.824,0.692,0.462,20.0,49.0,8.0
6,0.5789203094120381,0.583005358629569,23.46889853477478,0.5600199804999234,0.5307407706993595,7.748816013336182,0.835,0.836,0.802,0.802,0.841,0.839,0.84,0.84,0.766,0.617,20.0,49.0,9.0
7,0.5954338232565881,0.6261213973494745,5.9798078536987305,0.5885768228075087,0.5891245400577303,13.306491613388062,0.843,0.839,0.802,0.802,0.85,0.841,0.849,0.84,0.733,0.583,20.0,49.0,10.0
8,0.5814459596666949,0.5966988685013228,8.877892255783081,0.5698753752727583,0.5591421134814325,13.403996706008911,0.845,0.833,0.802,0.802,0.849,0.846,0.848,0.849,0.713,0.706,20.0,49.0,11.0
9,0.6036822551827218,0.626754331273967,9.163700580596924,0.5852699851170785,0.5954633800238818,13.663434982299805,0.846,0.846,0.802,0.802,0.846,0.847,0.848,0.848,0.676,0.681,20.0,49.0,12.0
10,0.6209932207294957,0.6289912201253317,6.24596381187439,0.5935512819531554,0.6020509111343125,9.500083684921265,0.851,0.84,0.802,0.802,0.846,0.848,0.85,0.847,0.68,0.689,20.0,49.0,13.0
11,0.6226287292255954,0.6312031839541739,17.84595251083374,0.5868669192614435,0.6085795879256921,20.587719678878784,0.844,0.848,0.802,0.802,0.846,0.846,0.845,0.848,0.679,0.7,20.0,49.0,14.0
12,0.6278699001960414,0.6330974527314257,10.368505477905273,0.593306958459551,0.614047753719733,16.15537929534912,0.848,0.845,0.802,0.802,0.845,0.846,0.845,0.847,0.674,0.699,20.0,49.0,15.0
13,0.632020441006582,0.6446247572542665,8.00041389465332,0.6026268227970113,0.625471335579536,10.562682151794434,0.845,0.838,0.802,0.802,0.848,0.843,0.846,0.848,0.701,0.729,20.0,49.0,16.0
14,0.636578327734438,0.6491180536716195,6.427391290664673,0.6071070121453208,0.6288853729426565,14.6612389087677,0.846,0.838,0.802,0.802,0.845,0.844,0.846,0.845,0.686,0.73,20.0,49.0,17.0
15,0.6319396863352611,0.6542443115698976,12.085880517959595,0.6185904709889909,0.6408207465153724,16.728214740753174,0.84,0.84,0.802,0.802,0.847,0.849,0.85,0.847,0.714,0.739,20.0,49.0,18.0
16,0.6329876279412775,0.6580306500720556,9.82367730140686,0.6369392770204978,0.6555157254002517,20.61669111251831,0.832,0.831,0.802,0.802,0.841,0.846,0.853,0.846,0.739,0.765,20.0,49.0,19.0
17,0.6393430454234543,0.6538008503219236,11.833056688308716,0.6188819220009568,0.640778000034732,18.326022148132324,0.844,0.841,0.802,0.802,0.848,0.844,0.847,0.845,0.72,0.758,20.0,49.0,20.0
18,0.6429945992352284,0.6588601308893628,22.959389209747314,0.627096986190534,0.6451594683961388,28.30941128730774,0.846,0.835,0.802,0.802,0.849,0.846,0.846,0.848,0.712,0.753,20.0,49.0,21.0
19,0.6539555031817721,0.662280591235402,18.98885488510132,0.6344666060450391,0.6479513512696096,28.77813482284546,0.846,0.839,0.802,0.802,0.849,0.847,0.846,0.845,0.707,0.745,20.0,49.0,22.0
20,0.648881195423975,0.6634641976945355,24.98491096496582,0.636764075817526,0.6514459074126867,16.96193242073059,0.846,0.839,0.802,0.802,0.85,0.846,0.848,0.845,0.713,0.748,20.0,49.0,23.0
21,0.6529576684094219,0.6631988767709808,11.067581176757812,0.6474025208483754,0.6543775384345689,25.57731342315674,0.843,0.844,0.802,0.802,0.853,0.844,0.85,0.851,0.729,0.723,20.0,49.0,24.0
22,0.6506998815398923,0.6540651896300735,22.48526430130005,0.6404216603788297,0.6448923789321858,29.659276247024536,0.842,0.839,0.802,0.802,0.845,0.843,0.846,0.842,0.735,0.721,20.0,49.0,25.0
23,0.6526977058254642,0.6562721050665679,15.551424980163574,0.64371725108663,0.6482774217469135,18.21738600730896,0.842,0.837,0.802,0.802,0.846,0.842,0.849,0.842,0.745,0.728,20.0,49.0,26.0
24,0.65286820820848,0.6584316389607852,12.394626379013062,0.646124002206526,0.6524263919395228,18.462379932403564,0.842,0.837,0.802,0.802,0.847,0.842,0.848,0.84,0.739,0.736,20.0,49.0,27.0
25,0.6572910466572432,0.6607768893913482,18.83907914161682,0.6386524993118501,0.6427255882602755,25.208943843841553,0.843,0.84,0.802,0.802,0.847,0.841,0.85,0.846,0.732,0.716,20.0,49.0,28.0
26,0.6709239026413909,0.6715260327860986,32.91509222984314,0.6413715459299857,0.6452219166754871,29.788843393325806,0.847,0.84,0.802,0.802,0.849,0.843,0.849,0.848,0.725,0.687,20.0,49.0,29.0
27,0.6722521570422009,0.6727056681532422,13.649123907089233,0.6433211538305096,0.6480159019439748,20.773298978805542,0.846,0.84,0.802,0.802,0.849,0.84,0.848,0.847,0.729,0.692,20.0,49.0,30.0
28,0.6728705275396423,0.6730043470722811,9.32668662071228,0.6637053162941225,0.6675842127165391,25.121848583221436,0.849,0.844,0.802,0.802,0.85,0.846,0.846,0.849,0.716,0.684,20.0,49.0,31.0
29,0.6526035775543773,0.6589569281587655,16.47476816177368,0.652986397508696,0.6613878897793786,28.869510889053345,0.85,0.846,0.802,0.802,0.847,0.85,0.845,0.849,0.696,0.679,20.0,49.0,32.0
30,0.6617919690509915,0.6627793215334774,25.254854440689087,0.6645248408701778,0.672267014073054,23.094841718673706,0.848,0.848,0.802,0.802,0.846,0.848,0.848,0.848,0.685,0.686,20.0,49.0,33.0
31,0.6615665543934273,0.6647213893117663,35.52595090866089,0.6651091574413142,0.6741304145910716,27.30640149116516,0.847,0.846,0.802,0.802,0.847,0.847,0.848,0.846,0.686,0.698,20.0,49.0,34.0
32,0.6745809247286539,0.6770285538615746,23.312143087387085,0.6783696804836914,0.6881700418546304,41.44881248474121,0.854,0.855,0.802,0.802,0.85,0.851,0.846,0.842,0.667,0.625,20.0,49.0,35.0
33,0.679232593116146,0.6793539518071569,22.473714113235474,0.6785711270451031,0.6913229438711239,38.394649267196655,0.851,0.854,0.802,0.802,0.853,0.852,0.846,0.85,0.666,0.657,20.0,49.0,36.0
34,0.6810494586314666,0.6804916418422058,19.991867780685425,0.6786959579190321,0.6911897199938458,34.67443370819092,0.853,0.852,0.802,0.802,0.852,0.849,0.85,0.848,0.66,0.684,20.0,49.0,37.0
35,0.6750914233891094,0.6735694190846477,34.08586859703064,0.6747354527696268,0.6941803868759188,33.757445096969604,0.851,0.85,0.802,0.802,0.849,0.844,0.848,0.846,0.648,0.692,20.0,49.0,38.0
36,0.6718579924896928,0.6718639743455961,33.519749879837036,0.6743680006267685,0.6931387671560808,40.420361280441284,0.849,0.85,0.802,0.802,0.849,0.846,0.849,0.847,0.654,0.679,20.0,49.0,39.0
37,0.6787730945513735,0.6844323314791803,24.732690811157227,0.6762492776195745,0.6960489049622466,38.18786334991455,0.846,0.848,0.802,0.802,0.85,0.847,0.849,0.846,0.661,0.691,20.0,49.0,40.0
38,0.6882819392700673,0.6914440831493118,25.814823627471924,0.6771227696497643,0.6971707418435712,38.78759527206421,0.851,0.847,0.802,0.802,0.85,0.849,0.848,0.849,0.663,0.694,20.0,49.0,41.0
39,0.6895434056285348,0.6932794428435863,33.19811511039734,0.6857650559211652,0.7049337134171826,40.12247061729431,0.852,0.847,0.802,0.802,0.85,0.85,0.849,0.849,0.664,0.693,20.0,49.0,42.0
40,0.6871491660077589,0.6904990527568684,30.22422218322754,0.6850903952227165,0.6992651267431593,40.875751972198486,0.852,0.846,0.802,0.802,0.851,0.847,0.848,0.851,0.679,0.686,20.0,49.0,43.0
41,0.6809727246777642,0.6913166441765711,42.19478487968445,0.6808959976169345,0.6984342442028587,40.16207194328308,0.847,0.844,0.802,0.802,0.847,0.849,0.845,0.849,0.672,0.686,20.0,49.0,44.0
42,0.6807537151211545,0.6933841725490786,24.797231674194336,0.6811444869772492,0.6990542357557274,34.36188054084778,0.846,0.843,0.802,0.802,0.847,0.848,0.845,0.849,0.674,0.689,20.0,49.0,45.0
43,0.6804298313094437,0.6952324148614942,23.01085138320923,0.6836982182086496,0.7011206823063398,42.217971324920654,0.848,0.848,0.802,0.802,0.848,0.851,0.845,0.849,0.672,0.649,20.0,49.0,46.0
44,0.6817750491259091,0.6975041126511341,21.403769731521606,0.6841773827479523,0.7024635495852418,29.212345838546753,0.847,0.848,0.802,0.802,0.848,0.85,0.846,0.849,0.668,0.646,20.0,49.0,47.0
45,0.6796041927331467,0.6946985325389704,15.780810832977295,0.6837983231322519,0.7062042805087143,24.430891513824463,0.847,0.854,0.802,0.802,0.85,0.851,0.844,0.849,0.653,0.629,20.0,49.0,48.0
46,0.6934337815399163,0.7010359437879496,16.729013442993164,0.6913044391434968,0.7134613344523204,23.571155548095703,0.851,0.853,0.802,0.802,0.85,0.851,0.844,0.85,0.657,0.626,20.0,49.0,49.0
47,0.6956328920697064,0.7017295586449783,16.431821584701538,0.6892872959605467,0.7088575391914391,23.154947996139526,0.852,0.851,0.802,0.802,0.85,0.852,0.845,0.85,0.664,0.616,20.0,49.0,50.0
48,0.6979736418232653,0.7041947558331751,12.545127153396606,0.6921376545587035,0.7094841524249138,17.166964292526245,0.849,0.85,0.802,0.802,0.85,0.853,0.844,0.851,0.663,0.617,20.0,49.0,51.0
