,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.739,0.523,0.627,0.619,0.783,0.564,0.757,0.78,[0.5 0.5],[0.5       0.5663523],[0.50743116 0.56734667],[0.5 0.5],0.5,20,71,3,0.5,0.533176149576233,0.5373889116071013,0.5
1,0.706,0.735,0.627,0.619,0.779,0.795,0.774,0.793,[0.58235651 0.52640689],[0.53208689 0.57222003],[0.52640689 0.52640689],[0.52640689 0.5408405 ],0.5,20,71,4,0.5543817002941653,0.5521534572565213,0.5264068897441496,0.5336236939369314
2,0.739,0.745,0.627,0.619,0.77,0.771,0.79,0.788,[0.54318819 0.64740764],[0.54565859 0.55152225],[0.54815157 0.63126439],[0.54946322 0.56672868],0.5,20,71,5,0.5952979152916313,0.5485904185031572,0.5897079786716726,0.558095951963921
3,0.734,0.727,0.627,0.619,0.77,0.77,0.789,0.786,[0.5557586 0.6248653],[0.55837793 0.56247864],[0.5557586  0.61329761],[0.55872673 0.56696708],0.5,20,71,6,0.5903119530104068,0.5604282840650165,0.5845281036570074,0.5628469024714171
4,0.745,0.736,0.627,0.619,0.775,0.777,0.797,0.793,[0.59469238 0.66165465],[0.57178283 0.57707263],[0.59469238 0.66165465],[0.57551559 0.57284655],0.5,20,71,7,0.6281735147501037,0.5744277287419077,0.6281735147501037,0.5741810700507475
5,0.693,0.682,0.627,0.619,0.761,0.76,0.759,0.758,[0.57449679 0.62977221],[0.54740661 0.54649005],[0.57893691 0.62377058],[0.55426975 0.55176622],0.5,20,71,8,0.6021344998719227,0.5469483290559527,0.6013537438856382,0.5530179839827236
6,0.751,0.722,0.627,0.619,0.8,0.805,0.795,0.779,[0.62699416 0.62699416],[0.60363644 0.60139603],[0.58195653 0.58195653],[0.57823527 0.560454  ],0.5,20,71,9,0.6269941581740301,0.6025162339219952,0.58195652843061,0.5693446357506309
7,0.794,0.786,0.627,0.619,0.823,0.834,0.816,0.816,[0.58857682 0.54507449],[0.56168024 0.5595494 ],[0.58857682 0.54082926],[0.58051624 0.56000481],0.5,20,71,10,0.5668256543437562,0.5606148178514281,0.5647030422301414,0.570260526667691
8,0.798,0.808,0.627,0.619,0.837,0.833,0.822,0.825,[0.59454263 0.5579325 ],[0.57749056 0.56488933],[0.59454263 0.59454263],[0.58555721 0.5789203 ],0.5,20,71,11,0.5762375639479929,0.5711899477891572,0.594542628725251,0.5822387571450661
9,0.805,0.817,0.627,0.619,0.845,0.839,0.827,0.828,[0.59998264 0.5684048 ],[0.58376699 0.57292788],[0.58062848 0.59998264],[0.59740549 0.59200063],0.5,20,71,12,0.5841937184790643,0.578347439055843,0.5903055602924232,0.5947030599149841
