,Unnamed: 0,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0,0.809,0.767,0.513,0.512,0.8290000000000001,0.81,0.7979999999999999,0.7709999999999999,[0.5 0.5],[0.5190015 0.5      ],[0.5 0.5],[0.50368817 0.50368817],0.5,20,1,3,0.5,0.5095007512912764,0.5,0.5036881712438468
1,1,0.835,0.826,0.513,0.512,0.835,0.838,0.813,0.775,[0.52640689 0.52640689],[0.5408405  0.56243037],[0.52640689 0.52640689],[0.52640689 0.56565616],0.5,20,1,4,0.5264068897441496,0.551635436322272,0.5264068897441496,0.5460315246821681
2,2,0.838,0.815,0.513,0.512,0.8370000000000001,0.836,0.7879999999999999,0.7559999999999999,[0.54318819 0.54318819],[0.56448153 0.5744906 ],[0.54318819 0.54318819],[0.54547445 0.5501052 ],0.5,20,1,5,0.5431881894062724,0.5694860627045328,0.5431881894062724,0.547789825877524
3,3,0.8390000000000001,0.821,0.513,0.512,0.8420000000000001,0.8370000000000001,0.777,0.7390000000000001,[0.5557586 0.5557586],[0.57148328 0.5796841 ],[0.5557586 0.5557586],[0.5557586  0.56329815],0.5,20,1,6,0.5557586019988419,0.5755836899151067,0.5557586019988419,0.5595283773464272
4,4,0.8340000000000001,0.8029999999999999,0.513,0.512,0.8390000000000001,0.838,0.7909999999999999,0.7490000000000001,[0.56591696 0.56591696],[0.56572832 0.56214201],[0.56591696 0.56591696],[0.56909465 0.56295142],0.5,20,1,7,0.5659169588399143,0.5639351645055557,0.5659169588399143,0.5660230367859542
5,5,0.825,0.799,0.513,0.512,0.838,0.818,0.809,0.782,[0.60488924 0.60488924],[0.63004967 0.62555546],[0.57449679 0.57449679],[0.58739293 0.5751429 ],0.5,20,1,8,0.604889235354715,0.6278025673069428,0.5744967863088652,0.5812679167635646
6,6,0.823,0.79,0.513,0.512,0.8320000000000001,0.8170000000000001,0.82,0.7879999999999999,[0.62467807 0.60882649],[0.64163037 0.61415851],[0.58195653 0.58195653],[0.59595677 0.57223189],0.5,20,1,9,0.6167522819572449,0.6278944404220372,0.58195652843061,0.5840943336071276
7,7,0.835,0.8079999999999999,0.513,0.512,0.8420000000000001,0.816,0.8170000000000001,0.794,[0.61930312 0.58857682],[0.62870819 0.61519014],[0.61290386 0.58857682],[0.63129654 0.59216359],0.5,20,1,10,0.6039399704557356,0.6219491678785641,0.6007403430894291,0.6117300634422641
8,8,0.841,0.8059999999999999,0.513,0.512,0.84,0.8190000000000001,0.831,0.7929999999999999,[0.56688251 0.57220671],[0.60580374 0.59639816],[0.59454263 0.59454263],[0.63329108 0.60479054],0.5,20,1,11,0.5695446086883934,0.6011009527767914,0.594542628725251,0.6190408076192511
9,9,0.841,0.8220000000000001,0.513,0.512,0.846,0.82,0.8009999999999999,0.7929999999999999,[0.62416604 0.60466823],[0.6484473  0.63814564],[0.62416604 0.59998264],[0.64483959 0.6174384 ],0.5,20,1,12,0.6144171331122842,0.643296465540552,0.6120743380034188,0.6311389970544218
10,10,0.8340000000000001,0.8109999999999999,0.513,0.512,0.8440000000000001,0.816,0.816,0.804,[0.62683075 0.6049902 ],[0.64906762 0.62606757],[0.62683075 0.6049902 ],[0.64660947 0.61564165],0.5,20,1,13,0.6159104790906063,0.6375675918059285,0.6159104790906063,0.6311255618396198
11,11,0.833,0.812,0.513,0.512,0.843,0.8170000000000001,0.823,0.804,[0.62953753 0.6096353 ],[0.64960749 0.62882484],[0.62953753 0.6096353 ],[0.64312735 0.62134759],0.5,20,1,14,0.619586413053921,0.6392161654532554,0.619586413053921,0.6322374698115931
12,12,0.833,0.816,0.513,0.512,0.84,0.8220000000000001,0.8270000000000001,0.8140000000000001,[0.61397181 0.61397181],[0.64238039 0.62970311],[0.63224364 0.61397181],[0.6428816  0.62459039],0.5,20,1,15,0.6139718122634479,0.6360417498537718,0.6231077245861825,0.6337359946907609
13,13,0.831,0.818,0.513,0.512,0.8440000000000001,0.823,0.8270000000000001,0.815,[0.62806148 0.61804216],[0.64606846 0.63256792],[0.63492347 0.61804216],[0.64653843 0.62785974],0.5,20,1,16,0.6230518202397834,0.6393181908271368,0.6264828157542442,0.6371990808600891
14,14,0.8340000000000001,0.8220000000000001,0.513,0.512,0.8420000000000001,0.823,0.833,0.812,[0.63954232 0.62188038],[0.65957057 0.63842079],[0.65739071 0.63235851],[0.6795381  0.63440121],0.5,20,1,17,0.6307113471400378,0.6489956809435515,0.6448746079346297,0.6569696572064535
15,15,0.8340000000000001,0.8220000000000001,0.513,0.512,0.8440000000000001,0.823,0.835,0.815,[0.6352354 0.6255142],[0.65502995 0.63577352],[0.65838848 0.6352354 ],[0.67592548 0.63716675],0.5,20,1,18,0.6303747989823849,0.6454017382548938,0.6468119416289342,0.6565461137549542
16,16,0.833,0.8140000000000001,0.513,0.512,0.8420000000000001,0.8190000000000001,0.836,0.812,[0.63825504 0.62896654],[0.6572336  0.64237335],[0.65084996 0.63203252],[0.67758999 0.63541223],0.5,20,1,19,0.633610788583064,0.6498034737712362,0.6414412377859964,0.6565011103358495
17,17,0.833,0.816,0.513,0.512,0.8420000000000001,0.8220000000000001,0.826,0.813,[0.6409292  0.63225658],[0.66561114 0.64098905],[0.65561551 0.63801201],[0.67891645 0.63972196],0.5,20,1,20,0.6365928903423494,0.6533000951686636,0.6468137620582795,0.6593192076926406
18,18,0.8340000000000001,0.8190000000000001,0.513,0.512,0.84,0.82,0.8290000000000001,0.8109999999999999,[0.64879567 0.66222808],[0.66654506 0.65006085],[0.64079792 0.63808781],[0.67464126 0.64403368],0.5,20,1,21,0.6555118753488416,0.6583029525538249,0.6394428633235487,0.6593374698721322
