,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.832,0.505,0.513,0.512,0.818,0.5,0.808,0.794,[0.5 0.5],[0.50669593 0.5       ],[1.         0.56169359],[0.59227036 0.51123019],0.5,20,54,3,0.5,0.5033479647204505,0.7808467957502787,0.551750274253913
1,0.841,0.557,0.513,0.512,0.832,0.599,0.83,0.836,[0.52640689 0.52640689],[0.54000614 0.52640689],[0.69946258 0.58649091],[0.54469672 0.52640689],0.5,20,54,4,0.5264068897441496,0.53320651498055,0.6429767436762586,0.5355518069744085
2,0.841,0.839,0.513,0.512,0.839,0.835,0.838,0.838,[0.46632387 0.54318819],[0.47643666 0.46964676],[0.54318819 0.55667361],[0.56367058 0.55498924],0.5,20,54,5,0.5047560315338384,0.47304171168338505,0.5499309017446024,0.5593299083028511
3,0.841,0.841,0.513,0.512,0.836,0.838,0.842,0.84,[0.61329761 0.56638617],[0.56638617 0.56102206],[0.61329761 0.5557586 ],[0.57185384 0.56791063],0.5,20,54,6,0.5898418852791449,0.563704111658089,0.5845281036570074,0.569882232069624
4,0.844,0.842,0.513,0.512,0.827,0.834,0.804,0.795,[0.56591696 0.5556688 ],[0.52254895 0.52254895],[0.56591696 0.52703655],[0.5386002  0.53092886],0.5,20,54,7,0.5607928770352938,0.5225489452194946,0.5464767567398248,0.5347645268815502
5,0.837,0.84,0.513,0.512,0.827,0.831,0.802,0.781,[0.57449679 0.56602436],[0.53789058 0.54013588],[0.57449679 0.5577982 ],[0.54784574 0.54728982],0.5,20,54,8,0.5702605730914219,0.5390132298991229,0.5661474916073966,0.5475677776851303
6,0.835,0.835,0.513,0.512,0.824,0.828,0.798,0.777,[0.58195653 0.56771877],[0.5505928  0.56412505],[0.58195653 0.56771877],[0.56085798 0.56709763],0.5,20,54,9,0.5748376476486006,0.5573589251036163,0.5748376476486006,0.5639778045602605
7,0.834,0.832,0.513,0.512,0.827,0.829,0.78,0.755,[0.58857682 0.58857682],[0.55997782 0.56141356],[0.58857682 0.56430725],[0.56576531 0.57116795],0.5,20,54,10,0.5885768228075087,0.5606956910454207,0.5764420374528563,0.5684666293656557
8,0.843,0.838,0.513,0.512,0.829,0.829,0.811,0.798,[0.59454263 0.58901484],[0.57045153 0.57303147],[0.56789471 0.57303147],[0.57433021 0.57907134],0.5,20,54,11,0.5917787330264268,0.5717414965396559,0.5704630899727159,0.5767007757736271
9,0.843,0.843,0.513,0.512,0.833,0.833,0.844,0.843,[0.57605472 0.59503934],[0.57952151 0.57836128],[0.57605472 0.58539315],[0.58295118 0.58625912],0.5,20,54,12,0.5855470296417695,0.5789413939198497,0.580723934169377,0.5846051475534921
