,Unnamed: 0,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0,0.843,0.8370000000000001,0.5,0.5,0.82,0.696,0.5,0.494,[1. 1.],[0.5 0.5],[1.         0.69098301],[0.5 0.5],0.5,20,1,3,1.0,0.5,0.8454915028125263,0.5
1,1,0.833,0.823,0.5,0.5,0.833,0.802,0.5,0.5,[1. 1.],[0.56942744 0.59088984],[1. 1.],[0.50887451 0.51642929],0.5,20,1,4,1.0,0.58015863748208,1.0,0.5126519005396301
2,2,0.799,0.8,0.5,0.5,0.821,0.8059999999999999,0.5,0.5,[1. 1.],[0.60324525 0.58459452],[1. 1.],[0.53653497 0.50935865],0.5,20,1,5,1.0,0.5939198814162295,1.0,0.5229468115527527
3,3,0.8029999999999999,0.8009999999999999,0.5,0.5,0.8170000000000001,0.8009999999999999,0.5,0.5,[1. 1.],[0.60055126 0.56548334],[1. 1.],[0.56102206 0.54759319],0.5,20,1,6,1.0,0.5830173043259863,1.0,0.5543076234507329
4,4,0.826,0.785,0.5,0.5,0.838,0.8109999999999999,0.5,0.5,[1. 1.],[0.62516961 0.5828945 ],[1. 1.],[0.63363668 0.57295056],0.5,20,1,7,1.0,0.6040320557083191,1.0,0.6032936192745202
5,5,0.843,0.8140000000000001,0.5,0.5,0.841,0.818,0.5,0.5,[1. 1.],[0.62012392 0.61141297],[1. 1.],[0.62691882 0.58623156],0.5,20,1,8,1.0,0.6157684441127846,1.0,0.6065751946527586
6,6,0.8290000000000001,0.8240000000000001,0.5,0.5,0.845,0.825,0.5,0.5,[1. 1.],[0.6290187  0.61850083],[1. 1.],[0.62124055 0.59148631],0.5,20,1,9,1.0,0.6237597656861434,1.0,0.6063634289391837
7,7,0.821,0.807,0.5,0.5,0.836,0.8109999999999999,0.5,0.5,[1. 1.],[0.63212827 0.60676512],[1. 1.],[0.62804184 0.60351459],0.5,20,1,10,1.0,0.6194466984667191,1.0,0.615778213491547
8,8,0.821,0.809,0.5,0.5,0.84,0.812,0.5,0.5,[1. 1.],[0.62982132 0.60518757],[1. 1.],[0.62046738 0.60240832],0.5,20,1,11,1.0,0.6175044432009661,1.0,0.6114378455515516
9,9,0.821,0.818,0.5,0.5,0.835,0.818,0.5,0.5,[1. 1.],[0.61459629 0.60831684],[1. 1.],[0.61319536 0.60475333],0.5,20,1,12,1.0,0.6114565641238704,1.0,0.6089743430853153
10,10,0.821,0.818,0.5,0.5,0.835,0.816,0.5,0.5,[1. 1.],[0.62046092 0.61253193],[1. 1.],[0.62147386 0.60930773],0.5,20,1,13,1.0,0.6164964217285457,1.0,0.6153907925778662
11,11,0.8340000000000001,0.818,0.5,0.5,0.8420000000000001,0.815,0.5,0.5,[1. 1.],[0.63937568 0.62429046],[1. 1.],[0.66364793 0.62156184],0.5,20,1,14,1.0,0.6318330726549527,1.0,0.642604881903643
12,12,0.825,0.82,0.5,0.5,0.835,0.815,0.5,0.5,[1. 1.],[0.6280919  0.62108247],[1. 1.],[0.64958541 0.62464035],0.5,20,1,15,1.0,0.6245871833881442,1.0,0.6371128834857471
13,13,0.825,0.8170000000000001,0.5,0.5,0.8340000000000001,0.8079999999999999,0.5,0.5,[1. 1.],[0.63411809 0.62592554],[1. 1.],[0.65270202 0.62549166],0.5,20,1,16,1.0,0.6300218137847495,1.0,0.6390968397643989
14,14,0.826,0.8140000000000001,0.5,0.5,0.8340000000000001,0.8140000000000001,0.5,0.5,[1. 1.],[0.64705834 0.62728114],[1. 1.],[0.66140618 0.63071047],0.5,20,1,17,1.0,0.6371697407728658,1.0,0.646058320832294
15,15,0.831,0.8109999999999999,0.5,0.5,0.833,0.8079999999999999,0.5,0.5,[1. 1.],[0.65258514 0.64094055],[1. 1.],[0.65565025 0.6337599 ],0.5,20,1,18,1.0,0.6467628417662672,1.0,0.6447050784777117
16,16,0.828,0.818,0.5,0.5,0.8270000000000001,0.812,0.5,0.5,[1. 1.],[0.65425133 0.64408901],[1. 1.],[0.65681077 0.63807796],0.5,20,1,19,1.0,0.6491701726396168,1.0,0.6474443624015704
17,17,0.836,0.8170000000000001,0.5,0.5,0.835,0.815,0.5,0.5,[1. 1.],[0.64936134 0.63280563],[1. 1.],[0.66839414 0.64070521],0.5,20,1,20,1.0,0.6410834816098485,1.0,0.6545496740121789
18,18,0.8270000000000001,0.8190000000000001,0.5,0.5,0.828,0.8170000000000001,0.5,0.5,[1. 1.],[0.66516394 0.65266744],[1. 1.],[0.6712871  0.64652869],0.5,20,1,21,1.0,0.6589156920845973,1.0,0.6589078950138572
19,19,0.8290000000000001,0.8190000000000001,0.5,0.5,0.8320000000000001,0.8190000000000001,0.5,0.5,[1. 1.],[0.66580252 0.65468241],[1. 1.],[0.66957344 0.64833866],0.5,20,1,22,1.0,0.6602424638121651,1.0,0.6589560501215007
20,20,0.835,0.823,0.5,0.5,0.838,0.821,0.5,0.5,[1. 1.],[0.65800911 0.64791978],[1. 1.],[0.67842053 0.65255489],0.5,20,1,23,1.0,0.6529644444341207,1.0,0.6654877060136406
21,21,0.8340000000000001,0.8240000000000001,0.5,0.5,0.83,0.8170000000000001,0.5,0.5,[1. 1.],[0.65685252 0.64687419],[1. 1.],[0.67589224 0.65292738],0.5,20,1,24,1.0,0.6518633514277183,1.0,0.6644098071168317
22,22,0.836,0.821,0.5,0.5,0.8340000000000001,0.82,0.5,0.5,[1. 1.],[0.65555304 0.65055212],[1. 1.],[0.67408187 0.66532704],0.5,20,1,25,1.0,0.6530525786243517,1.0,0.6697044564645481
23,23,0.8340000000000001,0.8240000000000001,0.5,0.5,0.831,0.8190000000000001,0.5,0.5,[1. 1.],[0.65592354 0.65376725],[1. 1.],[0.67745238 0.6672165 ],0.5,20,1,26,1.0,0.6548453962741536,1.0,0.6723344425752202
24,24,0.835,0.825,0.5,0.5,0.835,0.8190000000000001,0.5,0.5,[1. 1.],[0.66235003 0.65866602],[1. 1.],[0.67352708 0.67274445],0.5,20,1,27,1.0,0.6605080254294575,1.0,0.6731357625798837
25,25,0.836,0.8240000000000001,0.5,0.5,0.8320000000000001,0.821,0.5,0.5,[1. 1.],[0.66579057 0.66175586],[1. 1.],[0.67804413 0.674801  ],0.5,20,1,28,1.0,0.6637732158984795,1.0,0.6764225660340994
26,26,0.8420000000000001,0.823,0.5,0.5,0.836,0.8240000000000001,0.5,0.5,[1. 1.],[0.66199953 0.65899489],[1. 1.],[0.68844486 0.67787086],0.5,20,1,29,1.0,0.6604972110662635,1.0,0.6831578579440006
27,27,0.833,0.8220000000000001,0.5,0.5,0.8270000000000001,0.8170000000000001,0.5,0.5,[1. 1.],[0.67835244 0.67409217],[1. 1.],[0.68367591 0.67593205],0.5,20,1,30,1.0,0.6762223082849073,1.0,0.6798039807937459
28,28,0.8290000000000001,0.812,0.5,0.5,0.8190000000000001,0.8079999999999999,0.5,0.5,[1. 1.],[0.66860276 0.66532637],[1. 1.],[0.69289249 0.68746534],0.5,20,1,31,1.0,0.6669645619378216,1.0,0.6901789141374446
29,29,0.826,0.812,0.5,0.5,0.82,0.807,0.5,0.5,[1. 1.],[0.67280414 0.66597692],[1. 1.],[0.69008864 0.68833271],0.5,20,1,32,1.0,0.6693905296485176,1.0,0.6892106774417127
