,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.735,0.538,0.627,0.619,0.77,0.608,0.793,0.742,[0.58578644 0.5       ],[0.5 0.5],[1.         0.53285688],[0.5 0.5],0.5,20,74,3,0.5428932188134524,0.5,0.7664284385136202,0.5
1,0.775,0.685,0.627,0.619,0.796,0.765,0.802,0.748,[0.52640689 0.52640689],[0.53086322 0.52640689],[0.58931606 0.58931606],[0.5378908  0.55297006],0.5,20,74,4,0.5264068897441496,0.5286350563637765,0.5893160639812222,0.545430428128844
2,0.679,0.617,0.627,0.619,0.776,0.703,0.751,0.722,[0.46632387 0.54318819],[0.52169058 0.51759365],[0.54318819 0.81648513],[0.53225919 0.57877441],0.5,20,74,5,0.5047560315338384,0.5196421164041403,0.6798366585334689,0.5555168012385772
3,0.785,0.61,0.627,0.619,0.825,0.73,0.803,0.742,[0.5557586  0.51945012],[0.53338894 0.55190093],[0.5557586  0.74940671],[0.56638617 0.65215188],0.5,20,74,6,0.5376043610347843,0.5426449328530019,0.6525826565413834,0.609269021403699
4,0.829,0.704,0.627,0.619,0.843,0.821,0.827,0.8,[0.44855327 0.4389033 ],[0.50693267 0.56591696],[0.56591696 0.56591696],[0.56959109 0.62373695],0.5,20,74,7,0.44372828612572124,0.5364248165298353,0.5659169588399143,0.596664023276809
5,0.848,0.802,0.627,0.619,0.848,0.848,0.828,0.816,[0.57449679 0.53140227],[0.57603472 0.62377058],[0.57449679 0.59058773],[0.62147245 0.66816609],0.5,20,74,8,0.5529495282962402,0.5999026512284769,0.5825422574794792,0.6448192691616049
6,0.843,0.804,0.627,0.619,0.849,0.851,0.836,0.829,[0.54559074 0.54559074],[0.58708544 0.62217911],[0.58195653 0.59216931],[0.61559562 0.66614937],0.5,20,74,9,0.5455907442356063,0.6046322741187664,0.5870629167810948,0.6408724970060029
7,0.855,0.798,0.627,0.619,0.848,0.838,0.839,0.835,[0.61608687 0.61608687],[0.65094474 0.69904258],[0.58857682 0.63714998],[0.6244001  0.69025817],0.5,20,74,10,0.6160868740240077,0.6749936595395644,0.6128634035374807,0.6573291367184151
8,0.846,0.842,0.627,0.619,0.846,0.846,0.841,0.832,[0.59100551 0.57063614],[0.6149894  0.66092598],[0.62725473 0.61374723],[0.64862549 0.6799439 ],0.5,20,74,11,0.5808208218857056,0.6379576922502788,0.6205009816223928,0.6642846944654044
9,0.843,0.843,0.627,0.619,0.842,0.841,0.844,0.841,[0.59690423 0.57336934],[0.62222618 0.64801535],[0.58785567 0.59084122],[0.61794275 0.63896855],0.5,20,74,12,0.5851367851803148,0.6351207613314687,0.589348441507423,0.6284556467531444
10,0.844,0.84,0.627,0.619,0.843,0.844,0.845,0.838,[0.59957077 0.58134411],[0.63986087 0.6532324 ],[0.59957077 0.58387978],[0.62537681 0.63433209],0.5,20,74,13,0.5904574416790849,0.6465466333762353,0.5917252743257582,0.6298544489712705
11,0.841,0.841,0.627,0.62,0.844,0.844,0.841,0.837,[0.5883815 0.5883815],[0.64068999 0.65249683],[0.58611109 0.59066957],[0.63090972 0.63453849],0.5,20,74,14,0.5883815005528107,0.6465934132278492,0.588390329592509,0.6327241058184017
12,0.843,0.841,0.627,0.619,0.842,0.845,0.843,0.835,[0.59468661 0.59468661],[0.64660028 0.66980643],[0.59261833 0.60097897],[0.63567856 0.64921813],0.5,20,74,15,0.594686609770079,0.6582033537003464,0.5967986537981661,0.6424483427910197
13,0.848,0.843,0.627,0.62,0.847,0.847,0.846,0.837,[0.58371285 0.581791  ],[0.60933262 0.62762973],[0.59850668 0.60040448],[0.63136453 0.65412803],0.5,20,74,16,0.5827519260375302,0.6184811756099146,0.5994555784998088,0.6427462791033025
14,0.849,0.839,0.627,0.62,0.844,0.843,0.847,0.832,[0.62882678 0.62188038],[0.6523947  0.66337199],[0.61275267 0.60564119],[0.63463832 0.65127058],0.5,20,74,17,0.6253535801972214,0.6578833468755898,0.6091969289668616,0.642954451701414
15,0.848,0.838,0.627,0.62,0.844,0.843,0.848,0.833,[0.6385433 0.6255142],[0.6539238  0.66327875],[0.62210882 0.61047654],[0.63484926 0.65007553],0.5,20,74,18,0.6320287477612057,0.6586012764986053,0.6162926806340869,0.6424623941960962
16,0.843,0.841,0.627,0.62,0.841,0.843,0.843,0.832,[0.6134554 0.6134554],[0.64793116 0.66044009],[0.6134554  0.61497201],[0.64360811 0.65251409],0.5,20,74,19,0.6134554042714219,0.6541856252202243,0.614213704861411,0.6480611022694391
17,0.844,0.835,0.627,0.62,0.841,0.84,0.845,0.824,[0.61775582 0.61775582],[0.65078177 0.65538828],[0.61775582 0.61917589],[0.64074607 0.64890389],0.5,20,74,20,0.617755818518392,0.6530850276521352,0.6184658563792842,0.6448249778788109
18,0.843,0.841,0.627,0.62,0.845,0.841,0.844,0.836,[0.63263144 0.62312685],[0.65936714 0.66380088],[0.62179231 0.62988638],[0.64454806 0.6603171 ],0.5,20,74,21,0.62787914354943,0.6615840094700797,0.6258393477318115,0.652432578525119
19,0.842,0.846,0.627,0.62,0.846,0.842,0.841,0.831,[0.63710722 0.63165814],[0.66291797 0.66921776],[0.62685624 0.63451317],[0.64836977 0.67024426],0.5,20,74,22,0.6343826799334761,0.6660678679923162,0.6306847053962223,0.6593070148770908
20,0.845,0.851,0.627,0.62,0.845,0.843,0.836,0.834,[0.63884575 0.63823876],[0.66371022 0.66563749],[0.62920016 0.63875897],[0.65138661 0.67111587],0.5,20,74,23,0.638542255936196,0.6646738571840789,0.6339795625870848,0.6612512377579061
21,0.844,0.849,0.627,0.62,0.846,0.846,0.828,0.829,[0.63715743 0.64120344],[0.66401788 0.66590299],[0.64408483 0.65301545],[0.66310559 0.67992901],0.5,20,74,24,0.6391804398059682,0.6649604327642176,0.6485501394646163,0.6715173021843925
22,0.841,0.841,0.627,0.62,0.839,0.838,0.821,0.824,[0.6564694  0.65216216],[0.67145117 0.67198329],[0.63498203 0.64341326],[0.65120809 0.66726288],0.5,20,74,25,0.6543157762099602,0.671717232953188,0.6391976453664344,0.6592354850717443
23,0.846,0.844,0.627,0.62,0.846,0.842,0.823,0.829,[0.64821682 0.64935227],[0.6700313  0.66823597],[0.63817366 0.6451137 ],[0.66117589 0.67758173],0.5,20,74,26,0.6487845481613654,0.6691336323643182,0.6416436801575897,0.669378811731902
24,0.84,0.839,0.627,0.62,0.843,0.839,0.83,0.823,[0.6412237  0.65185334],[0.67486777 0.6770359 ],[0.64060482 0.64275965],[0.6595969  0.67260569],0.5,20,74,27,0.6465385185465753,0.6759518359614254,0.6416822362241843,0.6661012940338441
25,0.839,0.838,0.627,0.62,0.843,0.837,0.831,0.824,[0.64414555 0.65427451],[0.67565488 0.67874222],[0.64045047 0.64661806],[0.65951131 0.67403861],0.5,20,74,28,0.6492100312314673,0.67719854945576,0.6435342676093709,0.6667749589672132
26,0.84,0.84,0.627,0.62,0.845,0.838,0.831,0.825,[0.64695079 0.65757503],[0.67699781 0.67797055],[0.63758371 0.64737099],[0.6615816  0.67491074],0.5,20,74,29,0.6522629080409359,0.6774841792220754,0.6424773512746234,0.6682461710134224
27,0.842,0.837,0.627,0.62,0.843,0.839,0.834,0.824,[0.64964945 0.65889879],[0.6821331  0.68122884],[0.65012972 0.65096907],[0.66409347 0.6783339 ],0.5,20,74,30,0.6542741166544479,0.6816809704347649,0.6505493941808933,0.6712136858792757
