,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.805,0.498,0.513,0.512,0.814,0.707,0.692,0.495,[1.         0.57294902],[0.52726957 0.52094563],[1.         0.61257411],[0.53740187 0.60575488],0.5,20,17,3,0.7864745084375788,0.5241076005261033,0.8062870566386034,0.5715783763541986
1,0.83,0.725,0.513,0.512,0.833,0.819,0.811,0.787,[0.52640689 0.52640689],[0.56706943 0.52640689],[0.52640689 0.47430962],[0.42976722 0.42678313],0.5,20,17,4,0.5264068897441496,0.5467381623608021,0.5003582541845043,0.42827517552207545
2,0.817,0.734,0.513,0.512,0.831,0.786,0.794,0.787,[0.54318819 0.54318819],[0.54318819 0.54318819],[0.54318819 0.60997637],[0.61881415 0.55944977],0.5,20,17,5,0.5431881894062726,0.5431881894062726,0.5765822779450307,0.5891319586005095
3,0.808,0.752,0.513,0.512,0.825,0.793,0.791,0.787,[0.5557586 0.5557586],[0.57435202 0.5557586 ],[0.5557586 0.5557586],[0.61514597 0.56810898],0.5,20,17,6,0.5557586019988419,0.5650553117000394,0.5557586019988419,0.5916274742685969
4,0.835,0.757,0.513,0.512,0.838,0.805,0.799,0.789,[0.56591696 0.57549526],[0.61003991 0.59048648],[0.56591696 0.57549526],[0.68905347 0.61453896],0.5,20,17,7,0.5707061093210148,0.6002631973554244,0.5707061093210148,0.6517962104609327
5,0.819,0.781,0.513,0.512,0.832,0.823,0.813,0.809,[0.57449679 0.61648834],[0.61348051 0.59915112],[0.53140227 0.53140227],[0.63336872 0.58605855],0.5,20,17,8,0.5954925627142778,0.6063158157448072,0.5314022702836151,0.6097136308933974
6,0.818,0.798,0.513,0.512,0.832,0.824,0.817,0.813,[0.58195653 0.6174526 ],[0.61300576 0.60288634],[0.58195653 0.58195653],[0.65310593 0.61174347],0.5,20,17,9,0.5997045651600998,0.6079460482390826,0.5819565284306101,0.6324246987082831
7,0.826,0.81,0.513,0.512,0.839,0.835,0.823,0.816,[0.61930312 0.61930312],[0.61864961 0.61126612],[0.61290386 0.58857682],[0.6615471  0.61563763],0.5,20,17,10,0.6193031181039623,0.6149578632538487,0.6007403430894291,0.6385923640830091
8,0.821,0.817,0.513,0.512,0.832,0.822,0.815,0.807,[0.62161537 0.62161537],[0.6206035  0.60913365],[0.62161537 0.60508373],[0.67336368 0.60834491],0.5,20,17,11,0.6216153709357632,0.6148685779284008,0.613349550268345,0.6408542929976537
9,0.828,0.824,0.513,0.512,0.833,0.821,0.817,0.808,[0.62416604 0.62416604],[0.61207948 0.60348998],[0.62416604 0.64895544],[0.65092486 0.63014122],0.5,20,17,12,0.6241660360917615,0.6077847317539287,0.6365607380321402,0.6405330419041827
10,0.836,0.822,0.513,0.512,0.832,0.824,0.814,0.815,[0.63056224 0.63056224],[0.61237605 0.60869298],[0.63056224 0.65144644],[0.66617316 0.62654037],0.5,20,17,13,0.6305622406010437,0.6105345133948943,0.6410043384419566,0.646356761825233
11,0.836,0.824,0.513,0.512,0.827,0.825,0.824,0.816,[0.63266044 0.65621007],[0.61972294 0.61410527],[0.6096353  0.63380665],[0.63257567 0.6280641 ],0.5,20,17,14,0.6444352580996848,0.6169141044370438,0.6217209728544619,0.6303198852287009
12,0.839,0.825,0.513,0.512,0.83,0.824,0.833,0.813,[0.61397181 0.63578628],[0.60299952 0.59781623],[0.59601593 0.61397181],[0.61875525 0.60977048],0.5,20,17,15,0.62487904617762,0.6004078789929881,0.6049938709007212,0.6142628655128234
13,0.839,0.823,0.513,0.512,0.839,0.824,0.835,0.821,[0.61804216 0.63383425],[0.62098186 0.6140337 ],[0.61804216 0.61804216],[0.63840636 0.62088123],0.5,20,17,16,0.6259382066054745,0.6175077796928361,0.6180421616315194,0.6296437943404614
14,0.823,0.82,0.513,0.512,0.821,0.823,0.806,0.803,[0.6465641 0.6500038],[0.65355968 0.64124013],[0.64011119 0.64742946],[0.67608348 0.65163336],0.5,20,17,17,0.6482839475341042,0.6473999047081876,0.6437703235854659,0.663858419826202
15,0.814,0.809,0.513,0.512,0.818,0.817,0.782,0.799,[0.64963235 0.63214185],[0.65432399 0.6431675 ],[0.6429973  0.65006039],[0.67389806 0.65944153],0.5,20,17,18,0.6408871022374313,0.6487457460909082,0.646528843815072,0.6666697934082111
16,0.818,0.803,0.513,0.512,0.817,0.816,0.804,0.799,[0.63582838 0.62560765],[0.64085269 0.62818604],[0.62896654 0.6483713 ],[0.67244595 0.65636453],0.5,20,17,19,0.6307180143667538,0.6345193630794319,0.63866892054588,0.6644052407518135
17,0.828,0.804,0.513,0.512,0.829,0.814,0.823,0.81,[0.63862896 0.62923304],[0.65225513 0.63231863],[0.63225658 0.64728563],[0.67810196 0.66011534],0.5,20,17,20,0.6339309980800358,0.6422868762778307,0.6397711063616793,0.6691086521014042
18,0.835,0.821,0.513,0.512,0.841,0.815,0.828,0.818,[0.66887756 0.65865162],[0.65116556 0.64148351],[0.64912399 0.63857844],[0.66977757 0.65404081],0.5,20,17,21,0.6637645923749772,0.6463245355642375,0.6438512145930717,0.6619091903754728
19,0.839,0.819,0.513,0.512,0.841,0.821,0.837,0.819,[0.65441573 0.64154999],[0.63772119 0.62922866],[0.63841221 0.64136929],[0.66607295 0.65595946],0.5,20,17,22,0.6479828626452168,0.6334749247120677,0.6398907523789326,0.6610162027782828
20,0.834,0.826,0.513,0.512,0.833,0.827,0.832,0.817,[0.65309003 0.65569459],[0.66079466 0.64947054],[0.67039776 0.67331757],[0.69204809 0.68024206],0.5,20,17,23,0.6543923119297707,0.6551325996392873,0.6718576645154283,0.6861450729155176
21,0.833,0.824,0.513,0.512,0.836,0.825,0.835,0.822,[0.66278131 0.65506935],[0.66100122 0.65227393],[0.66858684 0.67410687],[0.68842315 0.67766919],0.5,20,17,24,0.658925327981046,0.6566375752316438,0.6713468578619691,0.6830461669845815
22,0.832,0.821,0.513,0.513,0.835,0.825,0.834,0.825,[0.65313378 0.65589289],[0.64948667 0.64243038],[0.64823766 0.66133759],[0.67352192 0.66302476],0.5,20,17,25,0.6545133344631382,0.6459585272325173,0.6547876269918274,0.6682733419468154
23,0.834,0.822,0.513,0.513,0.83,0.827,0.835,0.832,[0.65070842 0.66552051],[0.66516974 0.65758229],[0.64329627 0.6755466 ],[0.69690132 0.6783644 ],0.5,20,17,26,0.6581144643044504,0.6613760168008604,0.659421438598565,0.687632862832074
24,0.834,0.825,0.513,0.513,0.831,0.824,0.839,0.834,[0.65748856 0.66472576],[0.66801725 0.6631587 ],[0.66330348 0.67940569],[0.70279668 0.68946441],0.5,20,17,27,0.6611071556362647,0.6655879734120547,0.6713545820123825,0.6961305416668995
25,0.837,0.829,0.513,0.513,0.833,0.829,0.838,0.833,[0.65427451 0.65251297],[0.65914705 0.65560083],[0.67132399 0.67823612],[0.70181794 0.69116028],0.5,20,17,28,0.6533937393798921,0.6573739411216144,0.6747800522535261,0.696489107736765
