,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.758,0.777,0.5,0.5,0.801,0.814,0.752,0.749,[0.5 0.5],[0.5 0.5],[0.5        0.53711364],[0.5        0.50368817],0.5,20,11,3,0.5,0.5,0.5185568198565591,0.5018440856219234
1,0.767,0.788,0.5,0.5,0.81,0.805,0.754,0.75,[0.52640689 0.56825791],[0.52640689 0.52640689],[0.52640689 0.5842157 ],[0.52640689 0.53271413],0.5,20,11,4,0.5473324006014423,0.5264068897441496,0.555311297088888,0.5295605115351393
2,0.774,0.789,0.5,0.5,0.803,0.818,0.783,0.779,[0.54318819 0.54318819],[0.56448153 0.55481525],[0.54318819 0.5879521 ],[0.58009591 0.54547445],0.5,20,11,5,0.5431881894062724,0.559648387583102,0.565570144683384,0.5627851804591776
3,0.805,0.74,0.5,0.5,0.818,0.808,0.814,0.814,[0.5557586 0.5557586],[0.55982079 0.5557586 ],[0.59283829 0.5557586 ],[0.57492961 0.56074069],0.5,20,11,6,0.5557586019988419,0.5577896984096771,0.5742984451581374,0.5678351482753915
4,0.803,0.752,0.5,0.5,0.812,0.81,0.821,0.81,[0.56591696 0.56591696],[0.56936067 0.56763359],[0.61250228 0.56591696],[0.57666797 0.57223303],0.5,20,11,7,0.5659169588399143,0.5684971314611725,0.589209619084399,0.5744504987368617
5,0.81,0.807,0.5,0.5,0.818,0.819,0.809,0.804,[0.57449679 0.57449679],[0.57843676 0.58042708],[0.57449679 0.57449679],[0.59321163 0.59445656],0.5,20,11,8,0.5744967863088652,0.5794319168819779,0.5744967863088652,0.5938340943750875
6,0.809,0.797,0.5,0.5,0.821,0.814,0.801,0.792,[0.58195653 0.58195653],[0.59070996 0.58363412],[0.58195653 0.58195653],[0.59417714 0.59057225],0.5,20,11,9,0.5819565284306101,0.5871720429530252,0.5819565284306101,0.5923746946032001
7,0.81,0.79,0.5,0.5,0.824,0.807,0.76,0.758,[0.55714396 0.55714396],[0.57717969 0.58039072],[0.58857682 0.58857682],[0.60845117 0.60054364],0.5,20,11,10,0.5571439622351794,0.5787852079053364,0.5885768228075086,0.6044974061735213
8,0.805,0.791,0.5,0.5,0.822,0.808,0.748,0.748,[0.56688251 0.56688251],[0.58864339 0.58737759],[0.59454263 0.59454263],[0.61207625 0.60767551],0.5,20,11,11,0.5668825111336152,0.5880104895905512,0.594542628725251,0.6098758779965248
9,0.818,0.801,0.5,0.5,0.835,0.818,0.762,0.754,[0.59998264 0.59998264],[0.6202692  0.62596339],[0.59998264 0.59998264],[0.628277   0.62048874],0.5,20,11,12,0.599982639915076,0.623116293141303,0.599982639915076,0.6243828700117418
10,0.814,0.794,0.5,0.5,0.829,0.822,0.784,0.787,[0.6049902  0.62683075],[0.63140197 0.6343501 ],[0.6049902 0.6049902],[0.64696647 0.62888732],0.5,20,11,13,0.6159104790906063,0.6328760313109952,0.6049902042564327,0.6379268935849458
11,0.814,0.799,0.5,0.5,0.828,0.824,0.791,0.79,[0.6096353  0.62953753],[0.62564095 0.62745835],[0.6096353 0.6096353],[0.64564539 0.62733586],0.5,20,11,14,0.619586413053921,0.6265496463774538,0.6096353004590461,0.6364906247456801
