,Unnamed: 0,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0,0.8440000000000001,0.7879999999999999,0.5,0.5,0.8440000000000001,0.833,0.825,0.823,[0.5 0.5],[0.5        0.50743116],[0.5 0.5],[0.5        0.51464914],0.5,20,1,3,0.5,0.5037155786243197,0.5,0.507324569151189
1,1,0.846,0.831,0.5,0.5,0.843,0.8370000000000001,0.777,0.7659999999999999,[0.52640689 0.52640689],[0.52640689 0.52923165],[0.52640689 0.52640689],[0.52640689 0.5378908 ],0.5,20,1,4,0.5264068897441496,0.5278192696233527,0.5264068897441496,0.5321488452365861
2,2,0.8420000000000001,0.8370000000000001,0.5,0.5,0.845,0.841,0.752,0.755,[0.54318819 0.54318819],[0.54318819 0.54547445],[0.54318819 0.54318819],[0.54547445 0.56203352],0.5,20,1,5,0.5431881894062724,0.544331320154797,0.5431881894062724,0.553753983950203
3,3,0.84,0.804,0.5,0.5,0.841,0.8370000000000001,0.753,0.7390000000000001,[0.5557586 0.5557586],[0.56638617 0.58311212],[0.5557586 0.5557586],[0.55350605 0.56575143],0.5,20,1,6,0.5557586019988419,0.5747491409246176,0.5557586019988419,0.5596287424938756
4,4,0.8270000000000001,0.81,0.5,0.5,0.84,0.816,0.807,0.785,[0.56591696 0.56591696],[0.57741019 0.57322227],[0.56591696 0.56591696],[0.57585758 0.57071053],0.5,20,1,7,0.5659169588399143,0.5753162282427547,0.5659169588399143,0.5732840540380582
5,5,0.82,0.8,0.5,0.5,0.835,0.8140000000000001,0.815,0.7959999999999999,[0.57449679 0.57449679],[0.58785732 0.57655147],[0.57449679 0.57449679],[0.58263301 0.57503695],0.5,20,1,8,0.5744967863088652,0.5822043950039346,0.5744967863088652,0.5788349780797202
6,6,0.833,0.8140000000000001,0.5,0.5,0.841,0.8170000000000001,0.804,0.797,[0.58195653 0.58195653],[0.61862489 0.60468696],[0.58195653 0.58195653],[0.61594469 0.59193461],0.5,20,1,9,0.5819565284306101,0.611655925226442,0.5819565284306101,0.6039396510910706
7,7,0.8420000000000001,0.82,0.5,0.5,0.845,0.821,0.8270000000000001,0.807,[0.58857682 0.58857682],[0.61992368 0.61745378],[0.58857682 0.58857682],[0.61805277 0.60633207],0.5,20,1,10,0.5885768228075086,0.6186887335734099,0.5885768228075086,0.6121924176147227
8,8,0.8370000000000001,0.8270000000000001,0.5,0.5,0.8370000000000001,0.828,0.778,0.79,[0.59454263 0.59454263],[0.63185453 0.62681877],[0.59454263 0.59454263],[0.62000397 0.61001789],0.5,20,1,11,0.594542628725251,0.6293366523804831,0.594542628725251,0.615010930484331
9,9,0.8270000000000001,0.816,0.5,0.5,0.8290000000000001,0.82,0.813,0.8,[0.59998264 0.59998264],[0.6363988  0.62507935],[0.59998264 0.59998264],[0.62662328 0.61055761],0.5,20,1,12,0.599982639915076,0.6307390714629111,0.599982639915076,0.6185904458023355
10,10,0.826,0.8170000000000001,0.5,0.5,0.8320000000000001,0.8190000000000001,0.8190000000000001,0.8,[0.6049902 0.6049902],[0.63917372 0.62948605],[0.6049902 0.6049902],[0.62914257 0.61564165],0.5,20,1,13,0.6049902042564327,0.6343298855678086,0.6049902042564327,0.6223921072884284
11,11,0.826,0.821,0.5,0.5,0.8290000000000001,0.825,0.818,0.8079999999999999,[0.6096353 0.6096353],[0.62677022 0.62054931],[0.6096353 0.6096353],[0.62057463 0.61935195],0.5,20,1,14,0.6096353004590461,0.623659763831524,0.6096353004590461,0.6199632944549042
