,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
23,0.847,0.847,0.513,0.512,0.847,0.842,0.83,0.835,[0.66054495 0.65827565],[0.66368609 0.67103456],[0.64935227 0.65827565],[0.66612073 0.67950202],0.5,20,51,26,0.6594103007750807,0.6673603251864924,0.653813963577021,0.6728113735705145
24,0.849,0.845,0.513,0.513,0.847,0.842,0.834,0.839,[0.66248817 0.6539529 ],[0.66711388 0.67417828],[0.64169774 0.64596658],[0.65832804 0.67081447],0.5,20,51,27,0.658220533056227,0.6706460799589513,0.643832157190126,0.6645712566704921
25,0.849,0.847,0.513,0.513,0.848,0.842,0.835,0.839,[0.66440166 0.65627517],[0.66934175 0.67716103],[0.64459164 0.64865727],[0.66044475 0.67387153],0.5,20,51,28,0.6603384133268171,0.6732513877933405,0.6466244533482218,0.6671581379889407
26,0.853,0.846,0.513,0.513,0.847,0.843,0.835,0.838,[0.67596397 0.66432923],[0.67743005 0.67978768],[0.67596397 0.67012287],[0.68051463 0.68672246],0.5,20,51,29,0.6701465981006329,0.6786088659062908,0.6730434178075385,0.6836185440831191
27,0.848,0.845,0.513,0.513,0.846,0.842,0.836,0.837,[0.6786619  0.66677118],[0.67790437 0.68275648],[0.65285627 0.66690798],[0.67366845 0.67979491],0.5,20,51,30,0.6727165430805129,0.6803304268148392,0.6598821223691265,0.6767316810346762
28,0.848,0.844,0.513,0.513,0.845,0.84,0.837,0.84,[0.67998824 0.66863443],[0.67789676 0.68107249],[0.65155098 0.66677685],[0.67478015 0.67901578],0.5,20,51,31,0.6743113329190495,0.6794846260289586,0.6591639116006591,0.6768979664740098
29,0.847,0.847,0.513,0.513,0.845,0.844,0.84,0.843,[0.68132533 0.66864962],[0.67973221 0.68180895],[0.65957361 0.6650281 ],[0.67588945 0.67758326],0.5,20,51,32,0.6749874731949435,0.6807705810290744,0.6623008535366472,0.6767363574773986
30,0.846,0.847,0.513,0.513,0.844,0.844,0.842,0.845,[0.68266858 0.67052273],[0.68159397 0.68364965],[0.66006999 0.66354164],[0.67891914 0.67996336],0.5,20,51,33,0.6765956575722076,0.6826218119399019,0.6618058141040845,0.6794412475648985
31,0.849,0.848,0.513,0.513,0.846,0.848,0.837,0.845,[0.68401429 0.6690434 ],[0.68507928 0.68718214],[0.65898464 0.66561592],[0.68127226 0.68523448],0.5,20,51,34,0.676528847759211,0.6861307095960696,0.6623002829759932,0.6832533681201451
32,0.847,0.85,0.513,0.513,0.848,0.848,0.841,0.845,[0.68374765 0.66938799],[0.68712175 0.6894893 ],[0.66130161 0.66447431],[0.68061884 0.68772343],0.5,20,51,35,0.6765678184944524,0.688305524070126,0.6628879599454088,0.6841711381774613
33,0.847,0.848,0.513,0.513,0.847,0.846,0.84,0.842,[0.68670167 0.67285364],[0.68650927 0.68954888],[0.67285364 0.67588647],[0.69158514 0.69612551],0.5,20,51,36,0.6797776541365372,0.688029076756379,0.6743700548201492,0.6938553290993684
34,0.846,0.849,0.513,0.513,0.847,0.847,0.839,0.839,[0.68803895 0.6746953 ],[0.68862255 0.69078531],[0.66870696 0.67017249],[0.68589652 0.68876934],0.5,20,51,37,0.6813671242766408,0.6897039299124046,0.6694397290649416,0.6873329280875453
35,0.849,0.845,0.513,0.513,0.846,0.846,0.839,0.839,[0.68649589 0.67649735],[0.69034107 0.69244825],[0.66928034 0.66928034],[0.68687122 0.69082769],0.5,20,51,38,0.6814966202251597,0.6913946584342802,0.6692803387956617,0.6888494544122148
36,0.848,0.844,0.513,0.513,0.843,0.847,0.839,0.839,[0.6865394  0.67826162],[0.6926823  0.69367321],[0.67129211 0.67268325],[0.68840151 0.69134314],0.5,20,51,39,0.682400511934572,0.6931777558704538,0.6719876785080472,0.6898723254670962
37,0.848,0.846,0.513,0.513,0.844,0.844,0.842,0.844,[0.69200685 0.68265569],[0.69394601 0.69691917],[0.67178996 0.67181927],[0.6861707  0.68938465],0.5,20,51,40,0.6873312680485834,0.6954325937440166,0.6718046182604,0.6877776718561415
38,0.845,0.846,0.513,0.513,0.845,0.843,0.843,0.844,[0.68065982 0.6790188 ],[0.68649343 0.68781462],[0.67508934 0.67886231],[0.68997463 0.69296468],0.5,20,51,41,0.6798393117891768,0.6871540235961879,0.6769758281661072,0.6914696539964371
39,0.846,0.846,0.513,0.513,0.845,0.844,0.84,0.842,[0.68234768 0.67943393],[0.68798379 0.68858945],[0.6731497  0.68061648],[0.69137598 0.69554273],0.5,20,51,42,0.6808908009250179,0.6882866219451792,0.6768830919884179,0.6934593569115175
40,0.845,0.846,0.513,0.513,0.845,0.842,0.842,0.839,[0.68151745 0.68118637],[0.68854859 0.69005624],[0.67011474 0.68233362],[0.69277228 0.69709747],0.5,20,51,43,0.6813519093900905,0.6893024143368284,0.6762241812235008,0.6949348775092765
41,0.846,0.841,0.513,0.513,0.843,0.838,0.831,0.829,[0.67912834 0.68413899],[0.69002791 0.69251111],[0.67534344 0.68413899],[0.69216104 0.69713986],0.5,20,51,44,0.6816336633504956,0.6912695130033906,0.6797412148990027,0.694650452503816
42,0.847,0.847,0.513,0.513,0.845,0.844,0.827,0.825,[0.68092434 0.68334442],[0.69484492 0.69421002],[0.67969683 0.68334442],[0.69744475 0.69954199],0.5,20,51,45,0.6821343799878106,0.6945274697919728,0.6815206281507908,0.6984933710755437
43,0.846,0.845,0.513,0.513,0.841,0.843,0.828,0.824,[0.68858113 0.68974133],[0.70696689 0.70693821],[0.68858113 0.68974133],[0.70856651 0.70900382],0.5,20,51,46,0.6891612282071311,0.7069525488137792,0.6891612282071311,0.7087851615456168
44,0.844,0.843,0.513,0.513,0.842,0.841,0.831,0.83,[0.6773928  0.67970952],[0.69650455 0.69735852],[0.68439792 0.68553609],[0.70403311 0.70653696],0.5,20,51,47,0.6785511558913283,0.696931533799398,0.6849670024934535,0.7052850333270375
45,0.845,0.843,0.513,0.513,0.841,0.842,0.832,0.83,[0.67927703 0.68041093],[0.69783248 0.69922615],[0.68607944 0.68607944],[0.70517831 0.7067806 ],0.5,20,51,48,0.6798439784779264,0.6985293181474153,0.6860794373274511,0.7059794543291202
46,0.846,0.846,0.513,0.513,0.842,0.843,0.837,0.835,[0.69414249 0.69313774],[0.7091827  0.71079441],[0.69837329 0.69313774],[0.71114563 0.71471649],0.5,20,51,49,0.6936401178491842,0.7099885544302176,0.6957555147241599,0.7129310635167883
