,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.832,0.586,0.848,0.845,0.84,0.789,0.836,0.806,[0.5 0.5],[0.5 0.5],[1.  0.5],[0.5        0.46174758],0.5,20,53,3,0.49999999999999994,0.49999999999999994,0.75,0.48087378907383077
1,0.833,0.803,0.848,0.845,0.841,0.834,0.838,0.832,[0.52640689 0.52640689],[0.52640689 0.52640689],[0.52640689 0.52640689],[0.52960032 0.52960032],0.5,20,53,4,0.5264068897441496,0.5264068897441496,0.5264068897441496,0.5296003173641469
2,0.807,0.807,0.848,0.845,0.816,0.808,0.818,0.815,[0.54318819 0.54318819],[0.54318819 0.55323987],[0.54318819 0.54318819],[0.55021726 0.55094845],0.5,20,53,5,0.5431881894062724,0.5482140302360516,0.5431881894062724,0.5505828596169577
3,0.815,0.818,0.848,0.845,0.819,0.823,0.823,0.822,[0.5557586 0.5557586],[0.57185384 0.56910687],[0.5557586 0.5557586],[0.58424636 0.56206943],0.5,20,53,6,0.5557586019988419,0.5704803539908128,0.5557586019988419,0.5731578954791414
4,0.824,0.83,0.848,0.845,0.841,0.837,0.841,0.839,[0.56591696 0.56591696],[0.59297713 0.58139371],[0.56591696 0.6050315 ],[0.61131911 0.58572929],0.5,20,53,7,0.5659169588399143,0.5871854202042273,0.585474231835675,0.5985242014177101
5,0.833,0.824,0.848,0.845,0.847,0.834,0.846,0.834,[0.57449679 0.57449679],[0.5926627  0.58042708],[0.57449679 0.57449679],[0.59918095 0.58297252],0.5,20,53,8,0.5744967863088652,0.586544887075839,0.5744967863088652,0.5910767364676133
6,0.832,0.829,0.848,0.845,0.844,0.833,0.843,0.831,[0.58195653 0.58195653],[0.59917932 0.59565369],[0.58195653 0.58195653],[0.60649428 0.58918307],0.5,20,53,9,0.58195652843061,0.5974165032696807,0.58195652843061,0.5978386706917205
7,0.829,0.829,0.848,0.845,0.845,0.835,0.846,0.835,[0.58857682 0.58857682],[0.60819054 0.6050884 ],[0.58857682 0.58857682],[0.60988453 0.60007039],0.5,20,53,10,0.5885768228075086,0.6066394688436969,0.5885768228075086,0.6049774584630183
8,0.838,0.83,0.848,0.845,0.846,0.844,0.844,0.84,[0.59454263 0.59454263],[0.60777767 0.60642771],[0.59454263 0.59454263],[0.61193238 0.60879381],0.5,20,53,11,0.594542628725251,0.6071026877600358,0.594542628725251,0.610363094190828
9,0.826,0.824,0.848,0.845,0.838,0.839,0.843,0.846,[0.59998264 0.59998264],[0.63015207 0.61973722],[0.59998264 0.59998264],[0.62467415 0.62013746],0.5,20,53,12,0.599982639915076,0.6249446409548647,0.599982639915076,0.6224058028355854
10,0.832,0.832,0.848,0.845,0.844,0.846,0.845,0.845,[0.6049902 0.6049902],[0.62987071 0.62058997],[0.6049902 0.6049902],[0.62966783 0.62588492],0.5,20,53,13,0.6049902042564327,0.6252303403266315,0.6049902042564327,0.6277763760183814
11,0.828,0.824,0.848,0.845,0.832,0.833,0.844,0.841,[0.6096353 0.6096353],[0.64392163 0.63413068],[0.6096353 0.6096353],[0.6401974  0.62937543],0.5,20,53,14,0.6096353004590461,0.6390261550160576,0.6096353004590461,0.6347864134527971
12,0.814,0.818,0.848,0.845,0.825,0.83,0.832,0.838,[0.61397181 0.61397181],[0.63157943 0.6372138 ],[0.61397181 0.61397181],[0.62768822 0.640126  ],0.5,20,53,15,0.6139718122634479,0.6343966154825375,0.6139718122634479,0.6339071094778596
13,0.83,0.826,0.848,0.845,0.836,0.842,0.845,0.846,[0.61804216 0.61804216],[0.64567987 0.63753893],[0.61804216 0.61897281],[0.64464793 0.6377348 ],0.5,20,53,16,0.6180421616315194,0.6416093972134398,0.6185074848370934,0.6411913653049925
14,0.831,0.827,0.848,0.845,0.841,0.843,0.849,0.847,[0.62188038 0.62188038],[0.64642265 0.64173415],[0.62188038 0.62446722],[0.64259654 0.64099238],0.5,20,53,17,0.6218803775211222,0.6440784019264683,0.6231737988251846,0.6417944595849852
15,0.836,0.833,0.848,0.845,0.846,0.843,0.847,0.844,[0.6255142  0.62631292],[0.64740918 0.64071729],[0.6255142  0.63850811],[0.64721875 0.64411475],0.5,20,53,18,0.6259135571377827,0.64406323724575,0.6320111554771584,0.6456667498973709
16,0.836,0.834,0.848,0.845,0.843,0.842,0.846,0.845,[0.62896654 0.62896654],[0.6493633  0.64395337],[0.62896654 0.63195845],[0.64990743 0.64530636],0.5,20,53,19,0.6289665395356436,0.6466583360656131,0.6304624928378149,0.6476068918942646
17,0.839,0.836,0.848,0.845,0.843,0.842,0.848,0.843,[0.63225658 0.63225658],[0.64913156 0.64555975],[0.63225658 0.63225658],[0.65109467 0.65074661],0.5,20,53,20,0.6322565803874981,0.6473456551138238,0.6322565803874981,0.6509206431300165
18,0.839,0.837,0.848,0.845,0.843,0.842,0.849,0.849,[0.63540053 0.6367151 ],[0.6498803 0.6465156],[0.63540053 0.63737443],[0.65315033 0.65536505],0.5,20,53,21,0.6360578133833508,0.6481979480648581,0.6363874773807221,0.6542576892750787
19,0.836,0.836,0.848,0.846,0.841,0.838,0.843,0.844,[0.63841221 0.64027397],[0.65208587 0.65081816],[0.63841221 0.64027397],[0.65389004 0.65985148],0.5,20,53,22,0.6393430907869462,0.651452013812237,0.6393430907869462,0.656870760791096
20,0.837,0.837,0.848,0.845,0.842,0.838,0.849,0.849,[0.64130354 0.64247651],[0.65362263 0.65182225],[0.64130354 0.64306461],[0.65532609 0.66268451],0.5,20,53,23,0.6418900267070387,0.6527224409767992,0.642184075222709,0.6590053025982756
21,0.842,0.841,0.848,0.845,0.842,0.842,0.849,0.849,[0.64408483 0.64575502],[0.65745603 0.65465119],[0.64408483 0.64797626],[0.65910032 0.66423703],0.5,20,53,24,0.6449199260217213,0.6560536076472017,0.6460305480588675,0.661668672043129
22,0.844,0.839,0.848,0.845,0.844,0.845,0.85,0.849,[0.64676511 0.65472892],[0.65946952 0.6562816 ],[0.64676511 0.65799131],[0.66106637 0.66587295],0.5,20,53,25,0.650747013399618,0.6578755607314054,0.6523782076809722,0.6634696574245689
23,0.844,0.839,0.848,0.846,0.84,0.841,0.85,0.85,[0.64935227 0.66205947],[0.66093091 0.65841686],[0.64935227 0.66463381],[0.6619581  0.66803724],0.5,20,53,26,0.6557058725520819,0.6596738886361123,0.6569930429863614,0.6649976712181553
24,0.843,0.841,0.848,0.846,0.842,0.843,0.85,0.849,[0.64836179 0.66609902],[0.66324599 0.6582787 ],[0.65135225 0.66660677],[0.66126743 0.66787662],0.5,20,53,27,0.6572304039478338,0.6607623436229464,0.6589795073976326,0.6645720215766879
25,0.848,0.847,0.848,0.845,0.848,0.847,0.848,0.847,[0.62974347 0.65259483],[0.64260739 0.64056502],[0.63341842 0.65092376],[0.64309769 0.64969832],0.5,20,53,28,0.6411691522786245,0.6415862030130941,0.6421710904503531,0.6463980062387529
