,Unnamed: 0,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0,0.7829999999999999,0.5670000000000001,0.848,0.845,0.821,0.71,0.809,0.738,[0.5        0.42705098],[0.42705098 0.46065534],[0.61257411 0.56196403],[0.61257411 0.4285033 ],0.5,20,1,3,0.4635254915624212,0.4438531601041053,0.5872690722718068,0.5205387075484516
1,1,0.7390000000000001,0.526,0.848,0.845,0.8220000000000001,0.738,0.777,0.746,[0.36466994 0.31050022],[0.42653144 0.52640689],[0.52640689 0.53515962],[0.54036132 0.53464022],0.5,20,1,4,0.337585077237514,0.4764691626923329,0.5307832549967875,0.5375007693203425
2,2,0.745,0.56,0.848,0.845,0.799,0.742,0.7759999999999999,0.754,[0.4472298  0.38730457],[0.52161547 0.54318819],[0.54318819 0.51413051],[0.64219358 0.52859681],0.5,20,1,5,0.4172671877766534,0.5324018305878773,0.528659349947087,0.585395194360492
3,3,0.772,0.732,0.848,0.845,0.7979999999999999,0.7809999999999999,0.795,0.782,[0.5557586 0.5557586],[0.68875673 0.57712125],[0.55190093 0.48759487],[0.61171584 0.6014429 ],0.5,20,1,6,0.5557586019988421,0.6329389907799154,0.5197478994659621,0.6065793699105152
4,4,0.772,0.764,0.848,0.845,0.792,0.777,0.792,0.782,[0.56591696 0.56591696],[0.66924541 0.60547558],[0.56591696 0.56591696],[0.66672942 0.64807916],0.5,20,1,7,0.5659169588399144,0.6373604950955125,0.5659169588399144,0.6574042886768782
5,5,0.777,0.7709999999999999,0.847,0.845,0.7909999999999999,0.789,0.799,0.7959999999999999,[0.57449679 0.5702291 ],[0.58841582 0.57235499],[0.57449679 0.57449679],[0.59671627 0.6315573 ],0.5,20,1,8,0.5723629452243,0.5803854036419771,0.5744967863088652,0.6141367844980488
6,6,0.779,0.774,0.847,0.845,0.797,0.79,0.797,0.802,[0.58195653 0.55416103],[0.58363412 0.58164474],[0.58195653 0.58544466],[0.59059843 0.61539201],0.5,20,1,9,0.5680587799424555,0.5826394339336224,0.5837005966821435,0.6029952193535683
7,7,0.802,0.7979999999999999,0.847,0.845,0.8059999999999999,0.8109999999999999,0.807,0.81,[0.5823158  0.58231828],[0.61608687 0.59240771],[0.58857682 0.5860971 ],[0.62735675 0.62632856],0.5,20,1,10,0.5823170409024602,0.6042472902904559,0.5873369631559044,0.6268426552012163
8,8,0.8009999999999999,0.794,0.847,0.845,0.816,0.813,0.82,0.8170000000000001,[0.58463429 0.58015681],[0.62553387 0.61317903],[0.59454263 0.578963  ],[0.63833292 0.62271368],0.5,20,1,11,0.5823955478076812,0.6193564480599028,0.5867528129261634,0.630523299521541
9,9,0.818,0.812,0.848,0.845,0.8190000000000001,0.815,0.8270000000000001,0.82,[0.59998264 0.64835868],[0.6273712  0.60369376],[0.60129284 0.58918245],[0.64734688 0.61958335],0.5,20,1,12,0.6241706619319398,0.6155324765221677,0.5952376430884923,0.6334651162679872
10,10,0.8140000000000001,0.8140000000000001,0.847,0.845,0.815,0.815,0.823,0.8170000000000001,[0.6049902  0.62172208],[0.63188996 0.60566205],[0.60615541 0.59593309],[0.64625666 0.62687274],0.5,20,1,13,0.6133561445583416,0.6187760052566649,0.6010442540731249,0.6365647006606363
11,11,0.8140000000000001,0.81,0.847,0.845,0.821,0.812,0.823,0.8140000000000001,[0.6096353  0.63021303],[0.63102791 0.61337014],[0.59396515 0.57965154],[0.62378315 0.61135342],0.5,20,1,14,0.6199241661153843,0.6221990247206268,0.5868083429214781,0.6175682846719861
12,12,0.8190000000000001,0.813,0.847,0.845,0.82,0.815,0.826,0.821,[0.61397181 0.63777923],[0.63331218 0.61566417],[0.61492664 0.60733517],[0.64595426 0.6382379 ],0.5,20,1,15,0.6258755188948544,0.6244881720042146,0.6111309026743774,0.6420960809453744
13,13,0.823,0.818,0.847,0.845,0.828,0.826,0.836,0.8320000000000001,[0.61891805 0.63859995],[0.64931823 0.62997346],[0.59876237 0.58255066],[0.62623397 0.61716178],0.5,20,1,16,0.6287589967992815,0.6396458451451408,0.5906565186481156,0.6216978752140138
14,14,0.8220000000000001,0.8170000000000001,0.847,0.845,0.8270000000000001,0.83,0.8340000000000001,0.831,[0.63847009 0.63612726],[0.6544434  0.63571871],[0.60424506 0.58731224],[0.63035705 0.62007757],0.5,20,1,17,0.6372986743321349,0.645081054033573,0.5957786520427059,0.6252173110336101
15,15,0.8270000000000001,0.828,0.847,0.845,0.83,0.831,0.84,0.8370000000000001,[0.64186568 0.64436139],[0.66369637 0.63780545],[0.6255142  0.61323825],[0.64976781 0.64035131],0.5,20,1,18,0.6431135342049273,0.6507509108978786,0.6193762232096363,0.6450595578319264
16,16,0.8220000000000001,0.816,0.847,0.845,0.826,0.8270000000000001,0.835,0.831,[0.66170167 0.66017737],[0.66598555 0.64548634],[0.63294724 0.61855092],[0.64030272 0.63575555],0.5,20,1,19,0.6609395177065324,0.6557359450525102,0.6257490825070011,0.6380291360831233
17,17,0.8290000000000001,0.812,0.847,0.845,0.831,0.826,0.8340000000000001,0.83,[0.66832106 0.68272104],[0.66830738 0.6501219 ],[0.634608   0.61636676],[0.6388876  0.63019513],0.5,20,1,20,0.6755210510518235,0.6592146399097603,0.6254873820630377,0.6345413666229879
