,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.825,0.655,0.66,0.8275,0.5,0.5025,0.9825174825174824,0.9974747474747475,0.5,1,24,3
1,0.8125,0.81,0.815,0.8075,0.5,0.5025,0.9967860422405878,0.9983930211202938,0.5,1,24,4
2,0.8425,0.84,0.8425,0.8425,0.5,0.51,0.9945416236805641,0.9948765871695437,0.5,1,24,5
3,0.8375,0.8325,0.8325,0.8375,0.5,0.5025,0.9940991531900623,0.9946798992253539,0.5,1,24,6
4,0.8275,0.83,0.8325,0.8275,0.5,0.5025,0.9959562949759029,0.9959562949759029,0.5,1,24,7
5,0.825,0.83,0.8275,0.825,0.5,0.5025,0.9935060465946686,0.9959794505249051,0.5,1,24,8
6,0.825,0.8325,0.8325,0.83,0.5,0.5025,0.986795119344234,0.9957347699016206,0.5,1,24,9
7,0.84,0.835,0.8375,0.84,0.5,0.5025,0.9862894501299196,0.9939286085418786,0.5,1,24,10
8,0.835,0.8375,0.835,0.835,0.5,0.5025,0.9863785539293088,0.9941508379909202,0.5,1,24,11
9,0.8425,0.84,0.84,0.8425,0.5025,0.5025,0.9924704342067224,0.994282804018418,0.5,1,24,12
10,0.84,0.8325,0.83,0.8375,0.5025,0.5025,0.9929675707133349,0.99523984481466,0.5,1,24,13
11,0.835,0.8325,0.8325,0.835,0.5025,0.5025,0.9928200010861302,0.9943619584923932,0.5,1,24,14
12,0.8375,0.8175,0.8175,0.8375,0.5025,0.505,0.9932961402479777,0.9951012306208492,0.5,1,24,15
13,0.835,0.81,0.81,0.835,0.5025,0.515,0.9944065075201927,0.9957082495161348,0.5,1,24,16
14,0.84,0.8075,0.8075,0.84,0.5025,0.52,0.9942477907461175,0.9956673211412437,0.5,1,24,17
15,0.84,0.81,0.8125,0.84,0.5025,0.51,0.9942477023587948,0.9951089178464142,0.5,1,24,18
16,0.8425,0.815,0.815,0.8425,0.5025,0.5125,0.9942335175018666,0.9951731637101822,0.5,1,24,19
17,0.83,0.8375,0.8325,0.83,0.5025,0.505,0.9942834642021634,0.9949952680509936,0.5,1,24,20
18,0.8325,0.83,0.83,0.8325,0.5025,0.505,0.9936867868169716,0.9948540484214927,0.5,1,24,21
19,0.835,0.8225,0.825,0.835,0.5025,0.505,0.9937302181264756,0.9948291768444949,0.5,1,24,22
20,0.8325,0.835,0.835,0.8325,0.5025,0.505,0.9927685177156096,0.9938675677353725,0.5,1,24,23
21,0.8325,0.825,0.8275,0.8325,0.5025,0.505,0.9926325354676401,0.9940419093651351,0.5,1,24,24
22,0.835,0.8175,0.8175,0.835,0.5025,0.505,0.9922274843301976,0.9942395086258001,0.5,1,24,25
23,0.835,0.8175,0.8225,0.835,0.5025,0.505,0.9915640771217524,0.9935385183260882,0.5,1,24,26
24,0.8325,0.82,0.825,0.8325,0.5025,0.505,0.9917629109723494,0.9935662176688127,0.5,1,24,27
25,0.8375,0.82,0.8175,0.8375,0.5025,0.51,0.991701889704854,0.9937653332745008,0.5,1,24,28
26,0.8175,0.81,0.8075,0.82,0.5025,0.525,0.9918830668763248,0.9938795739027357,0.5,1,24,29
27,0.815,0.8025,0.805,0.815,0.5025,0.5225,0.991890381264269,0.9938888618687307,0.5,1,24,30
28,0.815,0.8125,0.8125,0.815,0.5025,0.51,0.9921587170815245,0.9939272006690197,0.5,1,24,31
29,0.82,0.8175,0.8175,0.82,0.5025,0.51,0.9921640763009135,0.9939396102685938,0.5,1,24,32
30,0.8325,0.8175,0.8175,0.8325,0.5025,0.505,0.9916846065172238,0.9936825757092852,0.5,1,24,33
31,0.8375,0.82,0.82,0.8375,0.5025,0.51,0.9915544039300072,0.9935698897416176,0.5,1,24,34
32,0.8425,0.8175,0.82,0.845,0.5025,0.505,0.9915292706923503,0.9937280150807704,0.5,1,24,35
33,0.8425,0.82,0.82,0.8425,0.5025,0.505,0.9916888531248336,0.9937633238457675,0.5,1,24,36
34,0.845,0.8225,0.82,0.845,0.5025,0.5075,0.9916858534837548,0.9939462189691642,0.5,1,24,37
35,0.845,0.8225,0.8225,0.845,0.5025,0.5075,0.9918107923094112,0.9939167322387638,0.5,1,24,38
36,0.835,0.82,0.82,0.835,0.5025,0.505,0.9919093809876716,0.993805999800018,0.5,1,24,39
37,0.845,0.8225,0.8225,0.845,0.5025,0.5225,0.991419861659713,0.993622466060304,0.5,1,24,40
38,0.8425,0.82,0.8225,0.8425,0.5025,0.5225,0.9914009154688963,0.9937224833607214,0.5,1,24,41
39,0.84,0.82,0.8225,0.84,0.5025,0.5225,0.991223531220274,0.9938469143363519,0.5,1,24,42
40,0.84,0.8175,0.8175,0.84,0.5025,0.54,0.9909767606513462,0.9936759327348208,0.5,1,24,43
41,0.8375,0.8225,0.8225,0.835,0.5025,0.5225,0.9909270157517786,0.9936081822896107,0.5,1,24,44
42,0.84,0.82,0.82,0.8375,0.5025,0.52,0.9912437390459286,0.9936552748833465,0.5,1,24,45
43,0.835,0.82,0.82,0.835,0.5025,0.515,0.9909722981423181,0.9937028380006695,0.5,1,24,46
44,0.8375,0.82,0.82,0.835,0.5025,0.5125,0.9919020339111682,0.9937576286501804,0.5,1,24,47
45,0.835,0.82,0.8225,0.835,0.5025,0.5125,0.9918811682984032,0.9939984109842382,0.5,1,24,48
46,0.84,0.82,0.82,0.8375,0.5025,0.5125,0.9919327914806111,0.9938355946804396,0.5,1,24,49
47,0.8425,0.8175,0.8175,0.8425,0.5025,0.5125,0.9920995861136047,0.9938769235461095,0.5,1,24,50
48,0.84,0.82,0.82,0.84,0.5025,0.5125,0.9921736814250915,0.9939700883790928,0.5,1,24,51
49,0.84,0.82,0.82,0.8375,0.5025,0.52,0.9918005562778469,0.9938336646023801,0.5,1,24,52
