,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.755,0.525,0.55,0.75,0.695,0.6925,0.8493265993265994,0.9917767417767417,0.5,0,64,3
1,0.75,0.5475,0.5525,0.7475,0.695,0.6725,0.8891441891441889,0.9919038873584328,0.5,0,64,4
2,0.7325,0.63,0.6225,0.7325,0.655,0.6725,0.922789777067852,0.9903198653198654,0.5,0,64,5
3,0.74,0.5925,0.585,0.74,0.695,0.6825,0.9412733930477442,0.9904440366396888,0.5,0,64,6
4,0.7425,0.63,0.625,0.745,0.6675,0.61,0.9545822915261382,0.9849232042499215,0.5,0,64,7
5,0.7725,0.6375,0.6425,0.76,0.6675,0.6575,0.9703054380551761,0.9722672591510713,0.5,0,64,8
6,0.77,0.6975,0.7025,0.77,0.655,0.65,0.9700508496755662,0.972068737523508,0.5,0,64,9
7,0.7625,0.695,0.705,0.77,0.655,0.6625,0.9628663019002547,0.9666067125397125,0.5,0,64,10
8,0.76,0.675,0.6875,0.7625,0.655,0.66,0.9649477696863318,0.965973532126097,0.5,0,64,11
9,0.76,0.7525,0.7525,0.755,0.645,0.6525,0.9718667704198916,0.9697248757322582,0.5,0,64,12
10,0.765,0.765,0.765,0.76,0.64,0.64,0.9701530818826773,0.9673863433396224,0.5,0,64,13
11,0.765,0.76,0.76,0.7625,0.6375,0.64,0.9676070983025223,0.9655841100335157,0.5,0,64,14
12,0.7575,0.765,0.7625,0.755,0.6375,0.64,0.9703316304069064,0.9670417933085576,0.5,0,64,15
13,0.765,0.7625,0.7625,0.7625,0.6375,0.64,0.9684691748738051,0.9687356737776917,0.5,0,64,16
14,0.765,0.77,0.77,0.7625,0.6425,0.6475,0.9673598183934674,0.9670085910546812,0.5,0,64,17
15,0.76,0.75,0.7525,0.7575,0.6425,0.6675,0.9656499297193474,0.9663833737988448,0.5,0,64,18
16,0.7625,0.75,0.7525,0.76,0.6475,0.665,0.9659964930617898,0.9681652075568882,0.5,0,64,19
17,0.7625,0.75,0.745,0.76,0.6475,0.6725,0.9676065154194676,0.9693412798370722,0.5,0,64,20
18,0.76,0.7475,0.7475,0.76,0.6475,0.665,0.967464455002187,0.9705442396242784,0.5,0,64,21
19,0.75,0.745,0.75,0.75,0.6525,0.675,0.9671810647947866,0.9698260542174884,0.5,0,64,22
20,0.7475,0.745,0.745,0.7475,0.6525,0.6725,0.9671884846074643,0.971184077741196,0.5,0,64,23
21,0.745,0.74,0.74,0.745,0.655,0.6675,0.9684531933078684,0.9713211032754737,0.5,0,64,24
22,0.745,0.7425,0.7425,0.7475,0.6575,0.6675,0.9694411362451726,0.9720248420520053,0.5,0,64,25
23,0.7475,0.74,0.74,0.7475,0.655,0.67,0.9695229132988379,0.9720342198486568,0.5,0,64,26
24,0.7475,0.745,0.7425,0.7475,0.65,0.6625,0.969826449767794,0.9705948195086717,0.5,0,64,27
25,0.75,0.745,0.7425,0.7475,0.65,0.6625,0.968645190348223,0.9702036210303087,0.5,0,64,28
26,0.7475,0.7475,0.7475,0.7475,0.6525,0.6575,0.9674683480598792,0.9694568602267986,0.5,0,64,29
27,0.7525,0.7575,0.755,0.755,0.6475,0.6575,0.9668220456563675,0.9689745351266332,0.5,0,64,30
28,0.76,0.755,0.7575,0.7575,0.6475,0.655,0.9678020588769997,0.9688478682720706,0.5,0,64,31
29,0.7625,0.755,0.755,0.76,0.6475,0.6475,0.9668153222940096,0.966727615188056,0.5,0,64,32
30,0.75,0.75,0.745,0.75,0.65,0.6525,0.9679535385147631,0.9673476143687749,0.5,0,64,33
31,0.7475,0.7525,0.7525,0.7475,0.655,0.655,0.9689475139523427,0.9673890637499749,0.5,0,64,34
32,0.7475,0.7525,0.75,0.7475,0.655,0.655,0.9690091791048803,0.967631514306799,0.5,0,64,35
33,0.75,0.7475,0.75,0.7475,0.655,0.655,0.9691424069001107,0.9679956545269355,0.5,0,64,36
34,0.7525,0.7475,0.7475,0.7525,0.655,0.655,0.9692741757664963,0.9680101737494538,0.5,0,64,37
35,0.7475,0.7475,0.75,0.7475,0.6525,0.6625,0.9701462701426894,0.9691985757920153,0.5,0,64,38
36,0.7525,0.7525,0.7525,0.7525,0.655,0.655,0.9694718014106346,0.9696646565085397,0.5,0,64,39
37,0.7475,0.7475,0.75,0.7475,0.6525,0.6625,0.9700704958741246,0.9695971413745735,0.5,0,64,40
38,0.7475,0.7525,0.75,0.7475,0.6525,0.6575,0.9695820091351723,0.9686988882625774,0.5,0,64,41
39,0.75,0.7475,0.745,0.7475,0.655,0.6575,0.970516425036781,0.969181859901161,0.5,0,64,42
40,0.7525,0.75,0.75,0.7525,0.65,0.655,0.9704094140891057,0.9691977960967091,0.5,0,64,43
41,0.745,0.7525,0.75,0.745,0.655,0.655,0.9706847108847433,0.969666141499364,0.5,0,64,44
42,0.75,0.7525,0.75,0.7525,0.655,0.6575,0.9713564321009173,0.9702857801554955,0.5,0,64,45
43,0.7475,0.755,0.75,0.7475,0.655,0.655,0.9714562992640622,0.9699793714589486,0.5,0,64,46
44,0.7525,0.755,0.75,0.7525,0.655,0.6575,0.9713909001992341,0.969807892236225,0.5,0,64,47
45,0.755,0.7525,0.7525,0.7525,0.6575,0.6575,0.971466488988831,0.97002023684682,0.5,0,64,48
46,0.7525,0.7525,0.7525,0.7525,0.66,0.6575,0.9717662393852311,0.9706071182659017,0.5,0,64,49
47,0.7575,0.75,0.755,0.755,0.6675,0.6575,0.9715550359286477,0.9704662819135377,0.5,0,64,50
48,0.7525,0.755,0.7525,0.755,0.66,0.6575,0.971831269085285,0.9706802994884879,0.5,0,64,51
49,0.7525,0.7525,0.7525,0.7525,0.6575,0.655,0.9722510446138627,0.970822678045868,0.5,0,64,52
