,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.415,0.485,0.46,0.415,0.465,0.465,0.8866442199775535,0.9793909793909794,0.5,6,69,3
1,0.4975,0.4475,0.445,0.505,0.4675,0.565,0.9810161779858748,0.9836766553408232,0.5,6,69,4
2,0.5025,0.4775,0.4775,0.5125,0.47,0.5775,0.984881784881785,0.9838621015295883,0.5,6,69,5
3,0.595,0.565,0.56,0.59,0.48,0.48,0.9842337601846985,0.9759943801598742,0.5,6,69,6
4,0.6275,0.5425,0.5425,0.63,0.4825,0.4475,0.9802312325097724,0.977178694736693,0.5,6,69,7
5,0.5975,0.53,0.5325,0.6,0.485,0.4425,0.9831398414187675,0.9767750637926077,0.5,6,69,8
6,0.555,0.5325,0.53,0.55,0.48,0.4525,0.9828059446540858,0.9768584266800083,0.5,6,69,9
7,0.5425,0.5325,0.535,0.535,0.48,0.45,0.9851929038990198,0.9789599124053336,0.5,6,69,10
8,0.585,0.56,0.5625,0.585,0.4825,0.4525,0.9843260819053945,0.979164552666944,0.5,6,69,11
9,0.6075,0.5525,0.555,0.605,0.4875,0.475,0.9835304666821966,0.9796244284612398,0.5,6,69,12
10,0.625,0.5475,0.55,0.625,0.49,0.4675,0.9847221658925918,0.9802289357131027,0.5,6,69,13
11,0.62,0.5725,0.5725,0.6175,0.5275,0.495,0.9826733151467746,0.9804534983204607,0.5,6,69,14
12,0.635,0.58,0.58,0.63,0.545,0.5125,0.9839730569886677,0.9831397200497123,0.5,6,69,15
13,0.63,0.615,0.6175,0.63,0.6,0.5075,0.9814665839327583,0.9821536794230961,0.5,6,69,16
14,0.6275,0.625,0.6275,0.625,0.6225,0.5225,0.9815604909874565,0.9816773464909614,0.5,6,69,17
15,0.625,0.6425,0.645,0.625,0.6225,0.5975,0.9818908312558947,0.9812040196593502,0.5,6,69,18
16,0.6325,0.635,0.635,0.6325,0.605,0.5625,0.9833000222414385,0.9806249226614261,0.5,6,69,19
