,person,subset,# shots,Feature Set,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,AccLDAMulti,AccLDAProp,tCLPropL,AccLDALiu,AccLDAPropQ,AccClLDAInd,AccClLDAProp,AccClLDAPropQ,AccClLDALiu,tPropL,tIndL,tGenL,wTargetMeanLDAm,wTargetCovLDAm,AccQDAInd,AccQDAMulti,AccQDAProp,tCLPropQ,AccQDALiu,AccQDAPropL,AccClQDAInd,AccClQDAProp,AccClQDAPropL,AccClQDALiu,tPropQ,tIndQ,tGenQ,wTargetMeanQDAm,wTargetCovQDAm,AccSVMInd,AccKNNInd,AccClSVMInd,AccClKNNInd
0,39,"(1,)",1,3,[0.79577262 1.         0.71477736 0.86768004 0.52156217],[0.54461133 0.51883795 0.56179987 0.541417   0.51062718],[1.         1.         0.90314937 1.         0.64839266],[0.5        1.         0.5        0.5        0.23191577],0.6286151491966335,0.4899770466717674,0.68814078041316,0.0009041164882692017,0.7167559296097934,0.6936495791889824,0.856,0.936,0.928,0.912,40.72645282745361,0.0034847259521484375,3.9235594272613525,0.7799584374533075,0.5354586685987472,0.5058913542463658,0.46717674062739095,0.495026778882938,0.0012736750634097834,0.6908951798010712,0.6826319816373374,0.304,0.744,0.88,0.912,34.11898851394653,0.017121315002441406,2.0017154216766357,0.9103084058710408,0.5463831538532503,0.6006120887528692,0.6241775057383321,0.76,0.84
1,39,"(1, 2)",2,3,[0.76905536 0.88481734 0.91500522 0.93286655 0.84855595],[0.65766406 0.61489033 0.6285926  0.62026186 0.64885048],[0.71464504 0.77727895 0.67413664 0.84254749 0.64960709],[0.56017947 0.56265574 0.56838762 0.56935153 0.56302419],0.6480489671002295,0.4921193573068095,0.7205814843152257,0.000900700699763163,0.7032899770466717,0.7409334353481255,0.88,0.936,0.952,0.904,26.597344636917114,0.002724885940551758,3.89727783203125,0.8700600850679979,0.6340518649833966,0.734353481254782,0.468247895944912,0.7315990818668707,0.001278906080133603,0.7063504208110176,0.730680948737567,0.952,0.944,0.928,0.928,37.45272707939148,0.032430410385131836,1.9599158763885498,0.7316430420342683,0.5647197104213635,0.6174445294567712,0.6988523335883703,0.88,0.92
2,39,"(1, 2, 3)",3,3,[0.89359945 0.80232928 0.89390834 0.95716099 0.85141409],[0.64108124 0.61310325 0.6596772  0.64086667 0.64707311],[0.77246171 0.73750109 0.7165753  0.85584394 0.73443106],[0.60476456 0.60723723 0.61701605 0.63618779 0.61125894],0.7583779648048967,0.495026778882938,0.7491966335118592,0.0008999805552592784,0.7239479724560062,0.7496557000765111,0.968,0.944,0.96,0.92,25.128725051879883,0.0030891895294189453,4.161037445068359,0.8796824312362063,0.6403602940218213,0.7807192042846213,0.4703902065799541,0.7458301453710788,0.0012719602373235538,0.7227237949502678,0.752257077276205,0.944,0.928,0.936,0.92,35.39140486717224,0.0024034976959228516,2.2244725227355957,0.7633626178337536,0.6152929150827434,0.7120122417750574,0.7368018362662586,0.904,0.936
3,39,"(1, 2, 3, 4)",4,3,[0.92144305 0.83306878 0.87808814 0.93619447 0.8824075 ],[0.67429603 0.65653221 0.69906429 0.72361005 0.67773526],[0.81303201 0.79944803 0.72295571 0.8641553  0.74730004],[0.64833427 0.64966957 0.6674371  0.7063161  0.67189027],0.7830145371078806,0.49701606732976283,0.7719969395562356,0.0009061671799161367,0.7387911247130834,0.7727620504973222,0.992,0.952,0.984,0.92,25.617069244384766,0.003873586654663086,3.802347421646118,0.8902403875003959,0.6862475679836075,0.7808722264728386,0.4723794950267789,0.7657230298393267,0.0012747019232915574,0.7352716143840857,0.7712318286151492,0.936,0.936,0.928,0.928,36.37070035934448,0.0027370452880859375,2.0055906772613525,0.7893782165736091,0.6687294613345369,0.7283856159143076,0.7375669472073451,0.936,0.936
4,39,"(1, 2, 3, 4, 5)",5,3,[0.95084785 0.86309484 0.95196768 0.97734175 0.90137772],[0.70934076 0.68630077 0.73403887 0.75319468 0.71890117],[0.84053965 0.84529443 0.77502632 0.85200467 0.75339279],[0.69664494 0.68552249 0.70841981 0.76034203 0.70000651],0.7684774292272379,0.49885233358837033,0.7707727620504973,0.0009018112524101182,0.7467482785003825,0.7756694720734506,0.968,0.952,0.968,0.92,27.118674755096436,0.004677534103393555,3.8849639892578125,0.9289259672527009,0.7203552495733586,0.7605202754399388,0.4737566947207345,0.7663351185921958,0.001278332854010444,0.7349655700076511,0.7741392501912777,0.904,0.92,0.92,0.928,38.16234850883484,0.0030336380004882812,2.1773407459259033,0.8132515700098539,0.7101871556804167,0.734353481254782,0.7496557000765111,0.944,0.936
5,39,"(1, 2, 3, 4, 5, 6)",6,3,[0.94109851 0.85331869 0.93296224 0.96962985 0.87646512],[0.69933549 0.72074029 0.71635542 0.74584593 0.69870636],[0.84817012 0.82177444 0.79588441 0.83990668 0.77435011],[0.71790416 0.71240337 0.7484176  0.79101073 0.70833613],0.7729150726855394,0.5011476664116297,0.768018362662586,0.0009020673654055723,0.7473603672532517,0.7721499617444529,0.96,0.952,0.968,0.944,26.4819815158844,0.02595686912536621,3.8054723739624023,0.914694878882304,0.7161966956819302,0.7791889824024484,0.4752869166029074,0.7724560061208875,0.0012716846422284455,0.7371078806426932,0.7744452945677123,0.92,0.96,0.944,0.912,37.41519045829773,0.003489971160888672,2.033569812774658,0.8160171525291341,0.7356143983339263,0.7345065034429993,0.7553175210405508,0.912,0.928
6,39,"(1, 2, 3, 4, 5, 6, 7)",7,3,[0.98160731 0.83497159 0.94515418 1.         0.86118202],[0.72706448 0.71973424 0.73057835 0.763594   0.75419291],[0.93633205 0.86659283 0.80460251 0.87744791 0.86815231],[0.73686897 0.7487797  0.75850526 0.83927745 0.76354773],0.7773527161438408,0.5026778882938026,0.7571537872991584,0.00044404119595189815,0.7355776587605203,0.7677123182861515,0.968,0.96,0.968,0.928,13.280443668365479,0.0066144466400146484,1.8963170051574707,0.9245830210435295,0.7390327957708775,0.7825554705432287,0.4765110941086457,0.7695485845447589,0.0006246349696631457,0.7253251721499617,0.7726090283091048,0.92,0.96,0.944,0.928,18.721862316131592,0.0036149024963378906,0.9556429386138916,0.870625522397815,0.7693958206173593,0.7487375669472074,0.7565416985462892,0.936,0.928
7,39,"(1, 2, 3, 4, 5, 6, 7, 8)",8,3,[0.9248535  0.95136202 0.97066907 0.95469355 0.92209193],[0.7576591  0.74962917 0.78158823 0.78001624 0.80517906],[0.91452034 0.81699504 0.89008998 0.88091765 0.87717416],[0.7750811  0.76222869 0.82659545 0.84010906 0.8075744 ],0.7787299158377965,0.5039020657995409,0.7667941851568477,0.0009059952339691886,0.7363427697016067,0.7689364957918898,0.952,0.952,0.936,0.92,26.95868968963623,0.027353525161743164,3.7563652992248535,0.9447340145343173,0.7748143607912885,0.7895944912012242,0.4774292272379495,0.7796480489671003,0.0012749413634039742,0.7355776587605203,0.7842387146136189,0.928,0.944,0.944,0.928,38.16411375999451,0.0039157867431640625,1.9325926303863525,0.8759394336299866,0.8023177423581765,0.7646518745218056,0.7695485845447589,0.928,0.944
8,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,3,[0.95975745 0.95646331 0.9616171  0.96437978 0.95228916],[0.77560996 0.78810183 0.7977975  0.81081356 0.81432585],[0.91319795 0.88236567 0.84999198 0.90570199 0.82208938],[0.78943776 0.7959648  0.82420892 0.88880605 0.79332558],0.7845447589900536,0.5063504208110176,0.7759755164498853,0.0009070555490670354,0.7452180566182096,0.77796480489671,0.952,0.952,0.968,0.912,26.980783224105835,0.028328418731689453,3.817274332046509,0.9589013610715578,0.7973297408005101,0.7952563121652639,0.4783473603672532,0.7868400918133129,0.0012748218440060955,0.7439938791124713,0.7923488905891354,0.936,0.952,0.944,0.92,38.29489016532898,0.004141569137573242,2.490696907043457,0.8746693929756187,0.8183486211221813,0.7759755164498853,0.7710788064269319,0.96,0.96
9,39,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,3,[0.9645459  0.89162843 0.97637946 0.98168311 0.94832252],[0.78985001 0.7792367  0.81370966 0.80884985 0.81616175],[0.92818193 0.89322142 0.87644855 0.93956816 0.87082419],[0.80951195 0.81203543 0.82400084 0.91272244 0.83345375],0.7868400918133129,0.5101759755164499,0.7775057383320582,0.0009115526305872152,0.7496557000765111,0.7810252486610558,0.976,0.968,0.976,0.928,27.74294114112854,0.009281635284423828,4.3236730098724365,0.9525118841250169,0.8015615956977327,0.8022953328232594,0.4801836266258607,0.7929609793420046,0.001271007438607132,0.7441469013006886,0.7957153787299158,0.952,0.944,0.952,0.92,39.334752321243286,0.02476024627685547,2.4378836154937744,0.9016488495833714,0.8383448806041225,0.7920428462127008,0.7840856924254017,0.968,0.968
