,person,subset,# shots,Feature Set,wLDA,wQDA,AccLDAInd,AccLDAGen,AccLDAProp,AccLDALiu,AccLDAPropQ,tPropL,tIndL,tGenL,wMeanLDA,AccQDAInd,AccQDAGen,AccQDAProp,AccQDALiu,AccQDAPropL,tPropQ,tIndQ,tGenQ,wMeanQDA
0,33,"(1,)",1,1,"[0.5        0.87902098 0.84163423 0.89920748 0.58025148 0.80847972
 0.94390582]","[0.64439218 0.5768246  0.62715555 0.58049536 0.50071124 0.50225923
 0.81830652]",0.9332893621030811,0.8209742768303024,0.9419579760670875,0.9464807311787431,0.9457269386601338,4.948429346084595,0.04510164260864258,0.6022882461547852,0.7789285302066807,0.7477621784603787,0.7829077546405352,0.9244323000094224,0.950626590031094,0.8774144916611702,14.969578504562378,0.0012383460998535156,0.1486973762512207,0.6071635241368722
1,33,"(2,)",1,1,"[0.5        0.79849624 0.77733341 0.67269281 0.60238999 0.56893559
 0.89190283]","[0.71627007 0.60527758 0.65039475 0.7495965  0.53383817 0.58036984
 0.61725558]",0.8973899934043155,0.8218222934137379,0.9076604164703665,0.9007820597380571,0.9104871384151513,12.983261585235596,0.002498149871826172,0.9903061389923096,0.6873929807563076,0.8860831056251767,0.7868651653632338,0.9532648638462263,0.9448789220766984,0.8942805992650523,21.43268060684204,0.0011029243469238281,0.26479530334472656,0.6361432129068036
2,33,"(3,)",1,1,"[0.52631579 0.69973887 0.86334904 0.9106389  0.56859302 0.91949744
 0.93927126]","[0.55560204 0.62067381 0.68208702 0.87719621 0.50284495 0.59884685
 0.89757611]",0.9093564496372374,0.8230472062564779,0.9289550551210779,0.9420522001319137,0.9412984076133044,15.122941732406616,0.026945114135742188,0.24869465827941895,0.7753434729527087,0.6735136153773674,0.7849806840667106,0.8571563177235466,0.9201922170922454,0.7228870253462735,31.70489811897278,0.0011944770812988281,0.06431746482849121,0.6764038551661633
3,33,"(4,)",1,1,"[0.4987163  0.78995315 0.82671452 0.84200938 0.78821063 0.87238671
 0.97368421]","[0.65372684 0.59149798 0.64618097 0.81470963 0.77325774 0.79150695
 0.89875452]",0.6549514746066145,0.8173937623669085,0.6771883539055875,0.7862055969094507,0.6998021294638651,7.035041332244873,0.004265785217285156,0.09070205688476562,0.7988107020076286,0.6331857156317724,0.7800810326957505,0.7444643361914633,0.7892207669838877,0.7504946763403373,22.481717586517334,0.001207590103149414,0.023566484451293945,0.738519233283078
4,33,"(1, 2)",2,1,"[0.51781551 0.80669136 0.68045128 0.75816198 0.61511687 0.59699125
 0.88133681]","[0.7765585  0.62348098 0.66578827 0.77842845 0.53835662 0.58768261
 0.76287407]",0.9263167813059455,0.8306793555073966,0.936210308112692,0.9249034203335532,0.9327240177141242,7.732379913330078,0.10390186309814453,0.7784726619720459,0.6937950079802209,0.8773202675963441,0.7993027419202864,0.9455384905304814,0.9502496937717894,0.9304626401582964,17.61331009864807,0.0014688968658447266,0.18393516540527344,0.6761670714461785
5,33,"(1, 3)",2,1,"[0.52815177 0.79486971 0.80104579 0.93792496 0.57176831 0.84273102
 0.95112782]","[0.63160733 0.60935783 0.64156027 0.86062068 0.51111777 0.53382524
 0.8676106 ]",0.9626872703288419,0.8307735795722228,0.9693771789314991,0.9521341750683124,0.9550551210779233,3.44909405708313,0.003388643264770508,0.16959595680236816,0.7753741968793108,0.8077829077546406,0.799020069725808,0.9465749552435692,0.957222274568925,0.8990860265711863,17.91973042488098,0.0013947486877441406,0.06294631958007812,0.6650999591015916
6,33,"(1, 4)",2,1,"[0.53537754 0.85305626 0.81699313 0.87569711 0.68442429 0.88976138
 0.94380638]","[0.73306632 0.5931635  0.67361739 0.79696282 0.73119421 0.67745487
 0.96578947]",0.8160746254593423,0.8257797041364364,0.8797700932818242,0.9177423914067653,0.8928672382926599,11.930696249008179,0.04617929458618164,0.8207628726959229,0.7998737271471563,0.7247715066427965,0.794214642419674,0.8325638368039198,0.8974842174691416,0.8385941769527937,33.929757833480835,0.001466989517211914,0.20357990264892578,0.7387497972873319
7,33,"(2, 3)",2,1,"[0.54230115 0.7348137  0.63846686 0.7462431  0.57407258 0.63707532
 0.90048355]","[0.68240001 0.63605542 0.6930778  0.8242731  0.53823111 0.61721195
 0.87887195]",0.9441251295580891,0.8318100442853105,0.9538302082351833,0.9417695279374352,0.945255818336003,13.876169919967651,0.003362417221069336,0.19049906730651855,0.6819223245683169,0.8720437199660793,0.8021294638650711,0.9251860925280316,0.9484594365400923,0.9164232544991991,14.742265462875366,0.0013737678527832031,0.0428006649017334,0.6957316201077506
8,33,"(2, 4)",2,1,"[0.5        0.80272516 0.81550658 0.75556108 0.7312479  0.8531595
 0.92522571]","[0.71232921 0.64262501 0.73626075 0.8243056  0.76930519 0.79156006
 0.9653358 ]",0.7854518043908414,0.8268161688495241,0.8272872891736549,0.8597003674738528,0.8400075379251861,16.637738704681396,0.003477811813354492,0.2702445983886719,0.7690608482102279,0.7022519551493451,0.796570244040328,0.8169226420427778,0.8854235371713935,0.8152266088759069,22.092882871627808,0.0014314651489257812,0.0632627010345459,0.7773888032909761
9,33,"(3, 4)",2,1,"[0.51756204 0.81480811 0.79259073 0.88456111 0.65563071 0.86050969
 0.93445197]","[0.6490828  0.60665239 0.66730939 0.84153048 0.77374807 0.73032286
 0.95465587]",0.8140016960331669,0.8271930651088288,0.8402902101196645,0.9143503250730236,0.8529162348063696,15.46281623840332,0.0035097599029541016,0.19301342964172363,0.7800163368637129,0.7969471402996325,0.7978893809478941,0.8384999528879676,0.873080184679167,0.8284179779515688,25.67121458053589,0.0014796257019042969,0.04450416564941406,0.7461859795605864
