,person,subset,# shots,Feature Set,wLDA,wQDA,AccLDAInd,AccLDAGen,AccLDAProp,AccLDALiu,AccLDAPropQ,tPropL,tIndL,tGenL,wMeanLDA,AccQDAInd,AccQDAGen,AccQDAProp,AccQDALiu,AccQDAPropL,tPropQ,tIndQ,tGenQ,wMeanQDA
0,32,"(1,)",1,3,[0.67824366 0.69984811 0.57822077 0.6937146  0.69683743],[0.5 0.5 0.5 0.5 0.5],0.9301333333333334,0.7954666666666667,0.9146666666666666,0.9032,0.9034666666666666,25.684115409851074,0.022542953491210938,2.1724495887756348,0.6693729144788363,0.8325333333333333,0.8194666666666667,0.9336,0.9386666666666666,0.9445333333333333,29.77481174468994,0.001322031021118164,0.9209530353546143,0.5
1,32,"(2,)",1,3,[0.7479591  0.72684104 0.60475783 0.79310783 0.74799392],[0.5 0.5 0.5 0.5 0.5],0.8549333333333333,0.7954666666666667,0.9266666666666666,0.9205333333333333,0.9256,19.06826162338257,0.001291036605834961,2.2825188636779785,0.7241319447547115,0.7626666666666667,0.8210666666666666,0.9192,0.9189333333333334,0.928,33.757179975509644,0.0012433528900146484,0.843421459197998,0.5
2,32,"(3,)",1,3,[0.74929867 0.72030017 0.521979   0.75391921 0.65199881],[0.5 0.5 0.5 0.5 0.5],0.7474666666666666,0.7952,0.8322666666666667,0.9037333333333334,0.9061333333333333,25.50049114227295,0.0012006759643554688,3.41182017326355,0.6794991739129614,0.7656,0.8205333333333333,0.8909333333333334,0.8962666666666667,0.912,50.579596281051636,0.0012142658233642578,1.2073462009429932,0.5
3,32,"(4,)",1,3,[0.53745046 0.5932559  0.68860057 0.62548728 0.95915305],[0.5 0.5 0.5 0.5 0.5],0.7325333333333334,0.7944,0.7576,0.7464,0.7488,23.642364501953125,0.0012078285217285156,7.394699811935425,0.6807894495969491,0.7290666666666666,0.8194666666666667,0.7789333333333334,0.7789333333333334,0.7682666666666667,84.79587388038635,0.001196146011352539,2.606908082962036,0.5
4,32,"(5,)",1,3,[0.58313512 0.69537985 0.62343591 0.85023037 0.85374936],[0.5 0.5 0.5 0.5 0.5],0.8810666666666667,0.7949333333333334,0.9056,0.9002666666666667,0.9037333333333334,60.09201669692993,0.0012793540954589844,9.037559032440186,0.7211861203397887,0.8466666666666667,0.8205333333333333,0.9144,0.9146666666666666,0.8362666666666667,124.87866973876953,0.0012469291687011719,3.5063836574554443,0.5
5,32,"(6,)",1,3,[0.94490192 0.61605861 0.66660837 0.81267547 0.82365781],[0.5 0.5 0.5 0.5 0.5],0.6690666666666667,0.7949333333333334,0.7189333333333333,0.8538666666666667,0.8597333333333333,93.2285258769989,0.001383066177368164,8.96669340133667,0.7727804370775584,0.7573333333333333,0.8192,0.8842666666666666,0.8856,0.7208,144.39707732200623,0.001291036605834961,3.5246078968048096,0.5
6,32,"(7,)",1,3,[0.67166899 0.62933524 0.54272675 0.63006298 0.70332487],[0.5        0.5        0.50022904 0.5        0.5       ],0.9130666666666667,0.7952,0.9186666666666666,0.9170666666666667,0.9154666666666667,81.78580236434937,0.0013051033020019531,9.108823776245117,0.6354237675393732,0.7584,0.8202666666666667,0.9272,0.9269333333333334,0.9162666666666667,144.42360043525696,0.0012617111206054688,3.5286221504211426,0.5000458085203848
7,32,"(8,)",1,3,[0.60651169 0.67284154 0.65207441 0.90005699 0.95312451],[0.5 0.5 0.5 0.5 0.5],0.8322666666666667,0.7952,0.8778666666666667,0.8930666666666667,0.8938666666666667,80.6570520401001,0.2514667510986328,14.24099612236023,0.7569218272643312,0.7432,0.8202666666666667,0.9162666666666667,0.9186666666666666,0.6968,190.59580516815186,0.0013933181762695312,5.252176761627197,0.5
8,32,"(9,)",1,3,[0.56929762 0.62752083 0.59183178 0.89410475 0.77289399],[0.5       0.5       0.5       0.5004985 0.5      ],0.9253333333333333,0.7952,0.9306666666666666,0.9168,0.9176,122.98184299468994,0.0013165473937988281,14.254690885543823,0.6911297944034668,0.836,0.8208,0.9344,0.9344,0.8549333333333333,224.0915458202362,0.0012621879577636719,5.499042987823486,0.5000997008973082
9,32,"(10,)",1,3,[0.58966605 0.61255616 0.6358363  0.77871436 0.6760819 ],[0.5        0.5        0.50082012 0.5        0.5       ],0.9186666666666666,0.7952,0.9349333333333333,0.9208,0.9202666666666667,126.12492251396179,0.0018281936645507812,15.064631700515747,0.6585709535720116,0.7906666666666666,0.8205333333333333,0.9354666666666667,0.9381333333333334,0.9362666666666667,232.88545894622803,0.0014355182647705078,5.464712858200073,0.5001640240568617
