,person,subset,# shots,Feature Set,wLDA,AccLDAInd,AccLDAGen,AccLDAProp,AccLDALiu,tPropL,tIndL,tGenL,wMeanLDA,AccQDAInd,AccQDAGen,tIndQ,tGenQ
0,10,"(1,)",1,1,"[0.9624183  1.         0.93258558 1.         1.         0.7359949
 1.         1.         1.         0.96296296 1.         1.
 1.         1.         0.97509579 1.         0.85014319 0.66447574]",0.5819407386603005,0.2382390113748069,0.5933857604269064,0.37340261199269764,54.39314842224121,0.004042625427246094,0.27923107147216797,0.9490931358084786,0.5170622103637129,0.30410054767588823,0.0026192665100097656,0.08106827735900879
1,10,"(2,)",1,1,"[0.97942387 1.         0.92697618 1.         1.         0.61351839
 1.         1.         0.97306397 1.         0.95156695 1.
 1.         1.         0.89315954 1.         0.90196078 0.66491029]",0.5444538526672311,0.23962743437764605,0.5683742591024555,0.4311318092012419,55.396864891052246,0.0032601356506347656,0.27236104011535645,0.9391433318383322,0.5943409539937906,0.31329381879762913,0.002487659454345703,0.05629730224609375
2,10,"(3,)",1,1,"[0.95766488 1.         0.92510696 1.         1.         0.63659292
 1.         0.94472868 1.         1.         0.97619048 1.
 0.84670791 1.         0.89108476 1.         0.875      0.66473458]",0.5910509885535901,0.2403052375997225,0.6071453347207769,0.4270551508844953,54.670915842056274,0.003314495086669922,0.30832481384277344,0.9287672872789376,0.5864724245577524,0.3159209157127992,0.0026564598083496094,0.08703827857971191
3,10,"(4,)",1,1,"[0.98239223 1.         0.92518695 1.         1.         0.70670671
 1.         1.         0.97979798 0.97496088 1.         1.
 0.88477366 1.         0.80625442 1.         0.86287233 0.67762556]",0.5914083136382594,0.23856527179202003,0.6016265813985819,0.4553732795773669,55.860102891922,0.0033321380615234375,0.3061373233795166,0.9333650396912044,0.5849436952592798,0.31315167523981646,0.0026197433471679688,0.08549189567565918
4,10,"(1, 2)",2,1,"[0.96618357 1.         0.93765381 1.         1.         0.66005641
 1.         1.         0.93997478 1.         1.         1.
 1.         1.         0.87974631 1.         0.88358586 0.66465344]",0.5802644422752684,0.24713816665187682,0.590114473333925,0.40172153695980123,57.22054409980774,0.005438804626464844,0.2705111503601074,0.9406585658806167,0.6595083858372527,0.3202591179341556,0.0031003952026367188,0.08056139945983887
5,10,"(1, 3)",2,1,"[1.         0.97916667 0.91615376 1.         1.         0.64784748
 1.         1.         1.         0.95959596 0.97297297 1.
 0.83569931 1.         0.86529685 1.         0.90781528 0.66280127]",0.6056289089645587,0.24687282835302293,0.6123175816539264,0.4108756080611536,56.80592632293701,0.005222797393798828,0.27475953102111816,0.9304083076883204,0.6507123002084781,0.31984016678248783,0.0030503273010253906,0.07693219184875488
6,10,"(1, 4)",2,1,"[1.         1.         0.92198506 1.         1.         0.62815132
 1.         1.         0.97496088 0.97363465 1.         1.
 0.91666667 1.         0.88461623 1.         0.79794207 0.66306762]",0.6219629016807454,0.2466254463119394,0.6357223722023861,0.429504484890708,56.94319725036621,0.005453586578369141,0.2870614528656006,0.931168027884482,0.7057389184011147,0.32064791430810763,0.0032150745391845703,0.08383727073669434
7,10,"(2, 3)",2,1,"[0.97704316 1.         0.91670288 1.         1.         0.62274206
 0.98165138 1.         0.93803419 0.96296296 0.93346536 1.
 0.86213003 1.         0.90505051 1.         0.91351241 0.66308708]",0.5782205908058032,0.24890753364796364,0.5932529278098234,0.43724873273903164,58.138022899627686,0.006198406219482422,0.29417943954467773,0.9264656678025764,0.6606362524034259,0.3320223737108897,0.02474808692932129,0.08206295967102051
8,10,"(2, 4)",2,1,"[0.96079213 1.         0.91440627 1.         1.         0.62006826
 1.         1.         0.89322397 1.         1.         1.
 0.94992175 1.         0.83208241 1.         0.85739307 0.67020107]",0.5927451152194866,0.24778761061946902,0.6065013581004118,0.4493998072373609,58.54296922683716,0.00533747673034668,0.2799513339996338,0.9276716072384272,0.6852711819854552,0.33120126171909225,0.003069162368774414,0.08117008209228516
9,10,"(3, 4)",2,1,"[0.98043818 1.         0.91770781 1.         1.         0.68929691
 1.         0.92843691 0.9708561  0.96296296 0.96774194 1.
 0.88888889 1.         0.81766933 1.         0.86773002 0.67043162]",0.6037234042553191,0.2480267673301304,0.6144474948524365,0.43659917638984214,56.6343309879303,0.005139589309692383,0.27597928047180176,0.9256755935468602,0.6679821551132464,0.33055936856554563,0.0030336380004882812,0.07689499855041504
10,10,"(1, 2, 3)",3,1,"[0.9429029  1.         0.91111111 0.97877653 1.         0.6438086
 1.         1.         1.         1.         1.         1.
 0.92270531 1.         0.92046572 1.         0.8613441  0.66157807]",0.6058086426982082,0.25799273919662724,0.6145918725846118,0.41374868251551705,57.14993906021118,0.027899742126464844,0.3029167652130127,0.935705130028409,0.7006675254713667,0.33657336924698444,0.0037479400634765625,0.08139705657958984
11,10,"(1, 2, 4)",3,1,"[0.97777778 1.         0.91666667 1.         1.         0.63417305
 1.         1.         0.97376543 0.96581197 1.         1.
 0.92592593 1.         0.86793504 1.         0.81213206 0.66692791]",0.6245593419506463,0.25757931844888365,0.6337250293772033,0.43254994124559343,58.62134647369385,0.00801706314086914,0.2912716865539551,0.9300619904451634,0.7202115158636898,0.3407755581668625,0.02430868148803711,0.07076883316040039
