,person,subset,# shots,Feature Set,wLDA,AccLDAInd,AccLDAGen,AccLDAProp,AccLDALiu,tPropL,tIndL,tGenL,wMeanLDA,AccQDAInd,AccQDAGen,tIndQ,tGenQ
0,5,"(1,)",1,1,[0.69110612 0.77813242 0.89062868 0.90823681 0.67357816],0.7413333333333333,0.8584,0.8394666666666667,0.8781333333333333,39.12136673927307,0.04148364067077637,1.4004733562469482,0.788336436653101,0.7197333333333333,0.7904,0.0008006095886230469,0.6504099369049072
1,5,"(2,)",1,1,[0.76617382 0.77664741 0.59538913 0.7011884  0.74564366],0.8413333333333334,0.8589333333333333,0.8410666666666666,0.8530666666666666,20.966273546218872,0.0018215179443359375,0.4370718002319336,0.7170084858132534,0.8538666666666667,0.7914666666666667,0.0007212162017822266,0.12146353721618652
2,5,"(3,)",1,1,[0.58340186 0.56084    0.6727777  0.87053172 0.68667067],0.8474666666666667,0.8589333333333333,0.9197333333333333,0.9197333333333333,10.821507930755615,0.03255271911621094,0.8421816825866699,0.6748443890860902,0.7421333333333333,0.7906666666666666,0.0007994174957275391,0.23889994621276855
3,5,"(4,)",1,1,[0.81779268 0.67191805 0.88823536 0.78204341 0.72407676],0.5976,0.8592,0.8672,0.9010666666666667,20.509934186935425,0.0009713172912597656,1.0471179485321045,0.7768132520925205,0.7573333333333333,0.7893333333333333,0.0006968975067138672,0.30158400535583496
4,5,"(5,)",1,1,[0.66664278 0.78972092 0.85207405 0.8794554  0.70479347],0.7581333333333333,0.8586666666666667,0.8522666666666666,0.8829333333333333,17.127124309539795,0.0014123916625976562,0.8382632732391357,0.778537322336415,0.8608,0.7901333333333334,0.0007255077362060547,0.24187994003295898
5,5,"(6,)",1,1,[0.64866782 0.55308816 0.83920208 0.73420906 0.72942976],0.8336,0.8586666666666667,0.8778666666666667,0.9112,20.48015308380127,0.0009083747863769531,0.9986667633056641,0.7009193771665446,0.8397333333333333,0.7912,0.04074406623840332,0.3417797088623047
6,5,"(7,)",1,1,[0.73413308 0.86292727 0.90796637 0.80866238 0.67758003],0.5517333333333333,0.8586666666666667,0.6426666666666667,0.7901333333333334,20.497904062271118,0.0009005069732666016,1.301663875579834,0.7982538247172425,0.7490666666666667,0.7901333333333334,0.0006618499755859375,0.4431631565093994
7,5,"(8,)",1,1,[0.58617326 0.6905886  0.71008752 0.81931472 0.6988435 ],0.8416,0.8586666666666667,0.9170666666666667,0.9176,12.22509217262268,0.0009307861328125,0.6556744575500488,0.7010015195544239,0.8848,0.7906666666666666,0.00067901611328125,0.1829826831817627
8,5,"(9,)",1,1,[0.67857805 0.85208863 0.67600833 0.71451958 0.6280133 ],0.8016,0.8586666666666667,0.8664,0.9008,12.352884531021118,0.0009698867797851562,0.6546006202697754,0.7098415794489825,0.8925333333333333,0.7893333333333333,0.0007193088531494141,0.1839137077331543
9,5,"(10,)",1,1,[0.73039622 0.73133109 0.98486257 0.89646288 0.6517982 ],0.7621333333333333,0.8592,0.8186666666666667,0.9125333333333333,12.223761320114136,0.021088361740112305,0.5995254516601562,0.7989701914393644,0.6922666666666667,0.7893333333333333,0.0007269382476806641,0.18112921714782715
10,5,"(11,)",1,1,[0.72974844 0.5276121  0.78630678 0.77654572 0.77712083],0.8389333333333333,0.8586666666666667,0.8904,0.9,20.537127256393433,0.0009267330169677734,1.0013368129730225,0.7194667742796315,0.7866666666666666,0.7906666666666666,0.0006830692291259766,0.29970335960388184
11,5,"(12,)",1,1,[0.86452802 0.60418638 0.62996005 0.82490812 0.64696445],0.8413333333333334,0.8584,0.8901333333333333,0.8845333333333333,20.908846855163574,0.0009341239929199219,1.1483938694000244,0.7141094013608926,0.6989333333333333,0.7893333333333333,0.0007297992706298828,0.34392738342285156
12,5,"(13,)",1,1,[0.73175455 0.70053656 0.58426819 0.80883435 0.61182106],0.8296,0.8592,0.9128,0.8877333333333334,20.387707710266113,0.0009179115295410156,0.9964818954467773,0.6874429426998911,0.8296,0.7901333333333334,0.0006761550903320312,0.2995452880859375
13,5,"(14,)",1,1,[0.60507857 0.80269314 0.79500295 0.79242223 0.60016029],0.7232,0.8589333333333333,0.7901333333333334,0.8269333333333333,22.05652666091919,0.00091552734375,1.0035855770111084,0.7190714330280261,0.8114666666666667,0.7896,0.040897369384765625,0.30530524253845215
