,person,subset,# shots,Feature Set,AccLDAInd,AccLDAGen,tIndL,tGenL,AccQDAInd,AccQDAGen,tIndQ,tGenQ
0,1,"(1,)",1,3,0.7685507634610234,0.5234395928207876,0.03258824348449707,1.2959437370300293,0.334315563889633,0.5507634610233056,0.006517887115478516,0.4607253074645996
1,1,"(2,)",1,3,0.7173854808465041,0.5231717117599786,0.0015034675598144531,1.3851091861724854,0.3059201714438789,0.5502276989016877,0.002006053924560547,0.5521905422210693
2,1,"(3,)",1,3,0.7615858558799893,0.5237074738815966,0.003007650375366211,1.3749232292175293,0.2986873828020359,0.5523707473881596,0.0030090808868408203,0.48077893257141113
3,1,"(4,)",1,3,0.7409590141976963,0.5242432360032145,0.003008127212524414,1.2870309352874756,0.3763728904366461,0.5526386284489686,0.0025064945220947266,0.4998290538787842
4,1,"(5,)",1,3,0.7926600589338334,0.5242432360032145,0.002005338668823242,1.4444200992584229,0.5496919367800697,0.5523707473881596,0.0015041828155517578,0.7504959106445312
5,1,"(6,)",1,3,0.6868470399142781,0.5237074738815966,0.003007173538208008,1.7064118385314941,0.48486472006429143,0.5499598178408787,0.003008127212524414,0.5439591407775879
6,1,"(7,)",1,3,0.7058665952317171,0.5237074738815966,0.0030078887939453125,1.3717291355133057,0.25796946155906775,0.5510313420841146,0.0025064945220947266,0.5464532375335693
7,1,"(8,)",1,3,0.6822930618805251,0.5237074738815966,0.0020051002502441406,1.3742671012878418,0.45512992231449234,0.5534422716313957,0.0020036697387695312,0.5143699645996094
8,1,"(9,)",1,3,0.7661398339137423,0.5237074738815966,0.0020055770874023438,1.515507459640503,0.38039110634878115,0.5515671042057326,0.0015034675598144531,0.5164213180541992
9,1,"(10,)",1,3,0.673185105813019,0.5231717117599786,0.0020046234130859375,1.3255815505981445,0.336994374497723,0.5502276989016877,0.0015039443969726562,0.4812808036804199
10,1,"(11,)",1,3,0.5504955799624967,0.5237074738815966,0.002006053924560547,1.3320643901824951,0.3613715510313421,0.5526386284489686,0.0025064945220947266,0.47977542877197266
11,1,"(12,)",1,3,0.6488079292793999,0.5237074738815966,0.003007650375366211,1.3961765766143799,0.2705598714170908,0.5518349852665416,0.0030069351196289062,0.5003719329833984
12,1,"(13,)",1,3,0.7969461559067774,0.5237074738815966,0.0020046234130859375,1.3271915912628174,0.34770961693008307,0.5504955799624967,0.002005338668823242,0.47727108001708984
13,1,"(14,)",1,3,0.8365925529065095,0.5239753549424055,0.003008127212524414,1.3171112537384033,0.38467720332172517,0.5529065095097777,0.002005338668823242,0.5073513984680176
14,1,"(15,)",1,3,0.6421109027591749,0.5231717117599786,0.0025064945220947266,1.3197498321533203,0.3736940798285561,0.5515671042057326,0.002005338668823242,0.49982738494873047
15,1,"(16,)",1,3,0.8290918832038575,0.5237074738815966,0.003007173538208008,1.3066492080688477,0.45137958746316637,0.5534422716313957,0.0030069351196289062,0.49080610275268555
16,1,"(17,)",1,3,0.7840878649879454,0.5237074738815966,0.002005338668823242,1.492785930633545,0.48245379051701043,0.5523707473881596,0.0030083656311035156,0.6087446212768555
17,1,"(18,)",1,3,0.7972140369675864,0.5242432360032145,0.0030133724212646484,1.515617847442627,0.3983391374229842,0.5507634610233056,0.0025064945220947266,0.5444724559783936
18,1,"(19,)",1,3,0.7540851861773372,0.5239753549424055,0.004010915756225586,1.7696905136108398,0.4430752745780873,0.5531743905705867,0.003007650375366211,0.6597554683685303
19,1,"(20,)",1,3,0.5711224216447898,0.5237074738815966,0.0035104751586914062,1.594529390335083,0.47682828824002144,0.5518349852665416,0.0030069351196289062,0.6323604583740234
20,1,"(21,)",1,3,0.7739083846772034,0.5229038306991696,0.005013465881347656,1.9379920959472656,0.35601392981516206,0.5510313420841146,0.003008604049682617,0.676800012588501
21,1,"(22,)",1,3,0.5914813822662738,0.5234395928207876,0.00400996208190918,1.674964189529419,0.3980712563621752,0.5502276989016877,0.003509521484375,0.6181440353393555
22,1,"(23,)",1,3,0.7629252611840343,0.5237074738815966,0.003008127212524414,1.881105661392212,0.3667291722475221,0.5507634610233056,0.0030078887939453125,0.6803085803985596
23,1,"(24,)",1,3,0.7463166354138763,0.5234395928207876,0.005013465881347656,1.7661983966827393,0.38039110634878115,0.5512992231449236,0.00501251220703125,0.7575151920318604
24,1,"(25,)",1,3,0.8368604339673185,0.5231717117599786,0.0020051002502441406,1.6248199939727783,0.44200375033485134,0.5523707473881596,0.003009796142578125,0.5514674186706543
25,1,"(1, 2)",2,3,0.8470399142780606,0.5247789981248325,0.004513978958129883,1.550123929977417,0.8095365657648004,0.5531743905705867,0.0035085678100585938,0.5374281406402588
26,1,"(1, 3)",2,3,0.7931958210554514,0.5253147602464506,0.004010200500488281,1.514073133468628,0.7910527725689793,0.5534422716313957,0.003509998321533203,0.5624964237213135
27,1,"(1, 4)",2,3,0.8148941869809805,0.5255826413072596,0.004011631011962891,1.5932762622833252,0.8288240021430485,0.5553174390570587,0.0030090808868408203,0.5569815635681152
28,1,"(1, 5)",2,3,0.8475756763996786,0.5250468791856415,0.004009723663330078,1.5987517833709717,0.8561478703455666,0.5539780337530137,0.003509521484375,0.5414407253265381
29,1,"(2, 3)",2,3,0.7931958210554514,0.5247789981248325,0.004512310028076172,1.5456271171569824,0.8178408786498794,0.5526386284489686,0.004010200500488281,0.6181433200836182
30,1,"(2, 4)",2,3,0.8317706938119475,0.5255826413072596,0.0025064945220947266,1.6294443607330322,0.8347173854808465,0.5537101526922047,0.002505779266357422,0.5514676570892334
31,1,"(2, 5)",2,3,0.8505223680685775,0.5255826413072596,0.004014253616333008,1.3626723289489746,0.8306991695687115,0.5537101526922047,0.0025064945220947266,0.5058441162109375
32,1,"(3, 4)",2,3,0.7838199839271364,0.5258505223680686,0.003509521484375,1.3681390285491943,0.7685507634610234,0.5547816769354407,0.002004384994506836,0.498349666595459
33,1,"(3, 5)",2,3,0.8261451915349585,0.5247789981248325,0.0030083656311035156,1.7732617855072021,0.8098044468256095,0.5539780337530137,0.0025072097778320312,0.5730247497558594
34,1,"(4, 5)",2,3,0.8577551567104206,0.5258505223680686,0.004011392593383789,1.556640386581421,0.8497187248861505,0.5563889633002946,0.003007650375366211,0.5314168930053711
35,1,"(1, 2, 3)",3,3,0.8352531476024645,0.5266541655504956,0.0040090084075927734,1.506012201309204,0.8304312885079025,0.5553174390570587,0.0025064945220947266,0.5238926410675049
36,1,"(1, 2, 4)",3,3,0.8585587998928476,0.5269220466113046,0.003509521484375,1.4319262504577637,0.8540048218590945,0.5561210822394856,0.0025064945220947266,0.5304110050201416
37,1,"(1, 2, 5)",3,3,0.8735601392981516,0.5269220466113046,0.003509521484375,1.3932263851165771,0.8615054915617466,0.5550495579962497,0.003509521484375,0.4998300075531006
38,1,"(1, 3, 4)",3,3,0.8256094294133405,0.5271899276721136,0.003509044647216797,1.433377981185913,0.8170372354674524,0.5563889633002946,0.0025069713592529297,0.48578929901123047
39,1,"(1, 3, 5)",3,3,0.8633806589874096,0.5271899276721136,0.0050144195556640625,1.386427402496338,0.8355210286632735,0.5563889633002946,0.004010677337646484,0.4862966537475586
40,1,"(1, 4, 5)",3,3,0.8794535226359497,0.5271899276721136,0.0035104751586914062,1.3912694454193115,0.8556121082239486,0.5579962496651487,0.0025064945220947266,0.4928109645843506
41,1,"(2, 3, 4)",3,3,0.8430216983659256,0.5269220466113046,0.005013704299926758,1.3892502784729004,0.8491829627645325,0.5561210822394856,0.0040111541748046875,0.5163731575012207
42,1,"(2, 3, 5)",3,3,0.8588266809536566,0.5263862844896866,0.003008127212524414,1.3576385974884033,0.8730243771765336,0.5558532011786766,0.0025064945220947266,0.5018291473388672
43,1,"(2, 4, 5)",3,3,0.8735601392981516,0.5271899276721136,0.003007650375366211,1.367281436920166,0.8754353067238146,0.5571926064827216,0.002506732940673828,0.5073485374450684
44,1,"(3, 4, 5)",3,3,0.8821323332440396,0.5274578087329226,0.005515336990356445,1.369884729385376,0.8494508438253415,0.5579962496651487,0.0030078887939453125,0.5208861827850342
45,1,"(1, 2, 3, 4)",4,3,0.8582909188320386,0.5274578087329226,0.0060155391693115234,1.401228904724121,0.8491829627645325,0.5574604875435307,0.004010677337646484,0.5193805694580078
46,1,"(1, 2, 3, 5)",4,3,0.8738280203589606,0.5274578087329226,0.004010200500488281,1.3581318855285645,0.8757031877846236,0.5574604875435307,0.0025072097778320312,0.48378515243530273
47,1,"(1, 2, 4, 5)",4,3,0.8885614787034557,0.5277256897937316,0.0055158138275146484,1.4298577308654785,0.8711492097508706,0.5582641307259577,0.0030059814453125,0.5103573799133301
48,1,"(1, 3, 4, 5)",4,3,0.8848111438521297,0.5277256897937316,0.0060160160064697266,1.4419293403625488,0.8564157514063756,0.5601392981516207,0.0040094852447509766,0.514885663986206
49,1,"(2, 3, 4, 5)",4,3,0.8866863112777926,0.5277256897937316,0.006516695022583008,1.3651635646820068,0.8759710688454326,0.5585320117867667,0.003509044647216797,0.5299100875854492
50,2,"(1,)",1,3,0.7128,0.5152,0.0025043487548828125,1.334641695022583,0.2578666666666667,0.7093333333333334,0.0020074844360351562,0.4937911033630371
51,2,"(2,)",1,3,0.6269333333333333,0.5154666666666666,0.0025064945220947266,1.3519868850708008,0.3336,0.7093333333333334,0.0020046234130859375,0.5680108070373535
52,2,"(3,)",1,3,0.736,0.5149333333333334,0.0030083656311035156,1.4009430408477783,0.34986666666666666,0.7096,0.003007650375366211,0.49832582473754883
53,2,"(4,)",1,3,0.5490666666666667,0.5141333333333333,0.0025060176849365234,1.3712058067321777,0.3914666666666667,0.7090666666666666,0.00150299072265625,0.5509626865386963
54,2,"(5,)",1,3,0.5818666666666666,0.5149333333333334,0.0030074119567871094,1.4433410167694092,0.46986666666666665,0.7090666666666666,0.0030069351196289062,0.5392475128173828
55,2,"(1, 2)",2,3,0.7298666666666667,0.5168,0.004513740539550781,1.4634056091308594,0.6968,0.7101333333333333,0.0030117034912109375,0.5153696537017822
56,2,"(1, 3)",2,3,0.8021333333333334,0.5162666666666667,0.00451207160949707,1.387225866317749,0.8106666666666666,0.7104,0.003009796142578125,0.4963197708129883
