,person,subset,# shots,Feature Set,AccLDAInd,AccLDAGen,tIndL,tGenL,AccQDAInd,AccQDAGen,tIndQ,tGenQ
0,20,"(1,)",1,3,0.9280934878899255,0.7912543586843841,0.008021116256713867,0.5262563228607178,0.9533502968617472,0.8007727829610781,0.004010915756225586,0.15907073020935059
1,20,"(2,)",1,3,0.8695693148619357,0.7840919800207332,0.006671428680419922,0.538931131362915,0.8519460936763735,0.7964376590330788,0.0028536319732666016,0.13937115669250488
2,20,"(3,)",1,3,0.9644708321553105,0.7903119404391669,0.007016658782958984,0.5564959049224854,0.9579681462633116,0.7978512864009047,0.0030074119567871094,0.16547322273254395
3,20,"(4,)",1,3,0.904156064461408,0.7903119404391669,0.007018566131591797,0.568528413772583,0.8940721892375837,0.8041654886438602,0.003008127212524414,0.14640522003173828
4,20,"(1, 2)",2,3,0.9509000094241824,0.8040712468193384,0.012532711029052734,0.5459175109863281,0.9481669965130525,0.8399773819621148,0.005514621734619141,0.144883394241333
5,20,"(1, 3)",2,3,0.9748374328527001,0.812741494675337,0.018049240112304688,0.5828306674957275,0.9784186221845255,0.836867401752898,0.006014823913574219,0.1607494354248047
6,20,"(1, 4)",2,3,0.953444538686269,0.8129299783243804,0.019051313400268555,0.5444481372833252,0.9366694939214023,0.8419564602770709,0.006518125534057617,0.15090131759643555
7,20,"(2, 3)",2,3,0.9590048063330506,0.8023748939779474,0.011529684066772461,0.5740756988525391,0.9540099896333993,0.833097728772029,0.0045664310455322266,0.16193079948425293
8,20,"(2, 4)",2,3,0.88511921590802,0.8034115540476864,0.017546415328979492,0.5474796295166016,0.905192724531147,0.8416737348035058,0.006015300750732422,0.14739179611206055
9,20,"(3, 4)",2,3,0.9573084534916596,0.8099142399396853,0.012540102005004883,0.5728497505187988,0.9586278390349637,0.8379040618226369,0.004506111145019531,0.14864659309387207
10,20,"(1, 2, 3)",3,3,0.9717274526434831,0.8242389972669871,0.018549680709838867,0.55613112449646,0.968052021487136,0.8699462821600226,0.00701904296875,0.16443848609924316
11,20,"(1, 2, 4)",3,3,0.940156441428706,0.8231080953727264,0.02707195281982422,0.5514674186706543,0.9363867684478372,0.8758835171048911,0.0070188045501708984,0.15440893173217773
12,20,"(1, 3, 4)",3,3,0.9660729431721798,0.8329092451229856,0.022559165954589844,0.5409862995147705,0.9689944397323532,0.8719253604749788,0.005514860153198242,0.16594266891479492
13,20,"(2, 3, 4)",3,3,0.9474130619168787,0.8228253698991612,0.027019262313842773,0.573603630065918,0.9516539440203562,0.873904438789935,0.00551605224609375,0.1679551601409912
14,20,"(1, 2, 3, 4)",4,3,0.9580623880878334,0.8440297804165489,0.0270688533782959,0.5379300117492676,0.9629629629629629,0.8941664310621054,0.013036489486694336,0.19150876998901367
15,21,"(1,)",1,3,0.9114627484223415,0.8342281247056608,0.009525775909423828,0.5099825859069824,0.905340491664312,0.8411980785532637,0.00451207160949707,0.14681077003479004
16,21,"(2,)",1,3,0.9275689931242347,0.8331920504850712,0.005975008010864258,0.5629959106445312,0.9236130733728926,0.8404445700291985,0.003009319305419922,0.15741848945617676
17,21,"(3,)",1,3,0.8927192238862202,0.8329094847885467,0.0060045719146728516,0.5791277885437012,0.8694546482057078,0.8336629933126118,0.003008604049682617,0.13285136222839355
18,21,"(4,)",1,3,0.959122162569464,0.83630027314684,0.009024381637573242,0.5339217185974121,0.9075068286709993,0.8370537816709052,0.004511833190917969,0.14638686180114746
19,21,"(1, 2)",2,3,0.9498916831496657,0.8362060845813318,0.018048763275146484,0.5600521564483643,0.9314307243100688,0.8545728548554206,0.0055310726165771484,0.14383172988891602
20,21,"(1, 3)",2,3,0.9344447584063295,0.8359235188848074,0.01806926727294922,0.5454919338226318,0.9224828105867947,0.8481680324008666,0.0050106048583984375,0.13649940490722656
21,21,"(1, 4)",2,3,0.936045964019968,0.8393143072431006,0.013032197952270508,0.5750200748443604,0.9227653762833192,0.8514646321936516,0.005580902099609375,0.14232325553894043
22,21,"(2, 3)",2,3,0.9541301685975323,0.8353583874917585,0.012517452239990234,0.5501267910003662,0.9283225016482999,0.8481680324008666,0.00501561164855957,0.1529068946838379
23,21,"(2, 4)",2,3,0.9708957332579825,0.8379014787604785,0.01198887825012207,0.5720207691192627,0.9378355467646228,0.8526890835452576,0.0055124759674072266,0.15294146537780762
24,21,"(3, 4)",2,3,0.9741923330507677,0.8374305359329377,0.01153111457824707,0.5440726280212402,0.9067533201469342,0.844588866911557,0.0045125484466552734,0.1599273681640625
25,21,"(1, 2, 3)",3,3,0.9497974945841575,0.8380898558914948,0.02807474136352539,0.5459799766540527,0.9388716209852124,0.859376471696336,0.0075206756591796875,0.15340638160705566
26,21,"(1, 2, 4)",3,3,0.9645850993689367,0.8411980785532637,0.023563385009765625,0.5454492568969727,0.9460299519638316,0.8622963172270887,0.00802159309387207,0.1524055004119873
27,21,"(1, 3, 4)",3,3,0.9557313742111707,0.840821324291231,0.023562908172607422,0.562018632888794,0.9377413581991146,0.8570217575586324,0.0075206756591796875,0.16945147514343262
28,21,"(2, 3, 4)",3,3,0.9714608646510313,0.8395968729396251,0.019050121307373047,0.5690054893493652,0.9348215126683621,0.8567391918621079,0.0060253143310546875,0.15541434288024902
29,21,"(1, 2, 3, 4)",4,3,0.963549025148347,0.8428934727324103,0.030596017837524414,0.5695672035217285,0.9505510031082227,0.8662522369784308,0.012520313262939453,0.17548394203186035
30,22,"(1,)",1,3,0.9690294643697637,0.834886566883178,0.0065174102783203125,0.5308921337127686,0.9109479431422386,0.9135837334086416,0.0035305023193359375,0.1413743495941162
31,22,"(2,)",1,3,0.9952932316671373,0.8349807022498352,0.006537914276123047,0.5473089218139648,0.9867269133013273,0.9181022310081898,0.0029871463775634766,0.1524052619934082
32,22,"(3,)",1,3,0.9897392450343594,0.8317800997834887,0.006724357604980469,0.5412461757659912,0.9383413348394992,0.9166902005083309,0.0028007030487060547,0.1416001319885254
33,22,"(4,)",1,3,0.9877624023345571,0.833003859550033,0.006015300750732422,0.5400357246398926,0.9374941165395839,0.9275157676739151,0.003509521484375,0.14388155937194824
34,22,"(1, 2)",2,3,0.9952932316671373,0.8450531864821613,0.013535022735595703,0.584099292755127,0.9820201449684647,0.9286453920738021,0.005533695220947266,0.15090012550354004
35,22,"(1, 3)",2,3,0.992939847500706,0.8430763437823591,0.011463642120361328,0.5544865131378174,0.9731714205026829,0.9272333615739433,0.004511833190917969,0.1458883285522461
36,22,"(1, 4)",2,3,0.985126612068154,0.8455238633154476,0.011029958724975586,0.5590341091156006,0.9722300668361104,0.9354231384731243,0.0045130252838134766,0.14538860321044922
37,22,"(2, 3)",2,3,0.9919984938341335,0.841946719382472,0.01203155517578125,0.511908769607544,0.979572625435376,0.9271392262072861,0.004511594772338867,0.1493973731994629
38,22,"(2, 4)",2,3,0.991057140167561,0.8441118328155888,0.012032508850097656,0.5520825386047363,0.9792902193354043,0.9364586275063541,0.004010677337646484,0.15597796440124512
39,22,"(3, 4)",2,3,0.9907747340675892,0.8418525840158148,0.014036178588867188,0.5384566783905029,0.9452132166054786,0.9371175750729549,0.0050144195556640625,0.13583612442016602
40,22,"(1, 2, 3)",3,3,0.9928457121340487,0.8517367975148263,0.01854872703552246,0.5485103130340576,0.9786312717688035,0.9352348677398098,0.005514860153198242,0.14789175987243652
41,22,"(1, 2, 4)",3,3,0.990680598700932,0.8545608585145439,0.01854872703552246,0.5148899555206299,0.9775957827355738,0.9422950202391038,0.005514860153198242,0.15190482139587402
42,22,"(1, 3, 4)",3,3,0.9903981926009602,0.8536195048479713,0.03008103370666504,0.5735478401184082,0.9662995387367034,0.9427656970723901,0.00852203369140625,0.14389657974243164
43,22,"(2, 3, 4)",3,3,0.991057140167561,0.8509837145815683,0.018551111221313477,0.551002025604248,0.9731714205026829,0.9414478019391885,0.0070188045501708984,0.14488530158996582
44,22,"(1, 2, 3, 4)",4,3,0.9907747340675892,0.8608679280805799,0.029063940048217773,0.5464801788330078,0.9744893156358844,0.9472841946719383,0.014035701751708984,0.1539323329925537
45,23,"(1,)",1,3,0.9549948215798889,0.9534883720930233,0.009526491165161133,0.5519680976867676,0.9471801148667733,0.9277845777233782,0.004510641098022461,0.138871431350708
46,23,"(2,)",1,3,0.973354674701064,0.951417004048583,0.0064697265625,0.5535426139831543,0.9499105545617174,0.9436964504283966,0.0030083656311035156,0.13786625862121582
47,23,"(3,)",1,3,0.9671405705677432,0.9500047076546465,0.009523630142211914,0.5218579769134521,0.9936917427737502,0.937670652480934,0.004541873931884766,0.15290546417236328
48,23,"(4,)",1,3,0.9774974107899445,0.9507579323980793,0.00952601432800293,0.577085018157959,0.9838056680161943,0.9361642029940683,0.004511833190917969,0.1488957405090332
49,23,"(1, 2)",2,3,0.9787214009980227,0.9556538932303926,0.011529922485351562,0.5434460639953613,0.9757085020242915,0.953205912814236,0.004009723663330078,0.1519029140472412
50,23,"(1, 3)",2,3,0.9770266453252989,0.9548065153940307,0.019053220748901367,0.5364282131195068,0.9872893324545712,0.9467093494021278,0.006514787673950195,0.14541316032409668
51,23,"(1, 4)",2,3,0.9903022314283024,0.9555597401374635,0.01102757453918457,0.5148611068725586,0.9708125411919781,0.9447321344506167,0.0045316219329833984,0.15192627906799316
52,23,"(2, 3)",2,3,0.9766500329535825,0.9525468411637322,0.015540599822998047,0.5641324520111084,0.97796817625459,0.954241596836456,0.004010438919067383,0.14087510108947754
53,23,"(2, 4)",2,3,0.9851238113172017,0.9530176066283778,0.011990070343017578,0.5565178394317627,0.9903022314283024,0.9570661896243292,0.004011869430541992,0.14789366722106934
54,23,"(3, 4)",2,3,0.966952264381885,0.9526409942566614,0.015041351318359375,0.567739725112915,0.9970812541191978,0.9517936164202994,0.005782365798950195,0.14989829063415527
55,23,"(1, 2, 3)",3,3,0.9791921664626683,0.9563129648808963,0.023164033889770508,0.5734856128692627,0.9860653422464928,0.9602673947839186,0.0064547061920166016,0.1418757438659668
56,23,"(1, 2, 4)",3,3,0.9967046417474814,0.9568778834384709,0.01955127716064453,0.5609922409057617,0.9936917427737502,0.9631861406647209,0.00701904296875,0.13842296600341797
57,23,"(1, 3, 4)",3,3,0.9933151304020337,0.9562188117879672,0.019551753997802734,0.5670230388641357,0.9956689577252613,0.9562188117879672,0.005514860153198242,0.14137625694274902
58,23,"(2, 3, 4)",3,3,0.9865361077111383,0.9538649844647397,0.025568008422851562,0.5757722854614258,0.9961397231899067,0.9632802937576499,0.005514621734619141,0.1439049243927002
59,23,"(1, 2, 3, 4)",4,3,0.9932209773091046,0.9584784860182657,0.038603782653808594,0.6838734149932861,0.9961397231899067,0.9678937953111759,0.015039443969726562,0.16244745254516602
