,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,1.0,0.5,5.865675210952759,0.788,0.719,0.5,0.5,0.837,0.84,0.5,0.418,0.563,0.462,20.0,75.0,3.0
1,1.0,0.557861476862686,5.115028381347656,0.836,0.813,0.5,0.5,0.842,0.826,0.5,0.496,0.512,0.351,20.0,75.0,4.0
2,1.0,0.5431881894062724,6.899284839630127,0.822,0.799,0.5,0.5,0.826,0.823,0.5,0.5,0.5,0.496,20.0,75.0,5.0
3,1.0,0.531363430799173,2.743190288543701,0.835,0.807,0.5,0.5,0.842,0.829,0.5,0.5,0.5,0.5,20.0,75.0,6.0
4,1.0,0.4912427450397957,11.24503779411316,0.833,0.793,0.5,0.5,0.84,0.83,0.5,0.5,0.5,0.496,20.0,75.0,7.0
5,1.0,0.5633033320706793,15.03251838684082,0.807,0.782,0.5,0.5,0.817,0.808,0.5,0.5,0.5,0.5,20.0,75.0,8.0
6,1.0,0.5418020395002433,3.284818172454834,0.811,0.789,0.5,0.5,0.816,0.808,0.5,0.5,0.5,0.5,20.0,75.0,9.0
7,1.0,0.6006322390701215,4.77242636680603,0.826,0.811,0.5,0.5,0.829,0.828,0.5,0.5,0.5,0.5,20.0,75.0,10.0
8,1.0,0.620909340639205,5.6122941970825195,0.822,0.812,0.5,0.5,0.83,0.825,0.5,0.5,0.5,0.5,20.0,75.0,11.0
9,1.0,0.6048613254794073,26.56754422187805,0.828,0.815,0.5,0.5,0.835,0.832,0.5,0.5,0.5,0.5,20.0,75.0,12.0
10,1.0,0.6178313192862801,35.11356711387634,0.824,0.818,0.5,0.5,0.83,0.833,0.5,0.5,0.5,0.5,20.0,75.0,13.0
11,1.0,0.6235228674556247,40.752395153045654,0.835,0.825,0.5,0.5,0.848,0.839,0.5,0.5,0.5,0.5,20.0,75.0,14.0
12,1.0,0.6207971470826619,48.4566593170166,0.834,0.833,0.5,0.5,0.842,0.836,0.5,0.5,0.5,0.5,20.0,75.0,15.0
13,1.0,0.6361555787370476,7.040851831436157,0.842,0.835,0.5,0.5,0.845,0.848,0.5,0.5,0.5,0.5,20.0,75.0,16.0
14,1.0,0.6387546744486761,5.831189155578613,0.836,0.83,0.5,0.5,0.841,0.84,0.5,0.5,0.5,0.5,20.0,75.0,17.0
15,1.0,0.6313205436624725,5.608694076538086,0.834,0.828,0.5,0.5,0.836,0.84,0.5,0.5,0.5,0.5,20.0,75.0,18.0
16,1.0,0.6394276207529099,5.175501346588135,0.839,0.832,0.5,0.5,0.843,0.843,0.5,0.5,0.5,0.5,20.0,75.0,19.0
17,1.0,0.6288104590039956,11.770380735397339,0.844,0.849,0.5,0.5,0.848,0.851,0.5,0.5,0.5,0.5,20.0,75.0,20.0
18,1.0,0.6421966912490755,12.337745189666748,0.843,0.843,0.5,0.5,0.844,0.849,0.5,0.5,0.5,0.498,20.0,75.0,21.0
19,1.0,0.6460925101467071,81.77071356773376,0.847,0.846,0.5,0.5,0.847,0.848,0.5,0.5,0.5,0.498,20.0,75.0,22.0
20,1.0,0.649008631842277,10.408050298690796,0.844,0.842,0.5,0.5,0.844,0.849,0.5,0.5,0.5,0.5,20.0,75.0,23.0
21,1.0,0.6592095872450932,90.53616285324097,0.838,0.84,0.5,0.5,0.837,0.841,0.5,0.5,0.5,0.5,20.0,75.0,24.0
22,1.0,0.6692454752681591,88.10735774040222,0.841,0.84,0.5,0.5,0.841,0.839,0.5,0.5,0.5,0.5,20.0,75.0,25.0
23,1.0,0.6664560541904088,8.186587810516357,0.842,0.841,0.5,0.5,0.842,0.852,0.5,0.5,0.5,0.5,20.0,75.0,26.0
24,1.0,0.6502521348039977,6.67448091506958,0.847,0.839,0.5,0.5,0.847,0.85,0.5,0.5,0.5,0.5,20.0,75.0,27.0
25,1.0,0.6776878119386123,7.449972867965698,0.848,0.844,0.5,0.5,0.848,0.851,0.5,0.5,0.5,0.5,20.0,75.0,28.0
26,1.0,0.6810068455485132,6.495222091674805,0.844,0.843,0.5,0.5,0.841,0.848,0.5,0.5,0.5,0.498,20.0,75.0,29.0
27,1.0,0.6822518331756835,8.106387376785278,0.842,0.843,0.5,0.5,0.841,0.845,0.5,0.5,0.5,0.498,20.0,75.0,30.0
28,1.0,0.6764011834177395,8.678955554962158,0.839,0.842,0.5,0.5,0.841,0.845,0.5,0.5,0.5,0.498,20.0,75.0,31.0
29,1.0,0.689182697133205,6.704646587371826,0.84,0.843,0.5,0.5,0.841,0.844,0.5,0.5,0.5,0.498,20.0,75.0,32.0
30,1.0,0.6800867285630952,6.407773017883301,0.842,0.844,0.5,0.5,0.842,0.846,0.5,0.5,0.5,0.498,20.0,75.0,33.0
31,1.0,0.6869712141463113,4.981414556503296,0.839,0.84,0.5,0.5,0.84,0.845,0.5,0.5,0.5,0.498,20.0,75.0,34.0
32,1.0,0.6883596872665827,7.341943264007568,0.84,0.837,0.5,0.5,0.84,0.841,0.5,0.5,0.5,0.5,20.0,75.0,35.0
33,1.0,0.6897322129221111,5.1325109004974365,0.839,0.836,0.5,0.5,0.84,0.842,0.5,0.5,0.5,0.5,20.0,75.0,36.0
34,1.0,0.6941051883913556,6.282827854156494,0.841,0.837,0.5,0.5,0.841,0.841,0.5,0.5,0.5,0.5,20.0,75.0,37.0
35,1.0,0.6881175041863004,8.746621131896973,0.843,0.836,0.5,0.5,0.844,0.84,0.5,0.5,0.5,0.5,20.0,75.0,38.0
36,1.0,0.6922503951214021,6.633755445480347,0.84,0.838,0.5,0.5,0.839,0.839,0.5,0.5,0.5,0.5,20.0,75.0,39.0
