,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
38,0.6804008488963854,0.6848807336949126,15.907011032104492,0.847,0.846,0.787,0.792,0.844,0.849,0.846,0.846,0.615,0.506,20.0,78.0,41.0
39,0.682101597948029,0.6861353657155427,15.784073114395142,0.844,0.846,0.787,0.792,0.844,0.848,0.844,0.846,0.609,0.506,20.0,78.0,42.0
40,0.6837685590232399,0.6842974652296209,19.614806652069092,0.849,0.848,0.787,0.792,0.846,0.847,0.845,0.846,0.615,0.506,20.0,78.0,43.0
41,0.6854032226901944,0.6874697575467481,17.93085765838623,0.846,0.84,0.787,0.792,0.845,0.843,0.845,0.845,0.606,0.505,20.0,78.0,44.0
42,0.6870069798983398,0.6874477036574109,16.86462950706482,0.848,0.84,0.787,0.792,0.845,0.844,0.844,0.845,0.61,0.506,20.0,78.0,45.0
43,0.6885811307879139,0.6886268951982855,18.5054988861084,0.846,0.838,0.787,0.792,0.846,0.843,0.845,0.845,0.599,0.507,20.0,78.0,46.0
44,0.6903322796155468,0.689864287323977,19.57889223098755,0.848,0.841,0.787,0.792,0.847,0.842,0.846,0.844,0.608,0.511,20.0,78.0,47.0
45,0.6932688096818063,0.6923241368768338,24.52187967300415,0.846,0.842,0.787,0.792,0.845,0.845,0.845,0.844,0.598,0.508,20.0,78.0,48.0
46,0.6990659900454472,0.6991803469002593,20.651201009750366,0.848,0.842,0.787,0.792,0.846,0.845,0.846,0.846,0.606,0.515,20.0,78.0,49.0
47,0.700358535030948,0.7004717753203356,18.0448317527771,0.848,0.841,0.787,0.792,0.846,0.845,0.846,0.847,0.608,0.515,20.0,78.0,50.0
48,0.7016360799073922,0.7017583034054471,21.341888189315796,0.848,0.841,0.787,0.792,0.847,0.845,0.847,0.846,0.608,0.515,20.0,78.0,51.0
49,0.6974674835212131,0.6959551463381128,20.57891058921814,0.844,0.838,0.787,0.792,0.849,0.845,0.845,0.844,0.617,0.509,20.0,78.0,52.0
